Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V2L1p020201_tr100_type_pulpo;[type];0;3000;;;;;;
recording_V2L1p020201_tr101_speak_iglesia;iglesia;1304;648;;;;;;
recording_V2L1p020201_tr102_type_goma;[type];0;3000;;;;;;
recording_V2L1p020201_tr103_type_columna;[type];0;3000;;;;;;
recording_V2L1p020201_tr104_speak_muñeca;muñeca;759.998;729.457;;;;;;
recording_V2L1p020201_tr105_speak_muñeca;muñeca;786.05;679.834;;;;;;
recording_V2L1p020201_tr106_type_pierna;[type];0;3000;;;;;;
recording_V2L1p020201_tr107_speak_traje;traje;1056;416;;;;tech sound during /j/ in traje;;
recording_V2L1p020201_tr108_speak_traje;traje;904;413.015;;;;;;
recording_V2L1p020201_tr109_type_tenedor;[type];0;3000;;;;;;
recording_V2L1p020201_tr10_type_traje;[type];0;3000;;;;;;
recording_V2L1p020201_tr110_speak_pulpo;pulpo;1129.689;466.145;;;;;;
recording_V2L1p020201_tr111_speak_cazador;cazador;960;569.153;;;;;;
recording_V2L1p020201_tr112_type_cazador;[type];0;3000;;;;;;
recording_V2L1p020201_tr113_type_taza;[type];0;3000;;;;;;
recording_V2L1p020201_tr114_type_fresa;[type];0;3000;;;;;;
recording_V2L1p020201_tr115_speak_fresa;fresa;1017.417;478.583;;;;;;
recording_V2L1p020201_tr116_speak_puente;puente;1031.684;470.177;;;;;;
recording_V2L1p020201_tr117_type_puente;[type];0;3000;;;;;;
recording_V2L1p020201_tr118_speak_baño;baño;984;475.681;;;;;;
recording_V2L1p020201_tr119_type_espalda;[type];0;3000;;;;;;
recording_V2L1p020201_tr11_speak_camisa;camisa;1101.156;558.258;;;;;;
recording_V2L1p020201_tr120_type_espalda;[type];0;3000;;;;;;
recording_V2L1p020201_tr121_speak_bombero;bombero;856;680.597;;;;;;
recording_V2L1p020201_tr122_type_pavo;[type];0;3000;;;;;;
recording_V2L1p020201_tr123_type_pavo;[type];0;3000;;;;;;
recording_V2L1p020201_tr124_speak_vaca;vaca;1063.939;468.006;;;;;;
recording_V2L1p020201_tr125_type_regalo;[type];0;3000;;;;;;
recording_V2L1p020201_tr126_type_vaso;[type];0;3000;;;;;;
recording_V2L1p020201_tr127_speak_vaso;vaso;866.687;501.313;;;;;;
recording_V2L1p020201_tr128_type_camisa;[type];0;3000;;;;;;
recording_V2L1p020201_tr129_type_granja;[type];0;3000;;;;;;
recording_V2L1p020201_tr12_type_muñeca;[type];0;3000;;;;;;
recording_V2L1p020201_tr130_type_granja;[type];0;3000;;;;;;
recording_V2L1p020201_tr131_speak_muñeca;muñeca;880.334;652.541;;;;;;
recording_V2L1p020201_tr132_type_mano;[type];0;3000;;;;;;
recording_V2L1p020201_tr133_type_mano;[type];0;3000;;;;;;
recording_V2L1p020201_tr134_type_pintor;[type];0;3000;;;;;;
recording_V2L1p020201_tr135_speak_pintor;pintor;893.98;486.305;;;;;;
recording_V2L1p020201_tr136_speak_traje;traje;984;465.757;;;;;;
recording_V2L1p020201_tr137_speak_cerdo;cerdo;910.728;584.93;;;;;;
recording_V2L1p020201_tr138_type_cerdo;[type];0;3000;;;;;;
recording_V2L1p020201_tr139_type_caracol;[type];0;3000;;;;;;
recording_V2L1p020201_tr13_speak_muñeca;muñeca;774.265;681.735;;;;;;
recording_V2L1p020201_tr140_speak_caracol;caracol;912;520;;;;tongue;;
recording_V2L1p020201_tr141_type_cazador;[type];0;3000;;;;;;
recording_V2L1p020201_tr142_speak_fresa;fresa;831.331;615.324;;;;;;
recording_V2L1p020201_tr143_type_pavo;[type];0;3000;;;;;;
recording_V2L1p020201_tr144_speak_cuerda;cuerda;1123.486;436.682;;;;;;
recording_V2L1p020201_tr145_speak_cuerda;cuerda;1004.391;436.682;;;;;;
recording_V2L1p020201_tr146_type_puente;[type];0;3000;;;;;;
recording_V2L1p020201_tr147_speak_falda;falda;828.85;539.15;;;;;;
recording_V2L1p020201_tr148_speak_falda;falda;791.633;570.664;;;;;;
recording_V2L1p020201_tr149_type_espalda;[type];0;3000;;;;;;
recording_V2L1p020201_tr14_speak_pierna;pierna;1072.623;471.377;;;;;;
recording_V2L1p020201_tr150_speak_vaso;vaso;977.098;502.902;;;;;;
recording_V2L1p020201_tr151_speak_manzana;manzana;826.989;672.391;;;;;;
recording_V2L1p020201_tr152_type_manzana;[type];0;3000;;;;;;
recording_V2L1p020201_tr153_speak_escoba;escoba;904;610.267;;;;;;
recording_V2L1p020201_tr154_type_manzana;[type];0;3000;;;;;;
recording_V2L1p020201_tr155_type_goma;[type];0;3000;;;;;;
recording_V2L1p020201_tr156_speak_goma;goma;800;425.213;;;;;;
recording_V2L1p020201_tr157_speak_granja;granja;1147.057;563.22;;;;;;
recording_V2L1p020201_tr158_speak_aguja;aguja;866.687;581.313;;;;tongue;;
recording_V2L1p020201_tr159_type_aguja;[type];0;3000;;;;;;
recording_V2L1p020201_tr15_speak_pavo;pavo;992;376;;;;;;
recording_V2L1p020201_tr160_type_cadena;[type];0;3000;;;;;;
recording_V2L1p020201_tr161_type_iglesia;[type];0;3000;;;;;;
recording_V2L1p020201_tr162_speak_iglesia;iglesia;777.366;695.961;;;;;;
recording_V2L1p020201_tr163_type_pintor;[type];0;3000;;;;;;
recording_V2L1p020201_tr164_speak_conejo;conejo;936;504;;;;;;
recording_V2L1p020201_tr165_speak_conejo;conejo;851.801;516.199;;;;tongue;;
recording_V2L1p020201_tr166_speak_cerdo;cerdo;838.775;459.012;;;;during /o/ soudns like the sound is tampered with;;
recording_V2L1p020201_tr167_type_caracol;[type];0;3000;;;;;;
recording_V2L1p020201_tr168_speak_guante;guante;784.81;549.574;;;;;;
recording_V2L1p020201_tr169_speak_guante;guante;736.389;511.154;;;;;;
recording_V2L1p020201_tr16_type_pavo;[type];0;3000;;;;;;
recording_V2L1p020201_tr170_speak_cartero;cartero;1197.92;554.536;;;;tongue;;
recording_V2L1p020201_tr171_type_cartero;[type];0;3000;;;;;;
recording_V2L1p020201_tr172_speak_cuerda;cuerda;968;368.865;;;;tongue;;
recording_V2L1p020201_tr173_type_tronco;[type];0;3000;;;;;;
recording_V2L1p020201_tr174_type_oreja;[type];0;3000;;;;;;
recording_V2L1p020201_tr175_type_oreja;[type];0;3000;;;;;;
recording_V2L1p020201_tr176_speak_falda;falda;712.236;596.095;;;;;;
recording_V2L1p020201_tr177_type_miel;[type];0;3000;;;;;;
recording_V2L1p020201_tr178_type_miel;[type];0;3000;;;;;;
recording_V2L1p020201_tr179_type_mano;[type];0;3000;;;;;;
recording_V2L1p020201_tr17_type_cazador;[type];0;3000;;;;;;
recording_V2L1p020201_tr180_speak_goma;goma;920;452.841;;;;;;
recording_V2L1p020201_tr181_type_pierna;[type];0;3000;;;;;;
recording_V2L1p020201_tr182_type_pierna;[type];0;3000;;;;;;
recording_V2L1p020201_tr183_type_pulpo;[type];0;3000;;;;;;
recording_V2L1p020201_tr184_speak_pulpo;pulpo;923.754;519.8;;;;;;
recording_V2L1p020201_tr185_type_aguja;[type];0;3000;;;;;;
recording_V2L1p020201_tr186_speak_taza;taza;1139.614;357.285;;;;;;
recording_V2L1p020201_tr187_speak_taza;taza;812.102;357.285;;;;;;
recording_V2L1p020201_tr188_speak_baño;baño;767.442;408.558;;;;;;
recording_V2L1p020201_tr189_type_baño;[type];0;3000;;;;;;
recording_V2L1p020201_tr18_type_cazador;[type];0;3000;;;;;;
recording_V2L1p020201_tr190_speak_iglesia;iglesia;856;648;;;;;;
recording_V2L1p020201_tr191_type_bombero;[type];0;3000;;;;;;
recording_V2L1p020201_tr192_speak_bombero;bombero;768;648;;;;;;
recording_V2L1p020201_tr193_type_guante;[type];0;3000;;;;;;
recording_V2L1p020201_tr194_speak_conejo;conejo;840;488;;;;;;
recording_V2L1p020201_tr195_speak_vaca;vaca;832;449.039;;;;;;
recording_V2L1p020201_tr196_speak_vaca;vaca;692.667;475.139;;;;;;
recording_V2L1p020201_tr197_type_cartero;[type];0;3000;;;;;;
recording_V2L1p020201_tr198_speak_oreja;oreja;1672;488;0;;;typed first, then spoke;1;
recording_V2L1p020201_tr199_speak_regalo;regalo;1136.512;607.488;;;;;;
recording_V2L1p020201_tr19_speak_taza;taza;1253.746;406.908;;;;;;
recording_V2L1p020201_tr1_type_espejo;[type];0;2980;;;;;;
recording_V2L1p020201_tr200_type_regalo;[type];0;3000;;;;;;
recording_V2L1p020201_tr201_type_camisa;[type];0;3000;;;;;;
recording_V2L1p020201_tr202_type_camisa;[type];0;3000;;;;;;
recording_V2L1p020201_tr203_speak_espejo;espejo;975.238;624.762;;;;tongue;;
recording_V2L1p020201_tr204_type_miel;[type];0;3000;;;;;;
recording_V2L1p020201_tr205_speak_tronco;tronco;1120;476.144;;;;;;
recording_V2L1p020201_tr206_type_espejo;[type];0;3000;;;;;;
recording_V2L1p020201_tr207_speak_regalo;regalo;760;616;;;;tongue;;
recording_V2L1p020201_tr208_speak_vaso;vaso;686.789;561.211;;;;;;
recording_V2L1p020201_tr209_speak_vaso;vaso;622.915;505.085;;;;;;
recording_V2L1p020201_tr20_type_bombero;[type];0;3000;;;;;;
recording_V2L1p020201_tr210_type_taza;[type];0;3000;;;;;;
recording_V2L1p020201_tr211_speak_cazador;cazador;908.247;540.89;;;;tongue;;
recording_V2L1p020201_tr212_speak_cazador;cazador;696;586.9;;;;;;
recording_V2L1p020201_tr213_type_baño;[type];0;3000;;;;;;
recording_V2L1p020201_tr214_speak_espalda;espalda;888;615.722;;;;;;
recording_V2L1p020201_tr215_type_espalda;[type];0;3000;;;;;;
recording_V2L1p020201_tr216_type_camisa;[type];0;3000;;;;;;
recording_V2L1p020201_tr217_type_puente;[type];0;3000;;;;;;
recording_V2L1p020201_tr218_speak_puente;puente;826.369;473.899;;;;;;
recording_V2L1p020201_tr219_speak_muñeca;muñeca;1058.976;697.202;;;;;;
recording_V2L1p020201_tr21_type_vaso;[type];0;3000;;;;;;
recording_V2L1p020201_tr220_type_muñeca;[type];0;3000;;;;;;
recording_V2L1p020201_tr221_speak_vaca;vaca;706.969;499.636;;;;;;
recording_V2L1p020201_tr222_speak_pulpo;pulpo;949.806;427.998;;;;;;
recording_V2L1p020201_tr223_type_fresa;[type];0;3000;;;;;;
recording_V2L1p020201_tr224_type_fresa;[type];0;3000;;;;;;
recording_V2L1p020201_tr225_speak_pierna;pierna;826.989;485.011;;;;;;
recording_V2L1p020201_tr226_speak_bombero;bombero;816;664.771;;;;;;
recording_V2L1p020201_tr227_type_traje;[type];0;3000;;;;;;
recording_V2L1p020201_tr228_type_traje;[type];0;3000;;;;;;
recording_V2L1p020201_tr229_type_pavo;[type];0;3000;;;;;;
recording_V2L1p020201_tr22_type_vaso;[type];0;3000;;;;;;
recording_V2L1p020201_tr230_speak_pavo;pavo;768;375.335;;;;;;
