Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V2L2_p040202_tr100_type_bombero;[type];0;3000;;;;;;
recording_V2L2_p040202_tr101_speak_cadena;cadena;856;552;;;;tongue;;
recording_V2L2_p040202_tr102_type_escoba;[type];0;3000;;;;;;
recording_V2L2_p040202_tr103_type_espejo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr104_speak_cadena;cadena;1040;571.031;;;;tongue;;
recording_V2L2_p040202_tr105_speak_puente;puente;1070.141;375.894;;;;;;
recording_V2L2_p040202_tr106_speak_puente;puente;668.748;396.983;;;;;;
recording_V2L2_p040202_tr107_type_vaca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr108_speak_fresa;fresa;1091.231;516.078;;;;tongue;;
recording_V2L2_p040202_tr109_speak_fresa;fresa;712.236;419.264;;;;;;
recording_V2L2_p040202_tr10_speak_espalda;espalda;674.722;514.514;;;;;;
recording_V2L2_p040202_tr110_type_baño;[type];0;3000;;;;;;
recording_V2L2_p040202_tr111_speak_traje;traje;934.919;477.621;;;;;;
recording_V2L2_p040202_tr112_type_traje;[type];0;3000;;;;;;
recording_V2L2_p040202_tr113_speak_camisa;camisa;1064;648.758;;;;tongue;;
recording_V2L2_p040202_tr114_type_muñeca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr115_speak_muñeca;muñeca;828.23;563.22;;;;;;
recording_V2L2_p040202_tr116_speak_pierna;pierna;1056;444.62;;;;;;
recording_V2L2_p040202_tr117_speak_pavo;pavo;876.612;374.653;;;;;;
recording_V2L2_p040202_tr118_type_pavo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr119_type_cazador;[type];0;3000;;;;;;
recording_V2L2_p040202_tr11_type_espalda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr120_type_cazador;[type];0;3000;;;;;;
recording_V2L2_p040202_tr121_speak_taza;taza;980.82;368.45;;;;tongue;;
recording_V2L2_p040202_tr122_type_bombero;[type];0;3000;;;;;;
recording_V2L2_p040202_tr123_type_vaso;[type];0;3000;;;;;;
recording_V2L2_p040202_tr124_type_vaso;[type];0;3000;;;;;;
recording_V2L2_p040202_tr125_speak_regalo;regalo;704;526.175;;;;tongue;;
recording_V2L2_p040202_tr126_type_pulpo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr127_type_espalda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr128_speak_espalda;espalda;1008.113;570.664;;;;;;
recording_V2L2_p040202_tr129_speak_puente;puente;787.291;439.163;;;;;;
recording_V2L2_p040202_tr12_type_camisa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr130_type_pintor;[type];0;3000;;;;;;
recording_V2L2_p040202_tr131_type_pintor;[type];0;3000;;;;;;
recording_V2L2_p040202_tr132_speak_fresa;fresa;717.198;450.948;;;;;;
recording_V2L2_p040202_tr133_type_caracol;[type];0;3000;;;;;;
recording_V2L2_p040202_tr134_type_caracol;[type];0;3000;;;;;;
recording_V2L2_p040202_tr135_speak_muñeca;muñeca;1044.089;563.911;;;;;;
recording_V2L2_p040202_tr136_type_mano;[type];0;3000;;;;;;
recording_V2L2_p040202_tr137_speak_mano;mano;846.838;349.842;;;;;;
recording_V2L2_p040202_tr138_speak_cuerda;cuerda;848;466.534;;;;tongue;;
recording_V2L2_p040202_tr139_type_cuerda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr13_type_puente;[type];0;3000;;;;;;
recording_V2L2_p040202_tr140_type_traje;[type];0;3000;;;;;;
recording_V2L2_p040202_tr141_type_granja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr142_speak_granja;granja;934.919;539.649;;;;tongue;;
recording_V2L2_p040202_tr143_type_vaso;[type];0;3000;;;;;;
recording_V2L2_p040202_tr144_speak_pavo;pavo;734.664;291.535;;;;;;
recording_V2L2_p040202_tr145_speak_manzana;manzana;704;592;;;;;;
recording_V2L2_p040202_tr146_speak_manzana;manzana;632;576;;;;;;
recording_V2L2_p040202_tr147_type_cazador;[type];0;3000;;;;;;
recording_V2L2_p040202_tr148_speak_cerdo;cerdo;1134.651;431.719;;;;tongue;;
recording_V2L2_p040202_tr149_speak_cerdo;cerdo;852.546;391.401;;;;;;
recording_V2L2_p040202_tr14_speak_puente;puente;928;422.511;;;;;;
recording_V2L2_p040202_tr150_type_escoba;[type];0;3000;;;;;;
recording_V2L2_p040202_tr151_speak_espalda;espalda;743.829;555.777;;;;;;
recording_V2L2_p040202_tr152_speak_falda;falda;737.804;518.196;;;;;;
recording_V2L2_p040202_tr153_type_falda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr154_type_guante;[type];0;3000;;;;;;
recording_V2L2_p040202_tr155_speak_guante;guante;907.626;420.374;;;;;;
recording_V2L2_p040202_tr156_speak_tronco;tronco;688;490.071;;;;;;
recording_V2L2_p040202_tr157_speak_miel;miel;693.006;540.891;;;;;;
recording_V2L2_p040202_tr158_type_miel;[type];0;3000;;;;;;
recording_V2L2_p040202_tr159_type_pintor;[type];0;3000;;;;;;
recording_V2L2_p040202_tr15_speak_muñeca;muñeca;1307.091;480.102;;;;;;
recording_V2L2_p040202_tr160_type_cartero;[type];0;3000;;;;;;
recording_V2L2_p040202_tr161_speak_cartero;cartero;838.154;561.846;;;;tongue;;
recording_V2L2_p040202_tr162_speak_caracol;caracol;672;592;;;;tongue;;
recording_V2L2_p040202_tr163_type_cuerda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr164_speak_aguja;aguja;856;664;;;;;;
recording_V2L2_p040202_tr165_speak_aguja;aguja;648;552;;;;;;
