Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1;Column2
recording_V2L3_p060203_tr100_type_camisa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr101_speak_espejo;espejo;923.754;502.432;;;;;;;
recording_V2L3_p060203_tr102_type_miel;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr103_type_pierna;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr104_speak_taza;taza;824;357.793;;;;tongue;;;
recording_V2L3_p060203_tr105_speak_pavo;pavo;840;320;;;;;;;
recording_V2L3_p060203_tr106_speak_pavo;pavo;584;334.792;;;;;;;
recording_V2L3_p060203_tr107_type_vaca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr108_speak_espalda;espalda;992;576.852;;;;;;;
recording_V2L3_p060203_tr109_speak_espalda;espalda;654.218;589.603;;;;;;;
recording_V2L3_p060203_tr10_type_cazador;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr110_type_pulpo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr111_speak_vaso;vaso;816;349.666;;;;;;;
recording_V2L3_p060203_tr112_type_vaso;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr113_type_regalo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr114_type_traje;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr115_speak_traje;traje;736;407.335;;;;;;;
recording_V2L3_p060203_tr116_speak_fresa;fresa;643.529;498.71;;;;;;;
recording_V2L3_p060203_tr117_type_fresa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr118_type_bombero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr119_speak_camisa;camisa;1027.962;477.621;;;;tongue;;;
recording_V2L3_p060203_tr11_type_taza;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr120_type_muñeca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr121_type_muñeca;[/m../, type];1861.007;96.765;0;;;started speaking, then typed;1;;
recording_V2L3_p060203_tr122_speak_baño;baño;1517.058;312.481;;;;;;;
recording_V2L3_p060203_tr123_type_puente;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr124_type_puente;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr125_type_cazador;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr126_speak_cazador;cazador;1020.519;507.394;;;;tongue;;;
recording_V2L3_p060203_tr127_type_pavo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr128_type_falda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr129_type_falda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr12_type_fresa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr130_speak_puente;puente;1032;417.757;;;;;;;
recording_V2L3_p060203_tr131_type_cuerda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr132_type_cuerda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr133_type_espalda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr134_speak_tenedor;tenedor;840;475.775;;;;;;;
recording_V2L3_p060203_tr135_type_vaso;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr136_type_manzana;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr137_speak_manzana;manzana;752;584;;;;;;;
recording_V2L3_p060203_tr138_speak_traje;traje;893.952;425.235;;;;;;;
recording_V2L3_p060203_tr139_speak_caracol;caracol;835.673;457.771;;;;tongue;;;
recording_V2L3_p060203_tr13_speak_fresa;fresa;553.443;484.444;;;;;;;
recording_V2L3_p060203_tr140_type_caracol;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr141_type_fresa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr142_type_cerdo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr143_speak_cerdo;cerdo;706.679;485.038;;;;;;;
recording_V2L3_p060203_tr144_speak_mano;mano;728;344;;;;;;;
recording_V2L3_p060203_tr145_speak_mano;mano;564.005;370.931;;;;;;;
recording_V2L3_p060203_tr146_type_muñeca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr147_speak_granja;granja;1428.667;503.673;;;;tongue;;;
recording_V2L3_p060203_tr148_speak_granja;granja;848;509.954;;;;;;;
recording_V2L3_p060203_tr149_type_tronco;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr14_speak_puente;puente;784;433.77;;;;;;;
recording_V2L3_p060203_tr150_speak_cazador;cazador;1054.014;508.635;;;;;;;
recording_V2L3_p060203_tr151_speak_pintor;pintor;1235.138;455.29;;;;mic sound at the end of the audio file;;;
recording_V2L3_p060203_tr152_type_pintor;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr153_speak_columna;columna;894.481;505.519;;;;;;;
recording_V2L3_p060203_tr154_type_oreja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr155_speak_oreja;oreja;1042.849;405.667;;;;;;;
recording_V2L3_p060203_tr156_speak_falda;falda;825.749;423.035;;;;;;;
recording_V2L3_p060203_tr157_speak_guante;guante;669.05;442.95;;;;;;;
recording_V2L3_p060203_tr158_type_guante;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr159_type_cuerda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr15_type_puente;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr160_type_conejo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr161_speak_conejo;conejo;901.874;478.41;;;;;;;
recording_V2L3_p060203_tr162_type_manzana;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr163_speak_cartero;cartero;1060.217;473.899;;;;;;;
recording_V2L3_p060203_tr164_speak_cartero;cartero;869.169;487.545;;;;;;;
recording_V2L3_p060203_tr165_speak_caracol;caracol;728;456;;;;tongue;;;
recording_V2L3_p060203_tr166_type_cerdo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr167_speak_miel;miel;1165.976;311.384;;;;;;;
recording_V2L3_p060203_tr168_speak_miel;miel;957.249;354.804;;;;;;;
recording_V2L3_p060203_tr169_speak_iglesia;iglesia;724.221;594.035;;;;;;;
recording_V2L3_p060203_tr16_speak_baño;baño;1306.16;339.917;;;;;;;
recording_V2L3_p060203_tr170_type_iglesia;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr171_speak_granja;granja;1039.77;491.555;;;;tongue;;;
recording_V2L3_p060203_tr172_type_mano;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr173_type_goma;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr174_type_goma;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr175_speak_pintor;pintor;898.065;467.333;;;;;;;
recording_V2L3_p060203_tr176_type_aguja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr177_type_aguja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr178_type_guante;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr179_speak_espejo;espejo;760;563.218;;;;;;;
recording_V2L3_p060203_tr17_type_espalda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr180_speak_goma;goma;846.838;363.488;;;;;;;
recording_V2L3_p060203_tr181_type_regalo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr182_type_regalo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr183_type_pierna;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr184_speak_pierna;pierna;932.438;437.922;;;;;;;
recording_V2L3_p060203_tr185_type_conejo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr186_speak_camisa;camisa;887.777;482.583;;;;tongue;;;
recording_V2L3_p060203_tr187_speak_camisa;camisa;733.039;496.229;;;;tongue;;;
recording_V2L3_p060203_tr188_speak_vaca;vaca;613.683;388.202;;;;;;;
recording_V2L3_p060203_tr189_type_vaca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr18_type_espalda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr190_speak_cartero;cartero;964.693;462.424;;;;;;;
recording_V2L3_p060203_tr191_type_taza;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr192_speak_taza;taza;813.456;365.328;;;;;;;
recording_V2L3_p060203_tr193_type_cadena;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr194_speak_miel;miel;1044.352;344.306;;;;;;;
recording_V2L3_p060203_tr195_speak_bombero;/e../ bombero;1551.484;408.516;;;1;;?;;
recording_V2L3_p060203_tr196_speak_bombero;bombero;713.4;470.6;;;;;;;
recording_V2L3_p060203_tr197_type_iglesia;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr198_speak_oreja;oreja;897.122;413.69;;;;;;;
recording_V2L3_p060203_tr199_speak_pulpo;oulpo;672;392;;;;;;;
recording_V2L3_p060203_tr19_speak_bombero;bombero;1161.944;533.446;;;;;;;
recording_V2L3_p060203_tr1_type_columna;[type];0;2980;;;;;;;
recording_V2L3_p060203_tr200_type_pulpo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr201_speak_escoba;escoba;915.07;483.823;;;;tongue;;;
recording_V2L3_p060203_tr202_type_aguja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr203_type_baño;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr204_type_baño;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr205_type_espejo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr206_speak_cadena;cadena;799.196;438.423;;;;tongue;;;
recording_V2L3_p060203_tr207_speak_puente;puente;1264;351.063;;;;;;;
recording_V2L3_p060203_tr208_speak_puente;puente;576;384;;;;;;;
recording_V2L3_p060203_tr209_type_vaca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr20_type_pavo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr210_speak_fresa;fresa;893.36;513.597;;;;;;;
recording_V2L3_p060203_tr211_speak_fresa;fresa;516.327;478.14;;;;;;;
recording_V2L3_p060203_tr212_type_baño;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr213_speak_traje;traje;820.786;379.615;;;;;;;
recording_V2L3_p060203_tr214_type_traje;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr215_speak_camisa;camisa;923.754;481.342;;;;;;;
recording_V2L3_p060203_tr216_type_muñeca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr217_speak_muñeca;muñeca;584.005;555.777;;;;;;;
recording_V2L3_p060203_tr218_speak_pierna;pierna;804.301;427.115;;;;;;;
recording_V2L3_p060203_tr219_speak_pavo;pavo;885.296;352.943;;;;;;;
recording_V2L3_p060203_tr21_type_pavo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr220_type_pavo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr221_type_cazador;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr222_type_cazador;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr223_speak_taza;taza;989.504;336.195;;;;tongue;;;
recording_V2L3_p060203_tr224_type_bombero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr225_type_vaso;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr226_type_vaso;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr227_speak_regalo;regalo;725.778;535.412;;;;;;;
recording_V2L3_p060203_tr228_type_pulpo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr229_type_espalda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr22_speak_vaca;vaca;758.93;435.269;;;;;;;
recording_V2L3_p060203_tr230_speak_espalda;espalda;778.949;576.525;;;;tongue;;;
recording_V2L3_p060203_tr231_speak_puente;puente;1134.425;391.937;;;;;;;
recording_V2L3_p060203_tr232_type_pintor;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr233_type_pintor;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr234_speak_fresa;fresa;1205.984;538.409;;;;;;;
recording_V2L3_p060203_tr235_type_caracol;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr236_type_caracol;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr237_speak_muñeca;muñeca;959.421;515.458;;;;;;;
recording_V2L3_p060203_tr238_type_mano;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr239_speak_mano;mano;1036.646;338.676;;;;;;;
recording_V2L3_p060203_tr23_type_regalo;[type];0;3000;;;;;;;
