image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv2l2.started;keyResp.keys;keyResp.corr;subjResponse;micRespv2l2.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.rt;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;14.5981956;17.0948122;17.0948122;17.0948122;17.0948122;space;6.885268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.9984967;23.9984967;23.9984967;23.9984967;23.9984967;23.9984967;23.9984967;23.9984967;23.9984967;23.9984967;23.9984967;23.9984967;23.9984967;space;2.9799476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_646.png;tronco;speak;darkblue;filler;2;F;1;3;2;2;Extra4;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;27.0822813;28.2629749;28.2629749;28.2629749;28.2629749;28.2629749;28.2629749;28.2629749;28.2629749;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h41.55.300.wav;31.2841464;31.7842085;None;;;;;;;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_340.png;espejo;type;gold;filler;1;F;1;3;2;2;Extra1;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;31.7842085;32.8746913;32.8746913;32.8746913;32.8746913;32.8746913;32.8746913;32.8746913;32.8746913;['e', 's', 'p', 'e', 'j', 'o'];0;espejo;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h41.59.915.wav;35.9028254;;None;35.9028254;35.9028254;35.9028254;35.9028254;35.9028254;35.9028254;[1.0079006999731064, 1.264813199872151, 1.495440199971199, 1.6100230000447482, 1.8578939998988062, 2.096760099986568];;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_338.png;regalo;speak;darkblue;filler;2;F;1;3;2;2;Stim6_Set4;0;None;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;36.4028968;37.5280339;37.5280339;37.5280339;37.5280339;37.5280339;37.5280339;37.5280339;37.5280339;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.04.567.wav;40.5492467;41.0492971;None;40.5492467;40.5492467;40.5492467;40.5492467;40.5492467;40.5492467;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_142.png;vaso;speak;darkblue;nontarget;2;NT;1;3;2;2;Stim7_Set1;1;repeat;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;41.0492971;42.1537133;42.1537133;42.1537133;42.1537133;42.1537133;42.1537133;42.1537133;42.1537133;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.09.194.wav;45.1818162;;None;45.1818162;45.1818162;45.1818162;45.1818162;45.1818162;45.1818162;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_142.png;vaso;speak;darkblue;repeat;2;T;1;3;2;2;Stim7_Set1;0;None;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;45.6818824;46.8209276;46.8209276;46.8209276;46.8209276;46.8209276;46.8209276;46.8209276;46.8209276;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.13.861.wav;49.8421328;50.3421959;None;49.8421328;49.8421328;49.8421328;49.8421328;49.8421328;49.8421328;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_498.png;taza;type;gold;filler;1;F;1;3;2;2;Stim4_Set4;0;None;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;50.3421959;51.564593;51.564593;51.564593;51.564593;51.564593;51.564593;51.564593;51.564593;['t', 'a', 'z', 'a'];0;taza;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.18.604.wav;54.58584;55.0859655;None;54.58584;54.58584;54.58584;54.58584;54.58584;54.58584;[0.9771968999411911, 1.1336660999804735, 1.3688837999943644, 1.4619173998944461];;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_16.png;cazador;speak;darkblue;nontarget;2;NT;1;3;2;2;Stim6_Set1;1;switch;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;55.0859655;56.1901895;56.1901895;56.1901895;56.1901895;56.1901895;56.1901895;56.1901895;56.1901895;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.23.230.wav;59.2183858;59.7184485;None;59.2183858;59.2183858;59.2183858;59.2183858;59.2183858;59.2183858;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
REPSWITCH1/PICTURE_16.png;cazador;speak;darkblue;repeat;2;T;1;3;2;2;Stim6_Set1;0;None;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;59.7184485;60.7603058;60.7603058;60.7603058;60.7603058;60.7603058;60.7603058;60.7603058;60.7603058;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/200202_REPSWITCH1_version2_list2_2023-11-30_15h41.36.748_micRespv2l2_recorded\recording_micRespv2l2_2023-11-30_15h42.27.800.wav;63.781444;64.2815401;None;63.781444;63.781444;63.781444;63.781444;63.781444;63.781444;;;;;;;200202;1;2023-11-30_15h41.36.748;REPSWITCH1_version2_list2;2022.2.4;143.8824078;
