Trial_no;CorrectAns;SubjResponse;Notes;Backspace;Modality_Correct;Exclude;Experiment_part;RepSwitch;Item_correct;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;baseline;baseline_condition;Filename;SubjResponse.y;Item_Correct2
1;columna;columna;;0;1;0;First;filler;1;0;0;2980;type;['c', 'o', 'l', 'u', 'm', 'n', 'a'];1.2880274001509;1.54634540015832;1.75845480011776;1.97393510024995;2.16133269993588;2.32121590012684;2.39818000001833;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr1_type_columna;[type];NA
2;muneca;muneca;;0;1;0;First;nontarget;1;0;826.989;645.098;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;switch;recording_V1L3_p301023_tr2_speak_muneca;muneca;1
3;muneca;muneca;;0;1;0;First;repeat;1;0;1077.585;681.075;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr3_speak_muneca;muneca;1
4;pierna;pierna;;0;1;0;First;filler;1;0;0;3000;type;['p', 'i', 'e', 'r', 'n', 'a'];1.0305715999566;1.1683939001523;1.25716200005263;1.36717740027234;1.46394779998809;1.62237700028345;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr4_type_pierna;[type];NA
5;traje;traje;inhale before;0;1;0;First;nontarget;1;0;1186.755;486.305;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;switch;recording_V1L3_p301023_tr5_speak_traje;traje;1
6;traje;traje;tongue;0;1;0;First;repeat;1;0;880;455.624;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr6_speak_traje;traje;1
7;tenedor;tendeor;;0;1;1;First;filler;0;0;0;3000;type;['t', 'e', 'n', 'd', 'e', 'o', 'r'];1.16858020005748;1.23858590004966;1.37960979994386;1.59960670024157;1.72660070005804;1.82857479993254;2.51368300011382;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr7_type_tenedor;[type];NA
8;pulpo;pulpo;;0;1;0;First;filler;1;0;712;438.779;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr8_speak_pulpo;pulpo;1
9;cazador;cazador;;0;1;0;First;nontarget;1;0;1024.24;601.678;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;repeat;recording_V1L3_p301023_tr9_speak_cazador;cazador;1
10;cazador;cazador;;0;1;0;First;switch;1;0;0;3000;type;['c', 'a', 'z', 'a', 'd', 'o', 'r'];1.14640440000221;1.20733310002834;1.43405919987708;1.60405259998515;1.74109869962558;1.88404489960521;1.94756999984384;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr10_type_cazador;[type];NA
11;taza;taza;;1;1;1;First;filler;0;0;0;3000;type;['t', 'a', 'z', 'z', 'a', 'backspace', 'backspace', 'a'];1.19118049973622;1.2591781001538;1.50218209996819;1.6821794998832;1.87422910006717;2.22880950011313;2.36211049975827;2.4151546000503;NA;NA;NA;NA;NA;NA;NA;1;repeat;recording_V1L3_p301023_tr11_type_taza;[type];NA
12;fresa;fresa;;0;1;0;First;nontarget;1;0;0;3010;type;['f', 'r', 'e', 's', 'a'];1.07417569961399;1.23823009990156;1.34520809957758;1.53887239983305;1.62383139971644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;repeat;recording_V1L3_p301023_tr12_type_fresa;[type];NA
13;fresa;fresa;tongue;0;1;0;First;switch;1;0;618.649;535.801;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr13_speak_fresa;fresa;1
14;puente;puente;;0;1;0;First;nontarget;1;0;1074.032;485.205;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr14_speak_puente;puente;1
15;puente;puente;;0;1;0;First;switch;1;0;0;3000;type;['p', 'u', 'e', 'n', 't', 'e'];0.849055899772793;1.08504329994321;1.2189108999446;1.32898209989071;1.41790860006586;1.49887549970299;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr15_type_puente;[type];NA
16;bano;bano;;0;1;0;First;filler;1;0;595.804;504.913;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr16_speak_bano;bano;1
17;espalda;espalda;;0;1;0;First;nontarget;1;0;0;3000;type;['e', 's', 'p', 'a', 'l', 'd', 'a'];1.40423619979993;1.57730360003188;1.68318259995431;1.81018130015582;2.01119499979541;2.14921669987962;2.220227799844;NA;NA;NA;NA;NA;NA;NA;NA;1;switch;recording_V1L3_p301023_tr17_type_espalda;[type];NA
18;espalda;espalda;;0;1;0;First;repeat;1;0;0;3000;type;['e', 's', 'p', 'a', 'l', 'd', 'a'];0.854735100176185;1.32373300008476;1.43972899997607;1.57973060011864;1.70274310000241;1.83969769999385;1.90269870031625;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr18_type_espalda;[type];NA
19;bombero;bombero;;0;1;0;First;filler;1;0;792;577.12;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;switch;recording_V1L3_p301023_tr19_speak_bombero;bombero;1
20;pavo;npavo;;1;1;1;First;nontarget;0;0;0;3010;type;['n', 'a', 'backspace', 'p', 'a', 'v', 'o'];0.792996000032872;1.71692730020732;2.1870817001909;2.5410413001664;2.60556280007586;2.78485220018774;2.85887259989977;NA;NA;NA;NA;NA;NA;NA;NA;1;switch;recording_V1L3_p301023_tr20_type_pavo;[type];NA
21;pavo;pavo;;0;1;1;First;repeat;1;0;0;3040;type;['p', 'a', 'v', 'o'];0.851408499758691;0.931400300003588;1.31824109982699;1.39536229986697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr21_type_pavo;[type];NA
22;vaca;vaca;;0;1;0;First;filler;1;0;963.452;308.903;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr22_speak_vaca;vaca;1
23;regalo;regalo;;0;1;0;First;filler;1;0;0;3010;type;['r', 'e', 'g', 'a', 'l', 'o'];0.819571699947119;0.873574699740857;1.056635200046;1.1994460998103;1.30865949997678;1.48317250004038;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr23_type_regalo;[type];NA
24;vaso;vaso;;0;1;0;First;nontarget;1;0;0;3040;type;['v', 'a', 's', 'o'];0.91075580008328;1.07072740001604;1.21875709993765;1.30375300021842;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr24_type_vaso;[type];NA
25;vaso;vaso;tongue;0;1;0;First;switch;1;0;679.693;376.307;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr25_speak_vaso;vaso;1
26;camisa;camisa;;0;1;0;First;filler;1;0;0;3010;type;['c', 'a', 'm', 'i', 's', 'a'];1.08583980007097;1.16738890018314;1.32236330024898;1.4364390000701;1.52241630014032;1.64538889983669;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;switch;recording_V1L3_p301023_tr26_type_camisa;[type];NA
27;granja;granja;;0;1;0;First;nontarget;1;0;0;3040;type;['g', 'r', 'a', 'n', 'j', 'a'];0.886303400155157;0.969300699885935;1.16745899990201;1.27846230007708;1.3854868998751;1.47717570001259;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;None;recording_V1L3_p301023_tr27_type_granja;[type];NA
