Time	 Pressed	 Keycode	 CookedKey	 Keypress	 Trial	 Repetition
6.712623407e+03	 1	 71	 103	 1	 1	 1
6.712775384e+03	 1	 65	 97	 2	 1	 1
6.712871386e+03	 1	 83	 115	 3	 1	 1
6.713223375e+03	 1	 32	 32	 4	 1	 1
6.713375348e+03	 1	 80	 112	 5	 1	 1
6.713631364e+03	 1	 79	 111	 6	 1	 1
6.713823357e+03	 1	 77	 109	 7	 1	 1
6.713975356e+03	 1	 32	 32	 8	 1	 1
6.714263340e+03	 1	 80	 112	 9	 1	 1
6.714511343e+03	 1	 69	 101	 10	 1	 1
6.714671314e+03	 1	 78	 110	 11	 1	 1
6.714871334e+03	 1	 32	 32	 12	 1	 1
6.715039317e+03	 1	 71	 103	 13	 1	 1
6.715231313e+03	 1	 69	 101	 14	 1	 1
6.715327327e+03	 1	 84	 116	 15	 1	 1
6.715895300e+03	 1	 13	 13	 16	 1	 1
6.718879258e+03	 1	 71	 103	 1	 1	 2
6.719023225e+03	 1	 65	 97	 2	 1	 2
6.719095240e+03	 1	 83	 115	 3	 1	 2
6.719231233e+03	 1	 32	 32	 4	 1	 2
6.719367230e+03	 1	 80	 112	 5	 1	 2
6.719655223e+03	 1	 79	 111	 6	 1	 2
6.719855217e+03	 1	 77	 109	 7	 1	 2
6.719999217e+03	 1	 32	 32	 8	 1	 2
6.720215198e+03	 1	 77	 109	 9	 1	 2
6.720359207e+03	 1	 69	 101	 10	 1	 2
6.720487176e+03	 1	 78	 110	 11	 1	 2
6.720607204e+03	 1	 32	 32	 12	 1	 2
6.721151167e+03	 1	 80	 112	 13	 1	 2
6.721415182e+03	 1	 69	 101	 14	 1	 2
6.722335170e+03	 1	 8	 8	 15	 1	 2
6.723351155e+03	 1	 13	 13	 16	 1	 2
6.726255120e+03	 1	 72	 104	 1	 1	 3
6.726391088e+03	 1	 65	 97	 2	 1	 3
6.726511053e+03	 1	 83	 115	 3	 1	 3
6.727271049e+03	 1	 32	 32	 4	 1	 3
6.727471032e+03	 1	 80	 112	 5	 1	 3
6.727751035e+03	 1	 79	 111	 6	 1	 3
6.727919019e+03	 1	 77	 109	 7	 1	 3
6.728055030e+03	 1	 32	 32	 8	 1	 3
6.728383008e+03	 1	 80	 112	 9	 1	 3
6.728575014e+03	 1	 69	 101	 10	 1	 3
6.728655016e+03	 1	 78	 110	 11	 1	 3
6.728759011e+03	 1	 32	 32	 12	 1	 3
6.728871008e+03	 1	 71	 103	 13	 1	 3
6.729078993e+03	 1	 69	 101	 14	 1	 3
6.729158983e+03	 1	 84	 116	 15	 1	 3
6.729414996e+03	 1	 13	 13	 16	 1	 3
6.732542937e+03	 1	 71	 103	 1	 1	 4
6.732686915e+03	 1	 65	 97	 2	 1	 4
6.732766902e+03	 1	 83	 115	 3	 1	 4
6.732942883e+03	 1	 32	 32	 4	 1	 4
6.733094881e+03	 1	 80	 112	 5	 1	 4
6.733294892e+03	 1	 79	 111	 6	 1	 4
6.733454882e+03	 1	 77	 109	 7	 1	 4
6.733574898e+03	 1	 32	 32	 8	 1	 4
6.733766874e+03	 1	 80	 112	 9	 1	 4
6.733918885e+03	 1	 69	 101	 10	 1	 4
6.734070887e+03	 1	 78	 110	 11	 1	 4
6.734246869e+03	 1	 32	 32	 12	 1	 4
6.734430878e+03	 1	 71	 103	 13	 1	 4
6.734614875e+03	 1	 69	 101	 14	 1	 4
6.734694875e+03	 1	 84	 116	 15	 1	 4
6.734982856e+03	 1	 13	 13	 16	 1	 4
6.772430001e+03	 1	 66	 98	 1	 2	 1
6.772605995e+03	 1	 65	 97	 2	 2	 1
6.772726011e+03	 1	 78	 110	 3	 2	 1
6.772893954e+03	 1	 75	 107	 4	 2	 1
6.773021988e+03	 1	 32	 32	 5	 2	 1
6.773221941e+03	 1	 68	 100	 6	 2	 1
6.773357989e+03	 1	 79	 111	 7	 2	 1
6.773501953e+03	 1	 71	 103	 8	 2	 1
6.773597948e+03	 1	 32	 32	 9	 2	 1
6.773877985e+03	 1	 68	 100	 10	 2	 1
6.774053966e+03	 1	 69	 101	 11	 2	 1
6.774253931e+03	 1	 67	 99	 12	 2	 1
6.774317952e+03	 1	 75	 107	 13	 2	 1
6.774437924e+03	 1	 32	 32	 14	 2	 1
6.774749927e+03	 1	 66	 98	 15	 2	 1
6.774957936e+03	 1	 85	 117	 16	 2	 1
6.775085933e+03	 1	 83	 115	 17	 2	 1
6.775189917e+03	 1	 84	 116	 18	 2	 1
6.775365913e+03	 1	 13	 13	 19	 2	 1
6.778333880e+03	 1	 66	 98	 1	 2	 2
6.778501832e+03	 1	 65	 97	 2	 2	 2
6.778861825e+03	 1	 78	 110	 3	 2	 2
6.779053839e+03	 1	 75	 107	 4	 2	 2
6.779253836e+03	 1	 32	 32	 5	 2	 2
6.779549830e+03	 1	 68	 100	 6	 2	 2
6.780053806e+03	 1	 79	 111	 7	 2	 2
6.780261813e+03	 1	 71	 103	 8	 2	 2
6.780517807e+03	 1	 32	 32	 9	 2	 2
6.780709802e+03	 1	 71	 103	 10	 2	 2
6.780917785e+03	 1	 69	 101	 11	 2	 2
6.781389791e+03	 1	 8	 8	 12	 2	 2
6.781549761e+03	 1	 8	 8	 13	 2	 2
6.782213759e+03	 1	 71	 103	 14	 2	 2
6.782653744e+03	 1	 13	 13	 15	 2	 2
6.785517695e+03	 1	 66	 98	 1	 2	 3
6.785701674e+03	 1	 65	 97	 2	 2	 3
6.785973681e+03	 1	 78	 110	 3	 2	 3
6.786221676e+03	 1	 75	 107	 4	 2	 3
6.786429648e+03	 1	 32	 32	 5	 2	 3
6.786613665e+03	 1	 68	 100	 6	 2	 3
6.786789670e+03	 1	 79	 111	 7	 2	 3
6.786917634e+03	 1	 71	 103	 8	 2	 3
6.787061664e+03	 1	 32	 32	 9	 2	 3
6.787261642e+03	 1	 71	 103	 10	 2	 3
6.787493674e+03	 1	 69	 101	 11	 2	 3
6.787949623e+03	 1	 67	 99	 12	 2	 3
6.788165600e+03	 1	 75	 107	 13	 2	 3
6.788373620e+03	 1	 32	 32	 14	 2	 3
6.788853602e+03	 1	 66	 98	 15	 2	 3
6.789013619e+03	 1	 85	 117	 16	 2	 3
6.789077619e+03	 1	 83	 115	 17	 2	 3
6.789165614e+03	 1	 84	 116	 18	 2	 3
6.789285573e+03	 1	 13	 13	 19	 2	 3
6.792629539e+03	 1	 66	 98	 1	 2	 4
6.792797522e+03	 1	 65	 97	 2	 2	 4
6.792917519e+03	 1	 78	 110	 3	 2	 4
6.793165505e+03	 1	 75	 107	 4	 2	 4
6.793357486e+03	 1	 32	 32	 5	 2	 4
6.793613500e+03	 1	 68	 100	 6	 2	 4
6.793741470e+03	 1	 79	 111	 7	 2	 4
6.793877467e+03	 1	 71	 103	 8	 2	 4
6.793957495e+03	 1	 32	 32	 9	 2	 4
6.794141487e+03	 1	 68	 100	 10	 2	 4
6.794333500e+03	 1	 69	 101	 11	 2	 4
6.794557480e+03	 1	 67	 99	 12	 2	 4
6.794653480e+03	 1	 75	 107	 13	 2	 4
6.794749453e+03	 1	 32	 32	 14	 2	 4
6.794957469e+03	 1	 66	 98	 15	 2	 4
6.795141454e+03	 1	 85	 117	 16	 2	 4
6.795253462e+03	 1	 83	 115	 17	 2	 4
6.795341460e+03	 1	 84	 116	 18	 2	 4
6.796141445e+03	 1	 13	 13	 19	 2	 4
6.833180595e+03	 1	 82	 114	 1	 3	 1
6.833276584e+03	 1	 79	 111	 2	 3	 1
6.833396553e+03	 1	 80	 112	 3	 3	 1
6.834444608e+03	 1	 69	 101	 4	 3	 1
6.834620568e+03	 1	 32	 32	 5	 3	 1
6.834764533e+03	 1	 68	 100	 6	 3	 1
6.834916533e+03	 1	 79	 111	 7	 3	 1
6.835052564e+03	 1	 67	 99	 8	 3	 1
6.835124559e+03	 1	 75	 107	 9	 3	 1
6.835244523e+03	 1	 32	 32	 10	 3	 1
6.835404501e+03	 1	 68	 100	 11	 3	 1
6.835524490e+03	 1	 73	 105	 12	 3	 1
6.835940525e+03	 1	 83	 115	 13	 3	 1
6.835988540e+03	 1	 72	 104	 14	 3	 1
6.836164500e+03	 1	 32	 32	 15	 3	 1
6.836404504e+03	 1	 82	 114	 16	 3	 1
6.836492504e+03	 1	 73	 105	 17	 3	 1
6.836660498e+03	 1	 78	 110	 18	 3	 1
6.837148490e+03	 1	 13	 13	 19	 3	 1
6.840156425e+03	 1	 82	 114	 1	 3	 2
6.840252415e+03	 1	 79	 111	 2	 3	 2
6.840372415e+03	 1	 80	 112	 3	 3	 2
6.840500411e+03	 1	 69	 101	 4	 3	 2
6.840596409e+03	 1	 32	 32	 5	 3	 2
6.840836402e+03	 1	 68	 100	 6	 3	 2
6.840988386e+03	 1	 79	 111	 7	 3	 2
6.841156380e+03	 1	 67	 99	 8	 3	 2
6.841220395e+03	 1	 75	 107	 9	 3	 2
6.841364389e+03	 1	 32	 32	 10	 3	 2
6.841604384e+03	 1	 68	 100	 11	 3	 2
6.841724382e+03	 1	 73	 105	 12	 3	 2
6.841972375e+03	 1	 83	 115	 13	 3	 2
6.842068362e+03	 1	 72	 104	 14	 3	 2
6.842244356e+03	 1	 32	 32	 15	 3	 2
6.842436364e+03	 1	 82	 114	 16	 3	 2
6.842524364e+03	 1	 73	 105	 17	 3	 2
6.842684359e+03	 1	 78	 110	 18	 3	 2
6.842780347e+03	 1	 71	 103	 19	 3	 2
6.843092336e+03	 1	 13	 13	 20	 3	 2
6.846116283e+03	 1	 82	 114	 1	 3	 3
6.846340276e+03	 1	 79	 111	 2	 3	 3
6.846524264e+03	 1	 80	 112	 3	 3	 3
6.846780264e+03	 1	 69	 101	 4	 3	 3
6.846892242e+03	 1	 32	 32	 5	 3	 3
6.847044263e+03	 1	 68	 100	 6	 3	 3
6.847148248e+03	 1	 79	 111	 7	 3	 3
6.847300237e+03	 1	 67	 99	 8	 3	 3
6.847388239e+03	 1	 75	 107	 9	 3	 3
6.847492224e+03	 1	 32	 32	 10	 3	 3
6.848076236e+03	 1	 68	 100	 11	 3	 3
6.848300229e+03	 1	 73	 105	 12	 3	 3
6.848436228e+03	 1	 83	 115	 13	 3	 3
6.848540223e+03	 1	 72	 104	 14	 3	 3
6.848684219e+03	 1	 32	 32	 15	 3	 3
6.848828190e+03	 1	 82	 114	 16	 3	 3
6.848916216e+03	 1	 73	 105	 17	 3	 3
6.849076218e+03	 1	 78	 110	 18	 3	 3
6.849156197e+03	 1	 71	 103	 19	 3	 3
6.849308204e+03	 1	 13	 13	 20	 3	 3
6.852172154e+03	 1	 82	 114	 1	 3	 4
6.852316114e+03	 1	 79	 111	 2	 3	 4
6.852476125e+03	 1	 80	 112	 3	 3	 4
6.852644098e+03	 1	 69	 101	 4	 3	 4
6.852732127e+03	 1	 32	 32	 5	 3	 4
6.852892107e+03	 1	 68	 100	 6	 3	 4
6.853004120e+03	 1	 79	 111	 7	 3	 4
6.853148099e+03	 1	 71	 103	 8	 3	 4
6.853284084e+03	 1	 32	 32	 9	 3	 4
6.854036098e+03	 1	 8	 8	 10	 3	 4
6.854204080e+03	 1	 8	 8	 11	 3	 4
6.854508062e+03	 1	 67	 99	 12	 3	 4
6.854604085e+03	 1	 72	 104	 13	 3	 4
6.854876078e+03	 1	 32	 32	 14	 3	 4
6.855148038e+03	 1	 68	 100	 15	 3	 4
6.855236068e+03	 1	 73	 105	 16	 3	 4
6.855412063e+03	 1	 67	 99	 17	 3	 4
6.855492040e+03	 1	 75	 107	 18	 3	 4
6.855660039e+03	 1	 32	 32	 19	 3	 4
6.855908051e+03	 1	 13	 13	 20	 3	 4
6.889883288e+03	 1	 82	 114	 1	 4	 1
6.890083274e+03	 1	 65	 97	 2	 4	 1
6.890371241e+03	 1	 71	 103	 3	 4	 1
6.890579248e+03	 1	 32	 32	 4	 4	 1
6.891147225e+03	 1	 80	 112	 5	 4	 1
6.891363215e+03	 1	 85	 117	 6	 4	 1
6.891499225e+03	 1	 78	 110	 7	 4	 1
6.891595220e+03	 1	 32	 32	 8	 4	 1
6.891683190e+03	 1	 80	 112	 9	 4	 1
6.891891213e+03	 1	 79	 111	 10	 4	 1
6.892003200e+03	 1	 84	 116	 11	 4	 1
6.892099172e+03	 1	 32	 32	 12	 4	 1
6.892211212e+03	 1	 84	 116	 13	 4	 1
6.892339190e+03	 1	 69	 101	 14	 4	 1
6.892531187e+03	 1	 68	 100	 15	 4	 1
6.893131178e+03	 1	 13	 13	 16	 4	 1
6.896019146e+03	 1	 82	 114	 1	 4	 2
6.896235119e+03	 1	 65	 97	 2	 4	 2
6.896915086e+03	 1	 65	 97	 3	 4	 2
6.897003086e+03	 1	 71	 103	 4	 4	 2
6.897283082e+03	 1	 32	 32	 5	 4	 2
6.897803067e+03	 1	 80	 112	 6	 4	 2
6.898051061e+03	 1	 79	 111	 7	 4	 2
6.898259079e+03	 1	 78	 110	 8	 4	 2
6.898395040e+03	 1	 32	 32	 9	 4	 2
6.898563035e+03	 1	 80	 112	 10	 4	 2
6.898811053e+03	 1	 85	 117	 11	 4	 2
6.898955049e+03	 1	 84	 116	 12	 4	 2
6.899059019e+03	 1	 32	 32	 13	 4	 2
6.899179030e+03	 1	 84	 116	 14	 4	 2
6.899355008e+03	 1	 69	 101	 15	 4	 2
6.899571033e+03	 1	 68	 100	 16	 4	 2
6.899827032e+03	 1	 13	 13	 17	 4	 2
6.903258962e+03	 1	 82	 114	 1	 4	 3
6.903570943e+03	 1	 65	 97	 2	 4	 3
6.903746915e+03	 1	 71	 103	 3	 4	 3
6.903946933e+03	 1	 32	 32	 4	 4	 3
6.904154907e+03	 1	 80	 112	 5	 4	 3
6.904354911e+03	 1	 79	 111	 6	 4	 3
6.904522907e+03	 1	 78	 110	 7	 4	 3
6.904642907e+03	 1	 32	 32	 8	 4	 3
6.904778899e+03	 1	 80	 112	 9	 4	 3
6.904986908e+03	 1	 85	 117	 10	 4	 3
6.905218890e+03	 1	 84	 116	 11	 4	 3
6.905426865e+03	 1	 32	 32	 12	 4	 3
6.905626892e+03	 1	 82	 114	 13	 4	 3
6.905834866e+03	 1	 69	 101	 14	 4	 3
6.906010884e+03	 1	 68	 100	 15	 4	 3
6.906194880e+03	 1	 13	 13	 16	 4	 3
6.909378826e+03	 1	 82	 114	 1	 4	 4
6.909594804e+03	 1	 65	 97	 2	 4	 4
6.909786798e+03	 1	 71	 103	 3	 4	 4
6.909922794e+03	 1	 32	 32	 4	 4	 4
6.910074789e+03	 1	 80	 112	 5	 4	 4
6.910298784e+03	 1	 79	 111	 6	 4	 4
6.910482776e+03	 1	 78	 110	 7	 4	 4
6.910626777e+03	 1	 32	 32	 8	 4	 4
6.910762761e+03	 1	 80	 112	 9	 4	 4
6.910946769e+03	 1	 85	 117	 10	 4	 4
6.911090738e+03	 1	 84	 116	 11	 4	 4
6.911210763e+03	 1	 32	 32	 12	 4	 4
6.911362751e+03	 1	 82	 114	 13	 4	 4
6.911506742e+03	 1	 69	 101	 14	 4	 4
6.911730788e+03	 1	 68	 100	 15	 4	 4
6.911914746e+03	 1	 13	 13	 16	 4	 4
6.942778010e+03	 1	 76	 108	 1	 5	 1
6.942978042e+03	 1	 85	 117	 2	 5	 1
6.943186025e+03	 1	 67	 99	 3	 5	 1
6.943250028e+03	 1	 75	 107	 4	 5	 1
6.943370055e+03	 1	 32	 32	 5	 5	 1
6.943594029e+03	 1	 66	 98	 6	 5	 1
6.943833994e+03	 1	 69	 101	 7	 5	 1
6.944010006e+03	 1	 69	 101	 8	 5	 1
6.944369964e+03	 1	 80	 112	 9	 5	 1
6.944689976e+03	 1	 32	 32	 10	 5	 1
6.945257984e+03	 1	 66	 98	 11	 5	 1
6.945441958e+03	 1	 79	 111	 12	 5	 1
6.945577967e+03	 1	 85	 117	 13	 5	 1
6.945745965e+03	 1	 84	 116	 14	 5	 1
6.945809949e+03	 1	 32	 32	 15	 5	 1
6.945945984e+03	 1	 76	 108	 16	 5	 1
6.946113932e+03	 1	 79	 111	 17	 5	 1
6.946241951e+03	 1	 85	 117	 18	 5	 1
6.946353945e+03	 1	 68	 100	 19	 5	 1
6.946713916e+03	 1	 13	 13	 20	 5	 1
6.949633888e+03	 1	 76	 108	 1	 5	 2
6.949937887e+03	 1	 69	 101	 2	 5	 2
6.950161838e+03	 1	 67	 99	 3	 5	 2
6.950297882e+03	 1	 75	 107	 4	 5	 2
6.950393792e+03	 1	 32	 32	 5	 5	 2
6.950633843e+03	 1	 66	 98	 6	 5	 2
6.950849845e+03	 1	 69	 101	 7	 5	 2
6.951033836e+03	 1	 69	 101	 8	 5	 2
6.951889793e+03	 1	 80	 112	 9	 5	 2
6.952049812e+03	 1	 32	 32	 10	 5	 2
6.952473819e+03	 1	 66	 98	 11	 5	 2
6.952633800e+03	 1	 79	 111	 12	 5	 2
6.952761782e+03	 1	 85	 117	 13	 5	 2
6.952993790e+03	 1	 84	 116	 14	 5	 2
6.953065792e+03	 1	 32	 32	 15	 5	 2
6.953201758e+03	 1	 76	 108	 16	 5	 2
6.953377781e+03	 1	 79	 111	 17	 5	 2
6.953481781e+03	 1	 85	 117	 18	 5	 2
6.953569778e+03	 1	 84	 116	 19	 5	 2
6.953697772e+03	 1	 13	 13	 20	 5	 2
6.957289711e+03	 1	 76	 108	 1	 5	 3
6.957473687e+03	 1	 85	 117	 2	 5	 3
6.957633671e+03	 1	 67	 99	 3	 5	 3
6.957737651e+03	 1	 75	 107	 4	 5	 3
6.957857677e+03	 1	 32	 32	 5	 5	 3
6.958073652e+03	 1	 66	 98	 6	 5	 3
6.958209676e+03	 1	 69	 101	 7	 5	 3
6.958393664e+03	 1	 69	 101	 8	 5	 3
6.958505687e+03	 1	 80	 112	 9	 5	 3
6.958625651e+03	 1	 32	 32	 10	 5	 3
6.959017664e+03	 1	 66	 98	 11	 5	 3
6.959185663e+03	 1	 79	 111	 12	 5	 3
6.959321659e+03	 1	 85	 117	 13	 5	 3
6.959505626e+03	 1	 84	 116	 14	 5	 3
6.959609626e+03	 1	 32	 32	 15	 5	 3
6.959713639e+03	 1	 76	 108	 16	 5	 3
6.959905663e+03	 1	 79	 111	 17	 5	 3
6.960017624e+03	 1	 85	 117	 18	 5	 3
6.960129607e+03	 1	 68	 100	 19	 5	 3
6.960329631e+03	 1	 13	 13	 20	 5	 3
6.963209568e+03	 1	 76	 108	 1	 5	 4
6.963385550e+03	 1	 85	 117	 2	 5	 4
6.963537546e+03	 1	 67	 99	 3	 5	 4
6.963673516e+03	 1	 75	 107	 4	 5	 4
6.963817540e+03	 1	 32	 32	 5	 5	 4
6.964065533e+03	 1	 66	 98	 6	 5	 4
6.964201529e+03	 1	 69	 101	 7	 5	 4
6.964361525e+03	 1	 69	 101	 8	 5	 4
6.964497495e+03	 1	 80	 112	 9	 5	 4
6.964601524e+03	 1	 32	 32	 10	 5	 4
6.965081510e+03	 1	 67	 99	 11	 5	 4
6.965401502e+03	 1	 79	 111	 12	 5	 4
6.965577490e+03	 1	 85	 117	 13	 5	 4
6.965737462e+03	 1	 78	 110	 14	 5	 4
