Time	 Pressed	 Keycode	 CookedKey	 Keypress	 Trial	 Repetition
1.731895136e+04	 1	 71	 103	 1	 1	 1
1.731907635e+04	 1	 65	 97	 2	 1	 1
1.731924727e+04	 1	 83	 115	 3	 1	 1
1.731945625e+04	 1	 32	 32	 4	 1	 1
1.731975428e+04	 1	 80	 112	 5	 1	 1
1.732003326e+04	 1	 79	 111	 6	 1	 1
1.732027726e+04	 1	 77	 109	 7	 1	 1
1.732041624e+04	 1	 32	 32	 8	 1	 1
1.732062822e+04	 1	 80	 112	 9	 1	 1
1.732080822e+04	 1	 69	 101	 10	 1	 1
1.732091321e+04	 1	 78	 110	 11	 1	 1
1.732101421e+04	 1	 32	 32	 12	 1	 1
1.732116722e+04	 1	 71	 103	 13	 1	 1
1.732125920e+04	 1	 69	 101	 14	 1	 1
1.732137619e+04	 1	 84	 116	 15	 1	 1
1.732151018e+04	 1	 13	 13	 16	 1	 1
1.732478904e+04	 1	 71	 103	 1	 1	 2
1.732489703e+04	 1	 65	 97	 2	 1	 2
1.732503402e+04	 1	 83	 115	 3	 1	 2
1.732526208e+04	 1	 32	 32	 4	 1	 2
1.732541701e+04	 1	 80	 112	 5	 1	 2
1.732554199e+04	 1	 79	 111	 6	 1	 2
1.732575198e+04	 1	 77	 109	 7	 1	 2
1.732584998e+04	 1	 32	 32	 8	 1	 2
1.732603897e+04	 1	 80	 112	 9	 1	 2
1.732617896e+04	 1	 69	 101	 10	 1	 2
1.732630793e+04	 1	 78	 110	 11	 1	 2
1.732638296e+04	 1	 32	 32	 12	 1	 2
1.732652295e+04	 1	 71	 103	 13	 1	 2
1.732663293e+04	 1	 69	 101	 14	 1	 2
1.732675493e+04	 1	 84	 116	 15	 1	 2
1.732685992e+04	 1	 13	 13	 16	 1	 2
1.733079383e+04	 1	 71	 103	 1	 1	 3
1.733089673e+04	 1	 65	 97	 2	 1	 3
1.733102373e+04	 1	 83	 115	 3	 1	 3
1.733118671e+04	 1	 32	 32	 4	 1	 3
1.733134765e+04	 1	 80	 112	 5	 1	 3
1.733146257e+04	 1	 79	 111	 6	 1	 3
1.733164769e+04	 1	 77	 109	 7	 1	 3
1.733181168e+04	 1	 32	 32	 8	 1	 3
1.733200168e+04	 1	 80	 112	 9	 1	 3
1.733213667e+04	 1	 69	 101	 10	 1	 3
1.733237866e+04	 1	 78	 110	 11	 1	 3
1.733258167e+04	 1	 32	 32	 12	 1	 3
1.733269465e+04	 1	 71	 103	 13	 1	 3
1.733280364e+04	 1	 69	 101	 14	 1	 3
1.733294664e+04	 1	 84	 116	 15	 1	 3
1.733304663e+04	 1	 13	 13	 16	 1	 3
1.733664551e+04	 1	 71	 103	 1	 1	 4
1.733672550e+04	 1	 65	 97	 2	 1	 4
1.733685949e+04	 1	 83	 115	 3	 1	 4
1.733700646e+04	 1	 32	 32	 4	 1	 4
1.733723141e+04	 1	 80	 112	 5	 1	 4
1.733725541e+04	 1	 32	 32	 6	 1	 4
1.733744641e+04	 1	 79	 111	 7	 1	 4
1.733764340e+04	 1	 77	 109	 8	 1	 4
1.733773442e+04	 1	 32	 32	 9	 1	 4
1.733805539e+04	 1	 80	 112	 10	 1	 4
1.733824138e+04	 1	 69	 101	 11	 1	 4
1.733836537e+04	 1	 78	 110	 12	 1	 4
1.733851336e+04	 1	 32	 32	 13	 1	 4
1.733878236e+04	 1	 71	 103	 14	 1	 4
1.733886736e+04	 1	 69	 101	 15	 1	 4
1.733902334e+04	 1	 84	 116	 16	 1	 4
1.733912033e+04	 1	 13	 13	 17	 1	 4
1.737460963e+04	 1	 66	 98	 1	 2	 1
1.737471462e+04	 1	 65	 97	 2	 2	 1
1.737489961e+04	 1	 78	 110	 3	 2	 1
1.737508246e+04	 1	 75	 107	 4	 2	 1
1.737518461e+04	 1	 32	 32	 5	 2	 1
1.737549658e+04	 1	 68	 100	 6	 2	 1
1.737561157e+04	 1	 79	 111	 7	 2	 1
1.737576956e+04	 1	 71	 103	 8	 2	 1
1.737589256e+04	 1	 32	 32	 9	 2	 1
1.737640555e+04	 1	 68	 100	 10	 2	 1
1.737657053e+04	 1	 69	 101	 11	 2	 1
1.737674853e+04	 1	 67	 99	 12	 2	 1
1.737683552e+04	 1	 75	 107	 13	 2	 1
1.737690951e+04	 1	 32	 32	 14	 2	 1
1.737706950e+04	 1	 66	 98	 15	 2	 1
1.737720750e+04	 1	 85	 117	 16	 2	 1
1.737729050e+04	 1	 83	 115	 17	 2	 1
1.737742649e+04	 1	 84	 116	 18	 2	 1
1.737753248e+04	 1	 13	 13	 19	 2	 1
1.738042736e+04	 1	 66	 98	 1	 2	 2
1.738051935e+04	 1	 65	 97	 2	 2	 2
1.738066533e+04	 1	 78	 110	 3	 2	 2
1.738080732e+04	 1	 75	 107	 4	 2	 2
1.738093131e+04	 1	 32	 32	 5	 2	 2
1.738140831e+04	 1	 68	 100	 6	 2	 2
1.738151429e+04	 1	 79	 111	 7	 2	 2
1.738165328e+04	 1	 71	 103	 8	 2	 2
1.738174628e+04	 1	 32	 32	 9	 2	 2
1.738201626e+04	 1	 68	 100	 10	 2	 2
1.738217126e+04	 1	 69	 101	 11	 2	 2
1.738236626e+04	 1	 67	 99	 12	 2	 2
1.738246925e+04	 1	 75	 107	 13	 2	 2
1.738259724e+04	 1	 32	 32	 14	 2	 2
1.738281723e+04	 1	 66	 98	 15	 2	 2
1.738291223e+04	 1	 85	 117	 16	 2	 2
1.738301621e+04	 1	 68	 100	 17	 2	 2
1.738335222e+04	 1	 84	 116	 18	 2	 2
1.738350920e+04	 1	 13	 13	 19	 2	 2
1.738638807e+04	 1	 66	 98	 1	 2	 3
1.738648806e+04	 1	 65	 97	 2	 2	 3
1.738663705e+04	 1	 78	 110	 3	 2	 3
1.738677504e+04	 1	 75	 107	 4	 2	 3
1.738687304e+04	 1	 32	 32	 5	 2	 3
1.738716502e+04	 1	 68	 100	 6	 2	 3
1.738732701e+04	 1	 79	 111	 7	 2	 3
1.738746007e+04	 1	 71	 103	 8	 2	 3
1.738760200e+04	 1	 32	 32	 9	 2	 3
1.738783699e+04	 1	 68	 100	 10	 2	 3
1.738810495e+04	 1	 69	 101	 11	 2	 3
1.738831397e+04	 1	 67	 99	 12	 2	 3
1.738844598e+04	 1	 75	 107	 13	 2	 3
1.738851500e+04	 1	 32	 32	 14	 2	 3
1.738871796e+04	 1	 66	 98	 15	 2	 3
1.738884095e+04	 1	 85	 117	 16	 2	 3
1.738906595e+04	 1	 83	 115	 17	 2	 3
1.738923593e+04	 1	 84	 116	 18	 2	 3
1.738949594e+04	 1	 13	 13	 19	 2	 3
1.739221679e+04	 1	 66	 98	 1	 2	 4
1.739231277e+04	 1	 65	 97	 2	 2	 4
1.739245976e+04	 1	 78	 110	 3	 2	 4
