"Trial_no"	"CorrectAns"	"SubjResponse"	"Repetition"	"Keypress"	"RT"
103	"columna"	"columna"	1	"key1"	1.2680151
103	"columna"	"columna"	1	"key2"	1.6360609
103	"columna"	"columna"	1	"key3"	1.8270702
103	"columna"	"columna"	1	"key4"	2.051995
103	"columna"	"columna"	1	"key5"	2.2759959
103	"columna"	"columna"	1	"key6"	2.5153341
103	"columna"	"columna"	1	"key7"	2.6123817
103	"columna"	"columna"	1	"key8"	NA
103	"columna"	"columna"	1	"key9"	NA
103	"columna"	"columna"	1	"key10"	NA
103	"columna"	"columna"	1	"key11"	NA
103	"columna"	"columna"	1	"key12"	NA
103	"columna"	"columna"	1	"key13"	NA
103	"columna"	"columna"	1	"key14"	NA
103	"columna"	"columna"	1	"key15"	NA
106	"pierna"	"pierna"	1	"key1"	1.8244084
106	"pierna"	"pierna"	1	"key2"	2.0485662
106	"pierna"	"pierna"	1	"key3"	2.240505
106	"pierna"	"pierna"	1	"key4"	2.4004445
106	"pierna"	"pierna"	1	"key5"	2.5604463
106	"pierna"	"pierna"	1	"key6"	2.6404142
106	"pierna"	"pierna"	1	"key7"	NA
106	"pierna"	"pierna"	1	"key8"	NA
106	"pierna"	"pierna"	1	"key9"	NA
106	"pierna"	"pierna"	1	"key10"	NA
106	"pierna"	"pierna"	1	"key11"	NA
106	"pierna"	"pierna"	1	"key12"	NA
106	"pierna"	"pierna"	1	"key13"	NA
106	"pierna"	"pierna"	1	"key14"	NA
106	"pierna"	"pierna"	1	"key15"	NA
109	"tenedor"	"tenedor"	1	"key1"	1.3040585
109	"tenedor"	"tenedor"	1	"key2"	1.4000549
109	"tenedor"	"tenedor"	1	"key3"	1.5601965
109	"tenedor"	"tenedor"	1	"key4"	1.6242007
109	"tenedor"	"tenedor"	1	"key5"	1.8800582
109	"tenedor"	"tenedor"	1	"key6"	2.1840859
109	"tenedor"	"tenedor"	1	"key7"	2.2974209
109	"tenedor"	"tenedor"	1	"key8"	NA
109	"tenedor"	"tenedor"	1	"key9"	NA
109	"tenedor"	"tenedor"	1	"key10"	NA
109	"tenedor"	"tenedor"	1	"key11"	NA
109	"tenedor"	"tenedor"	1	"key12"	NA
109	"tenedor"	"tenedor"	1	"key13"	NA
109	"tenedor"	"tenedor"	1	"key14"	NA
109	"tenedor"	"tenedor"	1	"key15"	NA
112	"cazador"	"cazador"	1	"key1"	1.0512895
112	"cazador"	"cazador"	1	"key2"	1.1472345
112	"cazador"	"cazador"	1	"key3"	1.323231
112	"cazador"	"cazador"	1	"key4"	1.4992373
112	"cazador"	"cazador"	1	"key5"	1.7552349
112	"cazador"	"cazador"	1	"key6"	1.9632335
112	"cazador"	"cazador"	1	"key7"	2.155229
112	"cazador"	"cazador"	1	"key8"	NA
112	"cazador"	"cazador"	1	"key9"	NA
112	"cazador"	"cazador"	1	"key10"	NA
112	"cazador"	"cazador"	1	"key11"	NA
112	"cazador"	"cazador"	1	"key12"	NA
112	"cazador"	"cazador"	1	"key13"	NA
112	"cazador"	"cazador"	1	"key14"	NA
112	"cazador"	"cazador"	1	"key15"	NA
113	"taza"	"taza"	1	"key1"	1.9600495
113	"taza"	"taza"	1	"key2"	2.0400439
113	"taza"	"taza"	1	"key3"	2.2314326
113	"taza"	"taza"	1	"key4"	2.3753967
113	"taza"	"taza"	1	"key5"	NA
113	"taza"	"taza"	1	"key6"	NA
113	"taza"	"taza"	1	"key7"	NA
113	"taza"	"taza"	1	"key8"	NA
113	"taza"	"taza"	1	"key9"	NA
113	"taza"	"taza"	1	"key10"	NA
113	"taza"	"taza"	1	"key11"	NA
113	"taza"	"taza"	1	"key12"	NA
113	"taza"	"taza"	1	"key13"	NA
113	"taza"	"taza"	1	"key14"	NA
113	"taza"	"taza"	1	"key15"	NA
114	"fresa"	"fresa"	1	"key1"	1.1862682
114	"fresa"	"fresa"	1	"key2"	1.3616912
114	"fresa"	"fresa"	1	"key3"	1.4586632
114	"fresa"	"fresa"	1	"key4"	1.6336898
114	"fresa"	"fresa"	1	"key5"	1.8096822
114	"fresa"	"fresa"	1	"key6"	NA
114	"fresa"	"fresa"	1	"key7"	NA
114	"fresa"	"fresa"	1	"key8"	NA
114	"fresa"	"fresa"	1	"key9"	NA
114	"fresa"	"fresa"	1	"key10"	NA
114	"fresa"	"fresa"	1	"key11"	NA
114	"fresa"	"fresa"	1	"key12"	NA
114	"fresa"	"fresa"	1	"key13"	NA
114	"fresa"	"fresa"	1	"key14"	NA
114	"fresa"	"fresa"	1	"key15"	NA
117	"puente"	"puente"	1	"key1"	0.7804521
117	"puente"	"puente"	1	"key2"	1.0684149
117	"puente"	"puente"	1	"key3"	1.2608756
117	"puente"	"puente"	1	"key4"	1.4367053
117	"puente"	"puente"	1	"key5"	1.6606735
117	"puente"	"puente"	1	"key6"	1.8846652
117	"puente"	"puente"	1	"key7"	NA
117	"puente"	"puente"	1	"key8"	NA
117	"puente"	"puente"	1	"key9"	NA
117	"puente"	"puente"	1	"key10"	NA
117	"puente"	"puente"	1	"key11"	NA
117	"puente"	"puente"	1	"key12"	NA
117	"puente"	"puente"	1	"key13"	NA
117	"puente"	"puente"	1	"key14"	NA
117	"puente"	"puente"	1	"key15"	NA
119	"espalda"	"espalda"	1	"key1"	1.0928958
119	"espalda"	"espalda"	1	"key2"	1.2688304
119	"espalda"	"espalda"	1	"key3"	1.9726795
119	"espalda"	"espalda"	1	"key4"	2.1966461
119	"espalda"	"espalda"	1	"key5"	2.3086395
119	"espalda"	"espalda"	1	"key6"	2.5166416
119	"espalda"	"espalda"	1	"key7"	2.6930142
119	"espalda"	"espalda"	1	"key8"	NA
119	"espalda"	"espalda"	1	"key9"	NA
119	"espalda"	"espalda"	1	"key10"	NA
119	"espalda"	"espalda"	1	"key11"	NA
119	"espalda"	"espalda"	1	"key12"	NA
119	"espalda"	"espalda"	1	"key13"	NA
119	"espalda"	"espalda"	1	"key14"	NA
119	"espalda"	"espalda"	1	"key15"	NA
120	"espalda"	"espalda"	2	"key1"	0.8798346
120	"espalda"	"espalda"	2	"key2"	1.0556825
120	"espalda"	"espalda"	2	"key3"	1.2001258
120	"espalda"	"espalda"	2	"key4"	1.296157
120	"espalda"	"espalda"	2	"key5"	1.4081251
120	"espalda"	"espalda"	2	"key6"	1.7118342
120	"espalda"	"espalda"	2	"key7"	1.9037799
120	"espalda"	"espalda"	2	"key8"	NA
120	"espalda"	"espalda"	2	"key9"	NA
120	"espalda"	"espalda"	2	"key10"	NA
120	"espalda"	"espalda"	2	"key11"	NA
120	"espalda"	"espalda"	2	"key12"	NA
120	"espalda"	"espalda"	2	"key13"	NA
120	"espalda"	"espalda"	2	"key14"	NA
120	"espalda"	"espalda"	2	"key15"	NA
122	"pavo"	"pavo"	1	"key1"	1.3236389
122	"pavo"	"pavo"	1	"key2"	1.4356456
122	"pavo"	"pavo"	1	"key3"	1.7709288
122	"pavo"	"pavo"	1	"key4"	1.8992498
122	"pavo"	"pavo"	1	"key5"	NA
122	"pavo"	"pavo"	1	"key6"	NA
122	"pavo"	"pavo"	1	"key7"	NA
122	"pavo"	"pavo"	1	"key8"	NA
122	"pavo"	"pavo"	1	"key9"	NA
122	"pavo"	"pavo"	1	"key10"	NA
122	"pavo"	"pavo"	1	"key11"	NA
122	"pavo"	"pavo"	1	"key12"	NA
122	"pavo"	"pavo"	1	"key13"	NA
122	"pavo"	"pavo"	1	"key14"	NA
122	"pavo"	"pavo"	1	"key15"	NA
123	"pavo"	"pavo"	2	"key1"	1.0076447
123	"pavo"	"pavo"	2	"key2"	1.0236364
123	"pavo"	"pavo"	2	"key3"	1.343734
123	"pavo"	"pavo"	2	"key4"	1.4717258
123	"pavo"	"pavo"	2	"key5"	NA
123	"pavo"	"pavo"	2	"key6"	NA
123	"pavo"	"pavo"	2	"key7"	NA
123	"pavo"	"pavo"	2	"key8"	NA
123	"pavo"	"pavo"	2	"key9"	NA
123	"pavo"	"pavo"	2	"key10"	NA
123	"pavo"	"pavo"	2	"key11"	NA
123	"pavo"	"pavo"	2	"key12"	NA
123	"pavo"	"pavo"	2	"key13"	NA
123	"pavo"	"pavo"	2	"key14"	NA
123	"pavo"	"pavo"	2	"key15"	NA
126	"vaso"	"vaso"	1	"key1"	0.8732876
126	"vaso"	"vaso"	1	"key2"	0.921274
126	"vaso"	"vaso"	1	"key3"	1.1296732
126	"vaso"	"vaso"	1	"key4"	1.3053539
126	"vaso"	"vaso"	1	"key5"	NA
126	"vaso"	"vaso"	1	"key6"	NA
126	"vaso"	"vaso"	1	"key7"	NA
126	"vaso"	"vaso"	1	"key8"	NA
126	"vaso"	"vaso"	1	"key9"	NA
126	"vaso"	"vaso"	1	"key10"	NA
126	"vaso"	"vaso"	1	"key11"	NA
126	"vaso"	"vaso"	1	"key12"	NA
126	"vaso"	"vaso"	1	"key13"	NA
126	"vaso"	"vaso"	1	"key14"	NA
