"Trial_no"	"CorrectAns"	"SubjResponse"	"Repetition"	"Keypress"	"RT"
1	"columna"	"columna"	1	"key1"	1.2880274001509
1	"columna"	"columna"	1	"key2"	1.54634540015832
1	"columna"	"columna"	1	"key3"	1.75845480011776
1	"columna"	"columna"	1	"key4"	1.97393510024995
1	"columna"	"columna"	1	"key5"	2.16133269993588
1	"columna"	"columna"	1	"key6"	2.32121590012684
1	"columna"	"columna"	1	"key7"	2.39818000001833
1	"columna"	"columna"	1	"key8"	NA
1	"columna"	"columna"	1	"key9"	NA
1	"columna"	"columna"	1	"key10"	NA
1	"columna"	"columna"	1	"key11"	NA
1	"columna"	"columna"	1	"key12"	NA
1	"columna"	"columna"	1	"key13"	NA
1	"columna"	"columna"	1	"key14"	NA
1	"columna"	"columna"	1	"key15"	NA
4	"pierna"	"pierna"	1	"key1"	1.0305715999566
4	"pierna"	"pierna"	1	"key2"	1.1683939001523
4	"pierna"	"pierna"	1	"key3"	1.25716200005263
4	"pierna"	"pierna"	1	"key4"	1.36717740027234
4	"pierna"	"pierna"	1	"key5"	1.46394779998809
4	"pierna"	"pierna"	1	"key6"	1.62237700028345
4	"pierna"	"pierna"	1	"key7"	NA
4	"pierna"	"pierna"	1	"key8"	NA
4	"pierna"	"pierna"	1	"key9"	NA
4	"pierna"	"pierna"	1	"key10"	NA
4	"pierna"	"pierna"	1	"key11"	NA
4	"pierna"	"pierna"	1	"key12"	NA
4	"pierna"	"pierna"	1	"key13"	NA
4	"pierna"	"pierna"	1	"key14"	NA
4	"pierna"	"pierna"	1	"key15"	NA
10	"cazador"	"cazador"	1	"key1"	1.14640440000221
10	"cazador"	"cazador"	1	"key2"	1.20733310002834
10	"cazador"	"cazador"	1	"key3"	1.43405919987708
10	"cazador"	"cazador"	1	"key4"	1.60405259998515
10	"cazador"	"cazador"	1	"key5"	1.74109869962558
10	"cazador"	"cazador"	1	"key6"	1.88404489960521
10	"cazador"	"cazador"	1	"key7"	1.94756999984384
10	"cazador"	"cazador"	1	"key8"	NA
10	"cazador"	"cazador"	1	"key9"	NA
10	"cazador"	"cazador"	1	"key10"	NA
10	"cazador"	"cazador"	1	"key11"	NA
10	"cazador"	"cazador"	1	"key12"	NA
10	"cazador"	"cazador"	1	"key13"	NA
10	"cazador"	"cazador"	1	"key14"	NA
10	"cazador"	"cazador"	1	"key15"	NA
