order;psychopy_order;image;correctAns;respModal;keyResp_keys;keyResp_rt;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion
1;0;REPSWITCH1/PICTURE_178.png;puente;speak;None;;;gold;nontarget;2;NT;1;Stim1_Set1;4,91E+15;6,55E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.19.611.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
2;1;REPSWITCH1/PICTURE_178.png;puente;speak;None;;;gold;repeat;2;T;1;Stim1_Set1;5,37E+15;1,45E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.24.230.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
4;3;REPSWITCH1/PICTURE_142.png;vaso;speak;None;;;gold;nontarget;2;NT;1;Stim2_Set1;6,29E+15;3,66E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.33.471.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
5;4;REPSWITCH1/PICTURE_142.png;vaso;speak;None;;;gold;repeat;2;T;1;Stim2_Set1;6,75E+15;1,20E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.38.090.wav;7,06E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
7;6;REPSWITCH1/PICTURE_135.png;traje;speak;None;;;gold;nontarget;2;NT;1;Stim3_Set1;7,68E+14;3,60E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.47.375.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
10;9;REPSWITCH1/PICTURE_128.png;muñeca;speak;None;;;gold;switch;2;T;1;Stim4_Set1;9,07E+14;1,36E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.01.290.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
11;10;REPSWITCH1/PICTURE_8.png;pierna;speak;None;;;gold;filler;2;F;1;Stim3_Set4;9,54E+15;3,52E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.05.961.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
12;11;REPSWITCH1/PICTURE_19.png;pavo;speak;None;;;gold;nontarget;2;NT;1;Stim5_Set1;1,00E+16;4,09E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.10.561.wav;1,03E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
14;13;REPSWITCH1/PICTURE_498.png;taza;speak;None;;;gold;filler;2;F;1;Stim4_Set4;1,09E+16;4,39E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.19.866.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
17;16;REPSWITCH1/PICTURE_687.png;camisa;speak;None;;;gold;filler;2;F;1;Stim5_Set4;1,23E+16;3,62E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.33.707.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
