Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40
order;psychopy_order;image;correctAns;respModal;keyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;correct;incorrect_correct;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion;str_sub(keyResp_rt, start = 1, end = -1)
3;2;REPSWITCH1/PICTURE_319.png;vaca;type;['v', 'a', 'c', 'a'];0.9352080998942256;11.914.514.992.386.100;14.154.546.996.578.500;1.6235749991610646];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaca;darkblue;filler;1;F;1;Stim1_Set4;5,83E+15;4,19E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.28.814.wav;6,13E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9352080998942256, 1.1914514992386103, 1.4154546996578574, 1.6235749991610646]
6;5;REPSWITCH1/PICTURE_719.png;baño;type;['b', 'a', 'ñ', 'o'];13.950.960.002.839.500;16.667.865.999.042.900;261.260.399.967.432;2.8192491997033358];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;baño;darkblue;filler;1;F;1;Stim2_Set4;7,21E+15;3,91E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.42.680.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3950960002839565, 1.6667865999042988, 2.61260399967432, 2.8192491997033358]
8;7;REPSWITCH1/PICTURE_135.png;traje;type;['t', 'r', 'a', 'j', 'e'];11.260.260.995.477.400;1.301.485.899.835.820;14.940.759.995.952.200;16.700.702.998.787.100;1.8454183991998434];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;traje;darkblue;switch;1;T;1;Stim3_Set1;8,15E+15;1,26E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.52.018.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1260260995477438, 1.301485899835825, 1.4940759995952249, 1.6700702998787165, 1.8454183991998434]
9;8;REPSWITCH1/PICTURE_128.png;muñeca;type;['n', 'backspace', 'm', 'u'];12.741.719.987.243.400;21.532.774.986.699.200;2.729.181.499.220.430;2.936428398825228];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;mu;darkblue;nontarget;1;NT;1;Stim4_Set1;8,61E+15;3,96E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.56.627.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2741719987243414, 2.1532774986699224, 2.729181499220431, 2.936428398825228]
13;12;REPSWITCH1/PICTURE_19.png;pavo;type;['p', 'a', 'v', 'o'];11.268.621.990.457.100;1.590.583.698.824.040;18.142.437.990.754.800;1.9105699993669987];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pavo;darkblue;switch;1;T;1;Stim5_Set1;1,05E+16;1,78E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.15.212.wav;1,08E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1268621990457177, 1.590583698824048, 1.8142437990754843, 1.9105699993669987]
15;14;REPSWITCH1/PICTURE_16.png;cazador;type;['c', 'c', 'z'];10.045.992.992.818.300;15.326.180.988.922.700;2.077182998880744];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;ccz;darkblue;nontarget;1;NT;1;Stim6_Set1;1,14E+16;4,43E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.24.463.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0045992992818356, 1.5326180988922715, 2.077182998880744]
16;15;REPSWITCH1/PICTURE_16.png;cazador;type;['v', 'backspace', 'c', 'a', 'z'];1.529.590.499.587.350;18.495.879.992.842.600;25.374.034.997.075.700;2.745.456.799.864.760;2.90522029902786];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;caz;darkblue;repeat;1;T;1;Stim6_Set1;1,18E+16;1,49E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.29.034.wav;1,22E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.529590499587357, 1.8495879992842674, 2.5374034997075796, 2.745456799864769, 2.90522029902786]
18;17;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];10.754.102.999.344.400;13.314.006.999.135.000;14.914.064.994.081.800;1.6522704996168613];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaso;darkblue;nontarget;1;NT;1;Stim7_Set1;1,28E+16;1,23E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.38.367.wav;1,31E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0754102999344468, 1.3314006999135017, 1.4914064994081855, 1.6522704996168613]
19;18;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];11.231.926.996.260.800;13.632.174.003.869.200;15.071.823.000.907.800;1.6359229004010558];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaso;darkblue;repeat;1;T;1;Stim7_Set1;1,32E+16;1,25E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.42.996.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1231926996260881, 1.3632174003869295, 1.5071823000907898, 1.6359229004010558]
