line;trial_no;RT;Duration;tmin;tier;text;tmax;Column1
1;1;0;3;0;silences;sounding;3;
2;;0;3;0;transcription;[type];3;
1;2;0;1.185472;0;silences;silent;1.185472;
4;;0;1.185472;0;transcription;[tongue];1.185472;
2;;1.185472;0.543944;1.185472;silences;sounding;1.729416;
5;;1.185472;0.543944;1.185472;transcription;camisa;1.729416;
3;;1.729416;1.280584;1.729416;silences;silent;3.01;
6;;1.729416;1.280584;1.729416;transcription;?;3.01;
1;3;0;3.05;0;silences;sounding;3.05;
2;;0;3.05;0;transcription;[type];3.05;
1;4;0;0.856415;0;silences;silent;0.856415;
4;;0;0.856415;0;transcription;?;0.856415;
2;;0.856415;0.625391;0.856415;silences;sounding;1.481806; 
5;;0.856415;0.625391;0.856415;transcription;muñeca;1.481806;
3;;1.481806;1.558194;1.481806;silences;silent;3.04;
6;;1.481806;1.558194;1.481806;transcription;?;3.04;
1;5;0;1.193;0;silences;silent;1.193;
4;;0;1.193;0;transcription;?;1.193;
2;;1.193;0.491683;1.193;silences;sounding;1.684683;
5;;1.193;0.491683;1.193;transcription;pierna;1.684683;
3;;1.684683;1.325317;1.684683;silences;silent;3.01;
6;;1.684683;1.325317;1.684683;transcription;?;3.01;
1;6;0;1.310171;0;silences;silent;1.310171;
4;;0;1.310171;0;transcription;?;1.310171;
2;;1.310171;0.386262;1.310171;silences;sounding;1.696433;
5;;1.310171;0.386262;1.310171;transcription;pavo;1.696433;
3;;1.696433;1.343567;1.696433;silences;silent;3.04;
6;;1.696433;1.343567;1.696433;transcription;?;3.04;
1;7;0;3.01;0;silences;sounding;3.01;
2;;0;3.01;0;transcription;[type];3.01;
1;8;0;3.04;0;silences;sounding;3.04;
2;;0;3.04;0;transcription;[type];3.04;
1;9;0;3;0;silences;sounding;3;
2;;0;3;0;transcription;[type];3;
1;10;0;0.960018;0;silences;silent;0.960018;
4;;0;0.960018;0;transcription;?;0.960018;
2;;0.960018;0.477417;0.960018;silences;sounding;1.437435;
5;;0.960018;0.477417;0.960018;transcription;taza;1.437435;
3;;1.437435;1.572565;1.437435;silences;silent;3.01;
6;;1.437435;1.572565;1.437435;transcription;?;3.01;
1;11;0;2.98;0;silences;sounding;2.98;
2;;0;2.98;0;transcription;[type];2.98;
1;12;0;3.05;0;silences;sounding;3.05;
2;;0;3.05;0;transcription;[type];3.05;
1;13;0;3.04;0;silences;sounding;3.04;
2;;0;3.04;0;transcription;[type];3.04;
1;14;0;3;0;silences;sounding;3;
2;;0;3;0;transcription;[type];3;
1;15;0;1.046637;0;silences;silent;1.046637;
4;;0;1.046637;0;transcription;?;1.046637;
2;;1.046637;0.600114;1.046637;silences;sounding;1.646751;
5;;1.046637;0.600114;1.046637;transcription;regalo;1.646751;
3;;1.646751;1.353249;1.646751;silences;silent;3;
6;;1.646751;1.353249;1.646751;transcription;?;3;
1;16;0;3;0;silences;sounding;3;
2;;0;3;0;transcription;[type];3;
1;17;0;3.01;0;silences;sounding;3.01;
2;;0;3.01;0;transcription;[type];3.01;
1;18;0;0.538784;0;silences;silent;0.538784;
4;;0;0.538784;0;transcription;?;0.538784;
2;;0.538784;0.843341;0.538784;silences;sounding;1.382125;
