line;trial_no;RT;Duration;tmin;tier;text;tmax
1;1;0;3;0;silences;sounding;3
2;;0;3;0;transcription;[type];3
1;2;0;1.715152;0;silences;silent;1.715152
4;;0;1.715152;0;transcription;?;1.715152
2;;1.715152;0.647746;1.715152;silences;sounding;2.362898
5;;1.715152;0.647746;1.715152;transcription;aguja;2.362898
3;;2.362898;0.637102;2.362898;silences;silent;3
6;;2.362898;0.637102;2.362898;transcription;?;3
1;3;0;0.936;0;silences;silent;0.936
4;;0;0.936;0;transcription;?;0.936
2;;0.936;0.736246;0.936;silences;sounding;1.672246
5;;0.936;0.736246;0.936;transcription;aguja;1.672246
3;;1.672246;1.327754;1.672246;silences;silent;3
6;;1.672246;1.327754;1.672246;transcription;?;3
1;4;0;3.01;0;silences;sounding;3.01
2;;0;3.01;0;transcription;[type];3.01
1;5;0;0.959196;0;silences;silent;0.959196
4;;0;0.959196;0;transcription;?;0.959196
2;;0.959196;0.767482;0.959196;silences;sounding;1.726678
5;;0.959196;0.767482;0.959196;transcription;manzana;1.726678
3;;1.726678;1.313322;1.726678;silences;silent;3.04
6;;1.726678;1.313322;1.726678;transcription;?;3.04
1;6;0;1.009;0;silences;silent;1.009
4;;0;1.009;0;transcription;?;1.009
2;;1.009;0.51035;1.009;silences;sounding;1.51935
5;;1.009;0.51035;1.009;transcription;oreja;1.51935
3;;1.51935;1.49065;1.51935;silences;silent;3.01
6;;1.51935;1.49065;1.51935;transcription;?;3.01
1;7;0;0.750432;0;silences;silent;0.750432
4;;0;0.750432;0;transcription;?;0.750432
2;;0.750432;0.545568;0.750432;silences;sounding;1.296
5;;0.750432;0.545568;0.750432;transcription;oreja;1.296
3;;1.296;1.744;1.296;silences;silent;3.04
6;;1.296;1.744;1.296;transcription;?;3.04
1;8;0;3;0;silences;sounding;3
2;;0;3;0;transcription;[type];3
1;9;0;1.381853;0;silences;silent;1.381853
4;;0;1.381853;0;transcription;?;1.381853
2;;1.381853;0.462017;1.381853;silences;sounding;1.84387
5;;1.381853;0.462017;1.381853;transcription;goma;1.84387
3;;1.84387;1.15613;1.84387;silences;silent;3
6;;1.84387;1.15613;1.84387;transcription;?;3
1;10;0;3.01;0;silences;sounding;3.01
2;;0;3.01;0;transcription;[type];3.01
1;11;0;1.14496;0;silences;silent;1.14496
4;;0;1.14496;0;transcription;?;1.14496
2;;1.14496;0.42404;1.14496;silences;sounding;1.569
5;;1.14496;0.42404;1.14496;transcription;mano;1.569
3;;1.569;1.481;1.569;silences;silent;3.05
6;;1.569;1.481;1.569;transcription;?;3.05
1;12;0;3.05;0;silences;sounding;3.05
2;;0;3.05;0;transcription;[type];3.05
1;13;0;3.04;0;silences;sounding;3.04
2;;0;3.04;0;transcription;[type];3.04
1;14;0;0.949614;0;silences;silent;0.949614
4;;0;0.949614;0;transcription;?;0.949614
2;;0.949614;0.622266;0.949614;silences;sounding;1.57188
5;;0.949614;0.622266;0.949614;transcription;cerdo;1.57188
3;;1.57188;1.42812;1.57188;silences;silent;3
6;;1.57188;1.42812;1.57188;transcription;?;3
1;15;0;3.01;0;silences;sounding;3.01
2;;0;3.01;0;transcription;[type];3.01
1;16;0;3.05;0;silences;sounding;3.05
