Trial_no;CorrectAns;SubjResponse;Notes;backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv1l1.started
1;espejo;espejo;;0;;1;0;0;1.1562615;0.895465;type;['e', 's', 'p', 'e', 'j', 'o'];1.1562615;1.2998903;1.4761257;1.5721227;1.8596902;2.0517265;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;24.5305766
2;cadena;cadena;;0;;1;0;0;1.208;0.451187;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;29.17699
3;puente;puente;;0;;1;0;0;1.009;0.449831;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;33.7956932
4;puente;puente;;0;;1;0;0;1.113;0.520737;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;38.4908744
5;vaca;vaca;;0;;1;0;0;1.0228119;0.5122477;type;['v', 'a', 'c', 'a'];1.0228119;1.1507497;1.4387506;1.5350596;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;43.0958672
6;fresa;fr(esa};started typing, then spoke;0;;0;1;0;1.900556;0.384911;speak;['f', 'r'];1.1624933;1.3375314;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;47.8045381
7;fresa;fresa;;0;;1;0;0;1.20712;0.44088;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;52.3744323
8;baño;baño;;0;;1;0;0;1.0619044;0.8637799;type;['b', 'a', 'ñ', 'o'];1.0619044;1.1738465;1.7176914;1.9256843;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;56.9443785
9;traje;traje;;0;;1;0;0;1.224;0.461926;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;61.6743967
10;traje;traje;;0;;1;0;0;1.0531189;0.6889526;type;['t', 'r', 'a', 'j', 'e'];1.0531189;1.2290729;1.2930979;1.6452155;1.7420715;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;66.3137064
11;camisa;camisa;;0;;1;0;0;1.185472;0.543944;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;70.9392548
