"","Trial_no","CorrectAns","SubjResponse","Transcription","Notes","Backspace","Item_correct","Modality_Correct","Exclude","Experiment_part","RepSwitch","Error_Corrected","Hesitation","RespModal","RT","Duration","KeyResp_keys","key1","key2","key3","key4","key5","key6","key7","key8","key9","key10","key11","key12","key13","key14","key15","baseline","baseline_condition"
"1",1,"espejo","espejio","[type]","",0,"0",1,"1","First","filler",NA,0,"type",1.0333323,0.7516351,"['e', 's', 'p', 'e', 'j', 'i', 'o']",1.0333323,1.2091375,1.3531809,1.4331943,1.6085264,1.7684132,1.7849674,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"2",2,"cadena","cadena","cadena","mic sound /?/",0,"1",1,"0","First","filler",NA,0,"speak",0.708848,0.395152,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"3",3,"puente","puente","puente","articulation sound",0,"1",1,"0","First","nontarget",NA,0,"speak",0.736,0.396277,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"4",4,"puente","puente","puente","",0,"1",1,"0","First","repeat",NA,0,"speak",0.788899,0.388637,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"5",5,"vaca","vaca","[type]","",0,"1",1,"0","First","filler",NA,0,"type",0.9202477,0.2888971,"['v', 'a', 'c', 'a']",0.9202477,1.0491492,1.1291399,1.2091448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"6",6,"fresa","fresa","fresa","",0,"1",1,"0","First","nontarget",NA,0,"speak",0.805323,0.450336,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"7",7,"fresa","fresa","fresa","",0,"1",1,"0","First","repeat",NA,0,"speak",0.482035,0.441506,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"8",8,"ba?o","na?o","[type]","",1,"0",1,"1","First","filler",NA,0,"type",0.9440352,1.6324953,"['n', 'a', 'backspace', 'a', '?', 'o']",0.9440352,1.0400621,1.3917702,1.8721299,2.3844834,2.5765305,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"9",9,"traje","traje","traje","tongue",0,"1",1,"0","First","nontarget",NA,0,"speak",0.909959,0.371922,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"10",10,"traje","traje","[type]","",0,"1",1,"0","First","switch",NA,0,"type",0.6547774,0.5919883,"['t', 'r', 'a', 'j', 'e']",0.6547774,0.798741,0.8947347,1.1826573,1.2467657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"11",11,"camisa","camisa","camisa","",0,"1",1,"0","First","filler",NA,0,"speak",0.647497,0.442231,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"12",12,"mu?eca","u?eac","[type]","",0,"0",1,"1","First","nontarget",NA,0,"type",1.2477331,1.3596853,"['u', '?', 'e', 'a', 'c']",1.2477331,1.9354316,2.3193883,2.5914249,2.6074184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"13",13,"mu?eca","mu?eca","mu?eca","",0,"1",1,"1","First","switch",NA,0,"speak",0.872,0.468905,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"14",14,"pierna","pierna","uhmm...pierna","uhmm...pierna",0,"1",1,"0","First","filler",NA,1,"speak",1.76255,0.375266,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"15",15,"pavo","pavo","pavo","",0,"1",1,"0","First","nontarget",NA,0,"speak",0.672,0.28,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"16",16,"pavo","pavo","[type]","",0,"1",1,"0","First","switch",NA,0,"type",0.9925778,0.4641802,"['p', 'a', 'v', 'o']",0.9925778,1.0725373,1.2167502,1.456758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"17",17,"cazador","cazado","[type]","deep breath",0,"0",1,"1","First","nontarget",NA,0,"type",1.9980499,0.9283355,"['c', 'a', 'z', 'a', 'd', 'o']",1.9980499,2.1258769,2.3983744,2.5273663,2.8303723,2.9263854,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"18",18,"cazador","cazador","[type]","",0,"1",1,"1","First","repeat",NA,0,"type",1.118882,0.8481599,"['c', 'a', 'z', 'a', 'd', 'o', 'r']",1.118882,1.1988775,1.3588678,1.4549136,1.7912867,1.8551171,1.9670419,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"19",19,"taza","taza","taza","mic sound /?/",0,"1",1,"0","First","filler",NA,0,"speak",0.813603,0.335045,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"20",20,"bombero","bombero","[type]","",0,"1",1,"0","First","filler",NA,0,"type",1.2088214,1.1200026,"['b', 'o', 'm', 'b', 'e', 'r', 'o']",1.2088214,1.5280241,1.7040516,1.9928061,2.0738309,2.2328375,2.328824,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"21",21,"vaso","vaso","[type]","",0,"1",1,"0","First","nontarget",NA,0,"type",1.4952016,0.3680545,"['v', 'a', 's', 'o']",1.4952016,1.5591572,1.7191552,1.8632561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"22",22,"vaso","vaso","[type]","",0,"1",1,"0","First","repeat",NA,0,"type",0.8840755,0.3857071,"['v', 'a', 's', 'o']",0.8840755,0.9960735,1.1554048,1.2697826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"23",23,"regalo","regalo","regalo","tongue",0,"1",1,"0","First","filler",NA,0,"speak",0.624807,0.483733,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"24",24,"pulpo","pulpo","[type]","",0,"1",1,"0","First","filler",NA,0,"type",0.9474951,0.8796015,"['p', 'u', 'l', 'p', 'o']",0.9474951,1.218828,1.5554825,1.6830941,1.8270966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"25",25,"espalda","espalda","[type]","",0,"1",1,"0","First","nontarget",NA,0,"type",1.2649396,0.6879927,"['e', 's', 'p', 'a', 'l', 'd', 'a']",1.2649396,1.3769229,1.4728976,1.55292,1.6489058,1.7769332,1.9529323,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"26",26,"espalda","espalda","espalda","",0,"1",1,"0","First","switch",NA,0,"speak",0.663671,0.531665,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"27",27,"puente","puente","puente","",0,"1",1,"0","First","filler",NA,0,"speak",0.915882,0.368452,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"28",28,"pintor","pintor","[type]","",0,"1",1,"0","First","nontarget",NA,0,"type",0.6300091,0.8007012,"['p', 'i', 'n', 't', 'o', 'r']",0.6300091,0.9338562,1.0616989,1.2536923,1.3336633,1.4307103,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"29",29,"pintor","pintor","[type]","",0,"1",1,"0","First","repeat",NA,0,"type",1.0031407,0.687623,"['p', 'i', 'n', 't', 'o', 'r']",1.0031407,1.2107572,1.3707555,1.4827454,1.5947583,1.6907637,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
