Column1;Trial_no;CorrectAns;SubjResponse;Notes;Backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv2l1.started
1;1;espejo;espejio;NA;0;0;NA;NA;NA;NA;NA;type;['e', 's', 'p', 'e', 'j', 'i', 'o'];1.03333230013959;1.20913750003092;1.35318089998327;1.43319430015981;1.6085264000576;1.76841320004314;1.78496740013361;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;8.00445E+14
2;2;cadena;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;8.47187E+14
3;3;puente;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;8.93998E+14
4;4;puente;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;9.39492E+13
5;5;vaca;vaca;NA;0;1;NA;NA;NA;NA;NA;type;['v', 'a', 'c', 'a'];0.920247700065374;1.04914920008741;1.12913989997469;1.20914479997009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;9.85886E+14
6;6;fresa;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;1.03277E+14
7;7;fresa;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.08006E+14
8;8;ba?o;na?o;NA;1;0;NA;NA;NA;NA;NA;type;['n', 'a', 'backspace', 'a', '?', 'o'];0.944035199936479;1.04006210016087;1.39177020010538;1.87212990014814;2.38448340003379;2.5765305000823;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;1.12757E+14
9;9;traje;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;1.17362E+14
10;10;traje;traje;NA;0;1;NA;NA;NA;NA;NA;type;['t', 'r', 'a', 'j', 'e'];0.654777399962768;0.798741000005975;0.894734699977562;1.18265729979612;1.24676569993608;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.22071E+14
11;11;camisa;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.26703E+14
12;12;mu?eca;u?eac;NA;0;0;NA;NA;NA;NA;NA;type;['u', '?', 'e', 'a', 'c'];1.24773310008459;1.93543160008267;2.31938830018044;2.59142490010709;2.60741840000264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;1.3135E+14
13;13;mu?eca;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.35975E+14
14;14;pierna;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.4058E+14
15;15;pavo;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;1.45199E+14
16;16;pavo;pavo;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'a', 'v', 'o'];0.992577800061554;1.07253729994409;1.21675019990653;1.45675799995661;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.49797E+14
17;17;cazador;cazado;NA;0;0;NA;NA;NA;NA;NA;type;['c', 'a', 'z', 'a', 'd', 'o'];1.99804989993572;2.12587690004148;2.3983744001016;2.5273663001135;2.830372299999;2.92638540011831;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;1.54407E+14
18;18;cazador;cazador;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'a', 'z', 'a', 'd', 'o', 'r'];1.11888199998066;1.19887749990448;1.35886779986322;1.45491359988227;1.79128669993952;1.85511709982529;1.96704189991578;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.5911E+14
19;19;taza;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.63804E+14
20;20;bombero;bombero;NA;0;1;NA;NA;NA;NA;NA;type;['b', 'o', 'm', 'b', 'e', 'r', 'o'];1.20882139983587;1.52802410000004;1.70405159983784;1.99280609982088;2.07383089978248;2.23283749981783;2.32882399996743;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.68445E+14
21;21;vaso;vaso;NA;0;1;NA;NA;NA;NA;NA;type;['v', 'a', 's', 'o'];1.49520160001703;1.55915720015764;1.71915520005859;1.86325610009953;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.7307E+14
22;22;vaso;vaso;NA;0;1;NA;NA;NA;NA;NA;type;['v', 'a', 's', 'o'];0.884075499838218;0.996073500020429;1.15540479985066;1.26978259999305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.77634E+14
