image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv1l1.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv1l1.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,10.608184900018387,13.112486899946816,13.112486899946816,13.112486899946816,13.112486899946816,space,8.014784900005907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,21.15452770004049,space,2.2123049000510946,,,,,,,,,,,,,,,,,,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_340.png,espejo,type,darkblue,filler,1,F,1,1,1,1,Extra1,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,23.47515359998215,24.530576599994674,24.530576599994674,24.530576599994674,24.530576599994674,24.530576599994674,24.530576599994674,24.530576599994674,24.530576599994674,"['e', 's', 'p', 'e', 'j', 'o']",0,"[1.1562614999711514, 1.2998903000261635, 1.4761256999336183, 1.5721226999303326, 1.8596901999553666, 2.0517264999216422]",espejo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h57.34.548.wav,27.551532099954784,28.05159189994447,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_391.png,cadena,speak,gold,filler,2,F,1,1,1,1,Extra2,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,28.05159189994447,29.176989999949,29.176989999949,29.176989999949,29.176989999949,29.176989999949,29.176989999949,29.176989999949,29.176989999949,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h57.39.196.wav,32.20491780003067,,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,nontarget,2,NT,1,1,1,1,Stim1_Set1,1,repeat,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,32.705169899971224,33.79569319996517,33.79569319996517,33.79569319996517,33.79569319996517,33.79569319996517,33.79569319996517,33.79569319996517,33.79569319996517,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h57.43.824.wav,36.83055419998709,,None,36.83055419998709,36.83055419998709,36.83055419998709,36.83055419998709,36.83055419998709,36.83055419998709,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,repeat,2,T,1,1,1,1,Stim1_Set1,0,None,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,37.33049379999284,38.490874400013126,38.490874400013126,38.490874400013126,38.490874400013126,38.490874400013126,38.490874400013126,38.490874400013126,38.490874400013126,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h57.48.517.wav,41.525801399955526,,None,41.525801399955526,41.525801399955526,41.525801399955526,41.525801399955526,41.525801399955526,41.525801399955526,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_319.png,vaca,type,darkblue,filler,1,F,1,1,1,1,Stim1_Set4,0,None,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,42.02585610002279,43.095867199939676,43.095867199939676,43.095867199939676,43.095867199939676,43.095867199939676,43.095867199939676,43.095867199939676,43.095867199939676,"['v', 'a', 'c', 'a']",0,"[1.0228119000094011, 1.150749700027518, 1.4387506000930443, 1.5350596000207588]",vaca,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h57.53.113.wav,46.116583099938,46.616724199964665,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_381.png,fresa,speak,gold,nontarget,2,NT,1,1,1,1,Stim2_Set1,1,switch,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,46.616724199964665,47.80453810002655,47.80453810002655,47.80453810002655,47.80453810002655,47.80453810002655,47.80453810002655,47.80453810002655,47.80453810002655,"['f', 'r']",0,"[1.1624932999256998, 1.3375313999131322]",fr,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h57.57.820.wav,50.825424000038765,,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_381.png,fresa,speak,gold,repeat,2,T,1,1,1,1,Stim2_Set1,0,None,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,51.325636800029315,52.37443229998462,52.37443229998462,52.37443229998462,52.37443229998462,52.37443229998462,52.37443229998462,52.37443229998462,52.37443229998462,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.02.391.wav,55.39546379994135,,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
REPSWITCH1/PICTURE_719.png,baño,type,darkblue,filler,1,F,1,1,1,1,Stim2_Set4,1,switch,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,55.89566219993867,56.9443784999894,56.9443784999894,56.9443784999894,56.9443784999894,56.9443784999894,56.9443784999894,56.9443784999894,56.9443784999894,"['b', 'a', 'ñ', 'o']",0,"[1.0619044000050053, 1.1738464999943972, 1.7176913999719545, 1.9256843000184745]",baño,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_version1_list1_2023-09-28_10h57.15.798_micRespv1l1_recorded\recording_micRespv1l1_2023-09-28_10h58.06.965.wav,59.972634300007485,,None,,,,,,,,,,,000101,001,2023-09-28_10h57.15.798,REPSWITCH1_version1_list1,2022.2.4,143.96194811716686,
