image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l2.started,keyResp.keys,keyResp.corr,subjResponse,micRespv2l2.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,9.519988999934867,12.01969550002832,12.01969550002832,12.01969550002832,12.01969550002832,space,9.283972200006247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,21.319528999971226,space,6.1063558999449015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
REPSWITCH1/PICTURE_646.png,tronco,speak,darkblue,filler,2,F,1,3,2,2,Extra4,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,27.52874959993642,28.73717380000744,28.73717380000744,28.73717380000744,28.73717380000744,28.73717380000744,28.73717380000744,28.73717380000744,28.73717380000744,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_version2_list2_2023-11-16_12h09.03.371_micRespv2l2_recorded\recording_micRespv2l2_2023-11-16_12h09.27.464.wav,31.75847000000067,32.25842470000498,None,,,,,,,,,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
REPSWITCH1/PICTURE_340.png,espejo,type,gold,filler,1,F,1,3,2,2,Extra1,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,32.25842470000498,33.43222620000597,33.43222620000597,33.43222620000597,33.43222620000597,33.43222620000597,33.43222620000597,33.43222620000597,33.43222620000597,"['e', 's', 'p', 'e', 'o', 'backspace']",0,espe,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_version2_list2_2023-11-16_12h09.03.371_micRespv2l2_recorded\recording_micRespv2l2_2023-11-16_12h09.32.162.wav,36.46040679991711,,None,36.46040679991711,36.46040679991711,36.46040679991711,36.46040679991711,36.46040679991711,36.46040679991711,"[0.7890795000130311, 0.9772544999141246, 1.079899000003934, 1.168203099980019, 1.4830287999939173, 2.724503199919127]",,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
REPSWITCH1/PICTURE_338.png,regalo,speak,darkblue,filler,2,F,1,3,2,2,Stim6_Set4,0,None,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,36.96046319999732,38.016227799933404,38.016227799933404,38.016227799933404,38.016227799933404,38.016227799933404,38.016227799933404,38.016227799933404,38.016227799933404,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_version2_list2_2023-11-16_12h09.03.371_micRespv2l2_recorded\recording_micRespv2l2_2023-11-16_12h09.36.747.wav,41.044332599965855,,None,41.044332599965855,41.044332599965855,41.044332599965855,41.044332599965855,41.044332599965855,41.044332599965855,,,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
REPSWITCH1/PICTURE_142.png,vaso,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim7_Set1,1,repeat,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,41.54446449992247,42.61401130002923,42.61401130002923,42.61401130002923,42.61401130002923,42.61401130002923,42.61401130002923,42.61401130002923,42.61401130002923,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_version2_list2_2023-11-16_12h09.03.371_micRespv2l2_recorded\recording_micRespv2l2_2023-11-16_12h09.41.344.wav,45.63520589994732,46.13535110000521,None,45.63520589994732,45.63520589994732,45.63520589994732,45.63520589994732,45.63520589994732,45.63520589994732,,,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
REPSWITCH1/PICTURE_142.png,vaso,speak,darkblue,repeat,2,T,1,3,2,2,Stim7_Set1,0,None,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,46.13535110000521,47.232671799953096,47.232671799953096,47.232671799953096,47.232671799953096,47.232671799953096,47.232671799953096,47.232671799953096,47.232671799953096,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_version2_list2_2023-11-16_12h09.03.371_micRespv2l2_recorded\recording_micRespv2l2_2023-11-16_12h09.45.963.wav,50.26085750001948,,None,50.26085750001948,50.26085750001948,50.26085750001948,50.26085750001948,50.26085750001948,50.26085750001948,,,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
REPSWITCH1/PICTURE_498.png,taza,type,gold,filler,1,F,1,3,2,2,Stim4_Set4,0,None,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,50.760838699992746,51.85135409992654,51.85135409992654,51.85135409992654,51.85135409992654,51.85135409992654,51.85135409992654,51.85135409992654,51.85135409992654,"['t', 'a', 'z', 'a', 'a', 'backspace']",0,taza,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_version2_list2_2023-11-16_12h09.03.371_micRespv2l2_recorded\recording_micRespv2l2_2023-11-16_12h09.50.581.wav,54.87251549994107,55.37259239994455,None,54.87251549994107,54.87251549994107,54.87251549994107,54.87251549994107,54.87251549994107,54.87251549994107,"[1.0125456999521703, 1.090367899974808, 1.2840566999511793, 1.4744194999802858, 1.4853708998998627, 2.03175649989862]",,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
REPSWITCH1/PICTURE_16.png,cazador,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim6_Set1,1,switch,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,55.37259239994455,56.45609879994299,56.45609879994299,56.45609879994299,56.45609879994299,56.45609879994299,56.45609879994299,56.45609879994299,56.45609879994299,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_version2_list2_2023-11-16_12h09.03.371_micRespv2l2_recorded\recording_micRespv2l2_2023-11-16_12h09.55.188.wav,59.48424369993154,59.98436789994594,None,59.48424369993154,59.48424369993154,59.48424369993154,59.48424369993154,59.48424369993154,59.48424369993154,,,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
REPSWITCH1/PICTURE_16.png,cazador,speak,darkblue,repeat,2,T,1,3,2,2,Stim6_Set1,0,None,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,59.98436789994594,61.10945789993275,61.10945789993275,61.10945789993275,61.10945789993275,61.10945789993275,61.10945789993275,61.10945789993275,61.10945789993275,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/040202_REPSWITCH1_version2_list2_2023-11-16_12h09.03.371_micRespv2l2_recorded\recording_micRespv2l2_2023-11-16_12h09.59.839.wav,64.1306436000159,64.63077799999155,None,64.1306436000159,64.1306436000159,64.1306436000159,64.1306436000159,64.1306436000159,64.1306436000159,,,,,,,040202,001,2023-11-16_12h09.03.371,REPSWITCH1_version2_list2,2022.2.4,143.96422792530453,
