image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l1.started;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv1l1.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate
;;;;;;;;;;;;;;;;;;;;;11.2468019;13.7457098;13.7457098;13.7457098;13.7457098;space;3.0203997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.7807543;16.7807543;16.7807543;16.7807543;16.7807543;16.7807543;16.7807543;16.7807543;16.7807543;16.7807543;16.7807543;16.7807543;16.7807543;space;5.0986816;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_340.png;espejo;type;darkblue;filler;1;F;1;1;1;1;Extra1;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;21.9829229;23.017723;23.017723;23.017723;23.017723;23.017723;23.017723;23.017723;23.017723;['e', 's', 'p', 'e', 'k', 'backspace'];0;[1.051835399819538, 1.155518600018695, 1.2342532998882234, 1.3706507999449968, 2.1151015998329967, 2.755263299914077];espe;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.18.401.wav;26.0389368;26.5390785;None;;;;;;;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_391.png;cadena;speak;gold;filler;2;F;1;1;1;1;Extra2;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;26.5390785;27.6711129;27.6711129;27.6711129;27.6711129;27.6711129;27.6711129;27.6711129;27.6711129;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.23.057.wav;30.6992768;31.1993415;None;30.6992768;30.6992768;30.6992768;30.6992768;30.6992768;30.6992768;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_178.png;puente;speak;gold;nontarget;2;NT;1;1;1;1;Stim1_Set1;1;repeat;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;31.1993415;32.3453816;32.3453816;32.3453816;32.3453816;32.3453816;32.3453816;32.3453816;32.3453816;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.27.731.wav;35.373484;;None;35.373484;35.373484;35.373484;35.373484;35.373484;35.373484;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_178.png;puente;speak;gold;repeat;2;T;1;1;1;1;Stim1_Set1;0;None;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;35.8735335;36.9709165;36.9709165;36.9709165;36.9709165;36.9709165;36.9709165;36.9709165;36.9709165;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.32.355.wav;39.9921567;40.4922027;None;39.9921567;39.9921567;39.9921567;39.9921567;39.9921567;39.9921567;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_319.png;vaca;type;darkblue;filler;1;F;1;1;1;1;Stim1_Set4;0;None;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;40.4922027;41.5340335;41.5340335;41.5340335;41.5340335;41.5340335;41.5340335;41.5340335;41.5340335;['v', 'a', 'c', 'a'];0;[1.0022639001253992, 1.0967918001115322, 1.234783000079915, 1.301452600164339];vaca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.36.919.wav;44.555327;45.0553873;None;44.555327;44.555327;44.555327;44.555327;44.555327;44.555327;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_381.png;fresa;speak;gold;nontarget;2;NT;1;1;1;1;Stim2_Set1;1;switch;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;45.0553873;46.1041236;46.1041236;46.1041236;46.1041236;46.1041236;46.1041236;46.1041236;46.1041236;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.41.489.wav;49.1252729;49.6253617;None;49.1252729;49.1252729;49.1252729;49.1252729;49.1252729;49.1252729;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_381.png;fresa;speak;gold;repeat;2;T;1;1;1;1;Stim2_Set1;0;None;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;49.6253617;50.7088541;50.7088541;50.7088541;50.7088541;50.7088541;50.7088541;50.7088541;50.7088541;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.46.092.wav;53.7300434;54.2301956;None;53.7300434;53.7300434;53.7300434;53.7300434;53.7300434;53.7300434;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
REPSWITCH1/PICTURE_719.png;baño;type;darkblue;filler;1;F;1;1;1;1;Stim2_Set4;1;switch;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;54.2301956;55.3344539;55.3344539;55.3344539;55.3344539;55.3344539;55.3344539;55.3344539;55.3344539;['a', 'backspace', 'b', 'a', 'ñ'];0;[1.23197490000166, 1.9659786000847816, 2.291305199963972, 2.3650553999468684, 2.5663515999913216];bañ;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/090101_REPSWITCH1_version1_list1_2023-11-22_13h45.01.739_micRespv1l1_recorded\recording_micRespv1l1_2023-11-22_13h45.50.720.wav;58.3625967;;None;58.3625967;58.3625967;58.3625967;58.3625967;58.3625967;58.3625967;;;;;;90101;1;2023-11-22_13h45.01.739;REPSWITCH1_version1_list1;2022.2.4;143.9942862
