image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l2.started;keyResp.keys;keyResp.corr;subjResponse;micRespv1l2.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.rt;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;34.47597060073167;36.973226400092244;36.973226400092244;36.973226400092244;36.973226400092244;space;5.892061899416149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;42.883699300698936;space;8.303569399751723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
REPSWITCH1/PICTURE_646.png;tronco;speak;gold;filler;2;F;1;3;2;1;Extra4;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;51.28066090028733;52.343324900604784;52.343324900604784;52.343324900604784;52.343324900604784;52.343324900604784;52.343324900604784;52.343324900604784;52.343324900604784;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/430102_REPSWITCH1_version1_list2_2024-01-18_15h43.56.192_micRespv1l2_recorded\recording_micRespv1l2_2024-01-18_15h44.18.946.wav;55.36452780012041;55.864658400416374;None;;;;;;;;;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
REPSWITCH1/PICTURE_340.png;espejo;type;darkblue;filler;1;F;1;3;2;1;Extra1;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;55.864658400416374;56.9063908001408;56.9063908001408;56.9063908001408;56.9063908001408;56.9063908001408;56.9063908001408;56.9063908001408;56.9063908001408;['e', 's', 'p', 'e', 'j', 'o'];0;espejo;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/430102_REPSWITCH1_version1_list2_2024-01-18_15h43.56.192_micRespv1l2_recorded\recording_micRespv1l2_2024-01-18_15h44.23.513.wav;59.93456770014018;;None;59.93456770014018;59.93456770014018;59.93456770014018;59.93456770014018;59.93456770014018;59.93456770014018;[0.8594297003000975, 1.0288624996319413, 1.2077698996290565, 1.3291154997423291, 1.5204755002632737, 1.6819270998239517];;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
REPSWITCH1/PICTURE_338.png;regalo;speak;gold;filler;2;F;1;3;2;1;Stim6_Set4;0;None;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;60.43463010061532;61.4764145007357;61.4764145007357;61.4764145007357;61.4764145007357;61.4764145007357;61.4764145007357;61.4764145007357;61.4764145007357;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/430102_REPSWITCH1_version1_list2_2024-01-18_15h43.56.192_micRespv1l2_recorded\recording_micRespv1l2_2024-01-18_15h44.28.083.wav;64.50461800023913;;None;64.50461800023913;64.50461800023913;64.50461800023913;64.50461800023913;64.50461800023913;64.50461800023913;;;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
REPSWITCH1/PICTURE_142.png;vaso;speak;gold;nontarget;2;NT;1;3;2;1;Stim7_Set1;1;repeat;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;65.00466990005225;66.15758030023426;66.15758030023426;66.15758030023426;66.15758030023426;66.15758030023426;66.15758030023426;66.15758030023426;66.15758030023426;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/430102_REPSWITCH1_version1_list2_2024-01-18_15h43.56.192_micRespv1l2_recorded\recording_micRespv1l2_2024-01-18_15h44.32.764.wav;69.17884020041674;69.67887210007757;None;69.17884020041674;69.17884020041674;69.17884020041674;69.17884020041674;69.17884020041674;69.17884020041674;;;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
REPSWITCH1/PICTURE_142.png;vaso;speak;gold;repeat;2;T;1;3;2;1;Stim7_Set1;0;None;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;69.67887210007757;70.81792420055717;70.81792420055717;70.81792420055717;70.81792420055717;70.81792420055717;70.81792420055717;70.81792420055717;70.81792420055717;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/430102_REPSWITCH1_version1_list2_2024-01-18_15h43.56.192_micRespv1l2_recorded\recording_micRespv1l2_2024-01-18_15h44.37.424.wav;73.8461134005338;;None;73.8461134005338;73.8461134005338;73.8461134005338;73.8461134005338;73.8461134005338;73.8461134005338;;;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
REPSWITCH1/PICTURE_498.png;taza;type;darkblue;filler;1;F;1;3;2;1;Stim4_Set4;0;None;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;74.34617300052196;75.42269630078226;75.42269630078226;75.42269630078226;75.42269630078226;75.42269630078226;75.42269630078226;75.42269630078226;75.42269630078226;['t', 'a', 'z', 'a'];0;taza;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/430102_REPSWITCH1_version1_list2_2024-01-18_15h43.56.192_micRespv1l2_recorded\recording_micRespv1l2_2024-01-18_15h44.42.029.wav;78.45084870047867;;None;78.45084870047867;78.45084870047867;78.45084870047867;78.45084870047867;78.45084870047867;78.45084870047867;[0.9925397001206875, 1.1420504003763199, 1.4071516999974847, 1.587848199531436];;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
REPSWITCH1/PICTURE_16.png;cazador;speak;gold;nontarget;2;NT;1;3;2;1;Stim6_Set1;1;switch;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;78.95092230010778;80.08995639998466;80.08995639998466;80.08995639998466;80.08995639998466;80.08995639998466;80.08995639998466;80.08995639998466;80.08995639998466;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/430102_REPSWITCH1_version1_list2_2024-01-18_15h43.56.192_micRespv1l2_recorded\recording_micRespv1l2_2024-01-18_15h44.46.697.wav;83.11814479995519;83.6182058006525;None;83.11814479995519;83.11814479995519;83.11814479995519;83.11814479995519;83.11814479995519;83.11814479995519;;;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
REPSWITCH1/PICTURE_16.png;cazador;speak;gold;repeat;2;T;1;3;2;1;Stim6_Set1;0;None;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;83.6182058006525;84.68091510049999;84.68091510049999;84.68091510049999;84.68091510049999;84.68091510049999;84.68091510049999;84.68091510049999;84.68091510049999;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/430102_REPSWITCH1_version1_list2_2024-01-18_15h43.56.192_micRespv1l2_recorded\recording_micRespv1l2_2024-01-18_15h44.51.287.wav;87.70904190000147;;None;87.70904190000147;87.70904190000147;87.70904190000147;87.70904190000147;87.70904190000147;87.70904190000147;;;;;;;430102;001;2024-01-18_15h43.56.192;REPSWITCH1_version1_list2;2022.2.4;143.87826697773463;
