Filename;Transcription;Duration(ms.);SOT;Modality_Correct;Item_Correct;Hesitation;Notes;Exclude
recording_V1L1_p000101_tr121_speak_bombero;bombero;555.128;975.367;;0;;;
recording_V1L1_p000101_tr122_type_pavo;type;3010;0;;;;;
recording_V1L1_p000101_tr123_type_pavo;[type];3050;0;;;;;
recording_V1L1_p000101_tr124_speak_vaca;vaca;411.723;1024;;0;;;
recording_V1L1_p000101_tr125_type_regalo;[type];3000;0;;;;;
recording_V1L1_p000101_tr126_type_vaso;[type];3010;0;;;;;
recording_V1L1_p000101_tr127_speak_vaso;vaso;466.942;918.209;;0;;;
recording_V1L1_p000101_tr128_type_camisa;[type];3040;0;;;;;
recording_V1L1_p000101_tr129_type_granja;[type];3010;0;;;;;
recording_V1L1_p000101_tr130_type_granja;[type];3040;0;;;;;
recording_V1L1_p000101_tr131_speak_muñeca;muñeca;608;1009;;0;;;
recording_V1L1_p000101_tr132_type_mano;[type];3040;0;;;;;
recording_V1L1_p000101_tr133_type_mano;[type];3010;0;;;;;
recording_V1L1_p000101_tr134_type_pintor;[type];3040;0;;;;;
recording_V1L1_p000101_tr135_speak_pintor;pintor;513.41;920;;0;;;
recording_V1L1_p000101_tr136_speak_traje;traje;487.546;1023.345;;0;;;
recording_V1L1_p000101_tr137_speak_cerdo;cerdo;553.232;946.148;says /serdo/ instead of /¸erdo/ -- does that for all instances where in Castellano it is /¸/;0;;;
recording_V1L1_p000101_tr138_type_cerdo;[type];3050;0;;;;;
recording_V1L1_p000101_tr139_type_caracol;[type];3040;0;;;;;
recording_V1L1_p000101_tr140_speak_caracol;caracol;502.288;825.432;;0;;;
recording_V1L1_p000101_tr141_type_cazador;[type];3000;0;;;;;
recording_V1L1_p000101_tr142_speak_fresa;fresa;445.5;1090.5;;0;;;
recording_V1L1_p000101_tr143_type_pavo;[type];3010;0;;;;;
recording_V1L1_p000101_tr144_speak_cuerda;cuerda;569.442;1536.389;;0;;;
