Trial_no;Filename;Transcription;Duration(ms.);SOT;Modality_Correct;Item_Correct;Hesitation;Notes;Exclude
121;recording_V1L1_p000101_tr121_speak_bombero;bombero;555.128;975.367;1;1;0;;0
122;recording_V1L1_p000101_tr122_type_pavo;type;3010;0;1;;0;;
123;recording_V1L1_p000101_tr123_type_pavo;[type];3050;0;1;;0;;
124;recording_V1L1_p000101_tr124_speak_vaca;vaca;411.723;1024;1;1;0;;0
125;recording_V1L1_p000101_tr125_type_regalo;[type];3000;0;1;;0;;
126;recording_V1L1_p000101_tr126_type_vaso;[type];3010;0;1;;0;;
127;recording_V1L1_p000101_tr127_speak_vaso;vaso;466.942;918.209;1;1;0;;0
128;recording_V1L1_p000101_tr128_type_camisa;[type];3040;0;1;;0;;
129;recording_V1L1_p000101_tr129_type_granja;[type];3010;0;1;;0;;
130;recording_V1L1_p000101_tr130_type_granja;[type];3040;0;1;;0;;
131;recording_V1L1_p000101_tr131_speak_muñeca;muñeca;608;1009;1;1;0;;0
132;recording_V1L1_p000101_tr132_type_mano;[type];3040;0;1;;0;;
133;recording_V1L1_p000101_tr133_type_mano;[type];3010;0;1;;0;;
134;recording_V1L1_p000101_tr134_type_pintor;[type];3040;0;1;;0;;
135;recording_V1L1_p000101_tr135_speak_pintor;pintor;513.41;920;1;1;0;;0
136;recording_V1L1_p000101_tr136_speak_traje;traje;487.546;1023.345;1;1;0;;0
137;recording_V1L1_p000101_tr137_speak_cerdo;cerdo;553.232;946.148;1;1;0;says /serdo/ instead of /¸erdo/ -- does that for all instances where in Castellano it is /¸/;0
138;recording_V1L1_p000101_tr138_type_cerdo;[type];3050;0;1;;0;;
139;recording_V1L1_p000101_tr139_type_caracol;[type];3040;0;1;;0;;
140;recording_V1L1_p000101_tr140_speak_caracol;caracol;502.288;825.432;1;1;0;;0
141;recording_V1L1_p000101_tr141_type_cazador;[type];3000;0;1;;0;;
142;recording_V1L1_p000101_tr142_speak_fresa;fresa;445.5;1090.5;1;1;0;;0
143;recording_V1L1_p000101_tr143_type_pavo;[type];3010;0;1;;0;;
144;recording_V1L1_p000101_tr144_speak_cuerda;cuerda;569.442;1536.389;1;1;0;;0
145;recording_V1L1_p000101_tr145_speak_cuerda;cuerda;524.691;910.624;1;1;0;;0
146;recording_V1L1_p000101_tr146_type_puente;[type];3000;0;1;;0;;
147;recording_V1L1_p000101_tr147_speak_falda;falda;472.226;1145.648;1;1;0;;0
148;recording_V1L1_p000101_tr148_speak_falda;falda;553.52;739.467;1;1;0;;0
149;recording_V1L1_p000101_tr149_type_espalda;[type];3050;0;1;;0;;
150;recording_V1L1_p000101_tr150_speak_vaso;vaso;380.893;948.607;1;1;0;;0
151;recording_V1L1_p000101_tr151_speak_manzana;manzana;679.534;833.839;1;1;0;/mansana/;0
152;recording_V1L1_p000101_tr152_type_manzana;[type];3040;0;1;;0;;
153;recording_V1L1_p000101_tr153_speak_escoba;escoba;702;733.118;1;1;0;;0
154;recording_V1L1_p000101_tr154_type_manzana;[type];3000;0;1;;0;;
155;recording_V1L1_p000101_tr155_type_goma;[type];3000;0;1;;0;;
156;recording_V1L1_p000101_tr156_speak_goma;goma;399.626;1445.993;1;1;0;;0
157;recording_V1L1_p000101_tr157_speak_granja;granja;554.369;1130.391;1;1;0;;0
158;recording_V1L1_p000101_tr158_speak_aguja;aguja;644.184;962.529;1;1;0;;0
159;recording_V1L1_p000101_tr159_type_aguja;[type];3000;0;1;;0;;
160;recording_V1L1_p000101_tr160_type_cadena;[type];3000;0;1;;0;;
161;recording_V1L1_p000101_tr161_type_iglesia;[type];3000;0;1;;0;;
162;recording_V1L1_p000101_tr162_speak_iglesia;iglesia;842.336;864.35;1;1;0;vocal fold vibration 0.09ms before the SOT;0
163;recording_V1L1_p000101_tr163_type_pintor;[type];3040;0;1;;0;breathing at the beginning of the trial;
164;recording_V1L1_p000101_tr164_speak_conejo;conejo;448.33;1078.625;1;1;0;tongue ;0
165;recording_V1L1_p000101_tr165_speak_conejo;conejo;488;1024;1;1;0;/ts/ sound before word production;0
166;recording_V1L1_p000101_tr166_speak_cerdo;cerdo;625.04;866.848;1;1;0;;0
167;recording_V1L1_p000101_tr167_type_caracol;[type];3050;0;1;;0;;
168;recording_V1L1_p000101_tr168_speak_guante;guante;491.583;1329.232;1;1;0;;0
169;recording_V1L1_p000101_tr169_speak_guante;guante;477.49;1009.13;1;1;0;;0
170;recording_V1L1_p000101_tr170_speak_cartero;cartero;562.928;1144;1;1;0;tongue;0
171;recording_V1L1_p000101_tr171_type_cartero;[type];3000;0;1;;0;;
172;recording_V1L1_p000101_tr172_speak_cuerda;cuerda ;507.865;1376.683;1;1;0;;0
173;recording_V1L1_p000101_tr173_type_tronco;[type];3040;0;1;;0;;
174;recording_V1L1_p000101_tr174_type_oreja;[type];3000;0;1;;0;;
175;recording_V1L1_p000101_tr175_type_oreja;[type];3000;0;1;;0;;
176;recording_V1L1_p000101_tr176_speak_falda;falda;573.213;1315.802;1;1;0;tongue;0
177;recording_V1L1_p000101_tr177_type_miel;[type];3040;0;1;;0;;
178;recording_V1L1_p000101_tr178_type_miel;[type];3000;0;1;;0;mic sound - end of file;
179;recording_V1L1_p000101_tr179_type_mano;[type];3000;0;1;;0;;
180;recording_V1L1_p000101_tr180_speak_goma;goma;460.898;996.102;1;1;0;;0
181;recording_V1L1_p000101_tr181_type_pierna;[type];3040;0;1;;0;;
182;recording_V1L1_p000101_tr182_type_pierna;[type];3010;0;1;;0;;
183;recording_V1L1_p000101_tr183_type_pulpo;[type];3040;0;1;;0;;
184;recording_V1L1_p000101_tr184_speak_pulpo;pulpo;431.613;1057.465;1;1;0;;0
185;recording_V1L1_p000101_tr185_type_aguja;[type];3050;0;1;;0;;
186;recording_V1L1_p000101_tr186_speak_taza;taza;437.586;1605.845;1;1;0;;0
187;recording_V1L1_p000101_tr187_speak_taza;taza;443.855;807.241;1;1;0;/tasa/ here /ta¸a/ previous trial;0
188;recording_V1L1_p000101_tr188_speak_baño;baño;450.363;853.637;1;1;0;;0
189;recording_V1L1_p000101_tr189_type_baño;[type];3010;0;1;;0;;
190;recording_V1L1_p000101_tr190_speak_iglesia;iglesia;716.311;1082.439;1;1;0;;0
191;recording_V1L1_p000101_tr191_type_bombero;[type];3010;0;1;;0;;
192;recording_V1L1_p000101_tr192_speak_bombero;bombero;588.071;792.906;1;1;0;;0
193;recording_V1L1_p000101_tr193_type_guante;[type];3010;0;1;;0;;
194;recording_V1L1_p000101_tr194_speak_conejo;conejo;455.559;1140.433;1;1;0;;0
195;recording_V1L1_p000101_tr195_speak_vaca;vaca;502.964;816.557;1;1;0;;0
196;recording_V1L1_p000101_tr196_speak_vaca;vaca;465.511;660.202;1;1;0;;0
197;recording_V1L1_p000101_tr197_type_cartero;[type];3010;0;1;;0;;
198;recording_V1L1_p000101_tr198_speak_oreja;oreja;548.483;1097;1;1;0;tongue;0
199;recording_V1L1_p000101_tr199_speak_regalo;regalo;599.812;1014.4;1;1;0;tongue;0
200;recording_V1L1_p000101_tr200_type_regalo;[type];3050;0;1;;0;;
201;recording_V1L1_p000101_tr201_type_camisa;[type];3040;0;1;;0;;
202;recording_V1L1_p000101_tr202_type_camisa;[type];3000;0;1;;0;;
203;recording_V1L1_p000101_tr203_speak_espejo;espejo;602.448;1140.265;1;1;0;tongue;0
204;recording_V1L1_p000101_tr204_type_miel;[type];3000;0;1;;0;;
205;recording_V1L1_p000101_tr205_speak_tronco;tronco;493.15;985;1;1;0;;0
206;recording_V1L1_p000101_tr206_type_espejo;[type];3050;0;1;;0;;
207;recording_V1L1_p000101_tr207_speak_regalo;regalo;544;872;1;1;0;;0
208;recording_V1L1_p000101_tr208_speak_vaso;vaso;504.096;903.175;1;1;0;;0
209;recording_V1L1_p000101_tr209_speak_vaso;vaso;470.49;687.223;1;1;0;;0
210;recording_V1L1_p000101_tr210_type_taza;[type];3000;0;1;;0;;
211;recording_V1L1_p000101_tr211_speak_cazador;cazador;571.442;1129;1;1;0;tongue;0
212;recording_V1L1_p000101_tr212_speak_cazador;cazador;580.807;680;1;1;0;tongue;0
213;recording_V1L1_p000101_tr213_type_baño;[type];3010;0;1;;0;;
214;recording_V1L1_p000101_tr214_speak_espalda;espalda;613.732;962.518;1;1;0;;0
215;recording_V1L1_p000101_tr215_type_espalda;[type];3050;0;1;;0;;
216;recording_V1L1_p000101_tr216_type_camisa;[type];3040;0;1;;0;;
217;recording_V1L1_p000101_tr217_type_puente;[type];3000;0;1;;0;;
218;recording_V1L1_p000101_tr218_speak_puente;puente;479.444;832;1;1;0;;0
219;recording_V1L1_p000101_tr219_speak_muñeca;muñeca;636.032;739.614;1;1;0;;0
220;recording_V1L1_p000101_tr220_type_muñeca;[type];3010;0;1;;0;;
221;recording_V1L1_p000101_tr221_speak_vaca;vaca;472.32;928.984;1;1;0;;0
222;recording_V1L1_p000101_tr222_speak_pulpo;pulpo;447.109;1176;1;1;0;;0
223;recording_V1L1_p000101_tr223_type_fresa;[type];3010;0;1;;0;;
224;recording_V1L1_p000101_tr224_type_fresa;[type];3050;0;1;;0;;
225;recording_V1L1_p000101_tr225_speak_pierna;pierna;476.763;1341.214;1;1;0;;0
226;recording_V1L1_p000101_tr226_speak_bombero;bombero;689.554;740.568;1;1;0;;0
227;recording_V1L1_p000101_tr227_type_traje;[type];3000;0;1;;0;;
228;recording_V1L1_p000101_tr228_type_traje;[type];3000;0;1;;0;;
229;recording_V1L1_p000101_tr229_type_pavo;[type];3000;0;1;;0;;
230;recording_V1L1_p000101_tr230_speak_pavo;pavo;344.516;1064;1;1;0;breath after word production;0
231;recording_V1L1_p000101_tr231_speak_vaso;vaso;508.274;978.618;1;1;0;;0
232;recording_V1L1_p000101_tr232_type_traje;[/traje/ type];768;849;0;;0;spoke first, typed then;1
233;recording_V1L1_p000101_tr233_type_cerdo;[type];3040;0;1;;0;;
234;recording_V1L1_p000101_tr234_type_cerdo;[type];3000;0;1;;0;;
235;recording_V1L1_p000101_tr235_speak_cazador;cazador;508.274;1163.445;1;1;0;;0
236;recording_V1L1_p000101_tr236_type_manzana;[type];3040;0;1;;0;;
237;recording_V1L1_p000101_tr237_type_manzana;[type];3010;0;1;;0;;
238;recording_V1L1_p000101_tr238_type_cuerda;[type];3040;0;1;;0;;
239;recording_V1L1_p000101_tr239_speak_cuerda;cuerda;485.795;868.371;1;1;0;;0
240;recording_V1L1_p000101_tr240_speak_espalda;espalda;686.135;1291.078;1;1;0;;0
241;recording_V1L1_p000101_tr241_speak_granja;granja;561.686;1145;1;1;0;;0
242;recording_V1L1_p000101_tr242_type_granja;[type];3050;0;1;;0;;
243;recording_V1L1_p000101_tr243_type_muñeca;[type];3040;0;1;;0;;
244;recording_V1L1_p000101_tr244_type_falda;[type];3000;0;1;;0;;
245;recording_V1L1_p000101_tr245_speak_falda;falda;588.734;940.516;1;1;0;;0
246;recording_V1L1_p000101_tr246_speak_caracol;caracol;534.794;1057;1;1;0;;0
247;recording_V1L1_p000101_tr247_speak_caracol;caracol;563.791;993.417;1;1;0;;0
248;recording_V1L1_p000101_tr248_type_fresa;[type];3000;0;1;;0;;
249;recording_V1L1_p000101_tr249_speak_pintor;pintor;445.285;1158.024;1;1;0;breath before production;0
250;recording_V1L1_p000101_tr250_speak_pintor;pintor;441.862;870.813;1;1;0;;0
251;recording_V1L1_p000101_tr251_type_puente;[type];3000;0;1;;0;;
252;recording_V1L1_p000101_tr252_speak_pavo;pavo;342.699;1096;1;1;0;;0
253;recording_V1L1_p000101_tr253_speak_mano;mano;441.862;872.058;1;1;0;;0
254;recording_V1L1_p000101_tr254_type_mano;[type];3010;0;1;;0;;
255;recording_V1L1_p000101_tr255_type_cerdo;[type];3040;0;1;;0;;
256;recording_V1L1_p000101_tr256_type_aguja;[type];3000;0;1;;0;;
257;recording_V1L1_p000101_tr257_speak_aguja;aguja;592;776;1;1;0;;0
258;recording_V1L1_p000101_tr258_speak_manzana;manzana;588.187;724.813;1;1;0;chair sound?;0
259;recording_V1L1_p000101_tr259_speak_conejo;conejo;494.411;849;1;1;0;;0
260;recording_V1L1_p000101_tr260_type_conejo;[type];3050;0;1;;0;;
261;recording_V1L1_p000101_tr261_type_miel;[type];3040;0;1;;0;;
262;recording_V1L1_p000101_tr262_speak_miel;miel;349.36;1367.316;1;1;0;;0
263;recording_V1L1_p000101_tr263_type_falda;[type];3050;0;1;;0;;
264;recording_V1L1_p000101_tr264_speak_goma;goma;374.284;1062.156;1;1;0;tongue;0
265;recording_V1L1_p000101_tr265_speak_goma;goma;527.123;620.01;1;1;0;/ngoma/;0
266;recording_V1L1_p000101_tr266_type_caracol;[type];3000;0;1;;0;;
267;recording_V1L1_p000101_tr267_speak_iglesia;iglesia;664.086;1715.428;1;1;0;;0
268;recording_V1L1_p000101_tr268_speak_iglesia;iglesia;755.648;820.479;1;1;0;;0
269;recording_V1L1_p000101_tr269_speak_oreja;oreja;633.157;1239.623;1;1;0;;0
270;recording_V1L1_p000101_tr270_type_oreja;[type];3040;0;1;;0;;
271;recording_V1L1_p000101_tr271_speak_cuerda;cuerda;434.394;1554.144;1;1;0;;0
272;recording_V1L1_p000101_tr272_type_granja;[type];3000;0;1;;0;;
273;recording_V1L1_p000101_tr273_type_cartero;[type];3000;0;1;;0;;
