image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv2l1.started;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv2l1.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;10.3376243;12.8362627;12.8362627;12.8362627;12.8362627;space;12.8086342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;25.6643308;25.6643308;25.6643308;25.6643308;25.6643308;25.6643308;25.6643308;25.6643308;25.6643308;25.6643308;25.6643308;25.6643308;25.6643308;space;0.0153658;;;;;;;;;;;;;;;;;;;;;;;;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_340.png;espejo;type;gold;filler;1;F;1;1;1;2;Extra1;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;25.7754189;26.845076;26.845076;26.845076;26.845076;26.845076;26.845076;26.845076;26.845076;['e', 's', 'p', 'e', 'j', 'o'];0;[1.175958499952685, 1.4175215999712236, 1.658853699977044, 1.787695899954997, 2.0969793999684043, 2.326984099985566];espejo;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.16.712.wav;29.866283;30.366402;None;;;;;;;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_391.png;cadena;speak;darkblue;filler;2;F;1;1;1;2;Extra2;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;30.366402;31.4289548;31.4289548;31.4289548;31.4289548;31.4289548;31.4289548;31.4289548;31.4289548;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.21.300.wav;34.4571552;34.9572815;None;34.4571552;34.4571552;34.4571552;34.4571552;34.4571552;34.4571552;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_178.png;puente;speak;darkblue;nontarget;2;NT;1;1;1;2;Stim1_Set1;1;repeat;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;34.9572815;35.999042;35.999042;35.999042;35.999042;35.999042;35.999042;35.999042;35.999042;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.25.868.wav;39.0272435;;None;39.0272435;39.0272435;39.0272435;39.0272435;39.0272435;39.0272435;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_178.png;puente;speak;darkblue;repeat;2;T;1;1;1;2;Stim1_Set1;0;None;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;39.5272576;40.6524199;40.6524199;40.6524199;40.6524199;40.6524199;40.6524199;40.6524199;40.6524199;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.30.522.wav;43.6805557;44.180644;None;43.6805557;43.6805557;43.6805557;43.6805557;43.6805557;43.6805557;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_319.png;vaca;type;gold;filler;1;F;1;1;1;2;Stim1_Set4;0;None;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;44.180644;45.2363195;45.2363195;45.2363195;45.2363195;45.2363195;45.2363195;45.2363195;45.2363195;['v', 'a', 'c', 'a'];0;[1.1340914000174962, 1.3473652999964543, 1.578925000037998, 1.7449228000477888];vaca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.35.106.wav;48.2575305;48.757612;None;48.2575305;48.2575305;48.2575305;48.2575305;48.2575305;48.2575305;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_381.png;fresa;speak;darkblue;nontarget;2;NT;1;1;1;2;Stim2_Set1;1;switch;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;48.757612;49.8342076;49.8342076;49.8342076;49.8342076;49.8342076;49.8342076;49.8342076;49.8342076;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.39.704.wav;52.8553614;53.3554268;None;52.8553614;52.8553614;52.8553614;52.8553614;52.8553614;52.8553614;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_381.png;fresa;speak;darkblue;repeat;2;T;1;1;1;2;Stim2_Set1;0;None;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;53.3554268;54.5848458;54.5848458;54.5848458;54.5848458;54.5848458;54.5848458;54.5848458;54.5848458;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.44.454.wav;57.6060738;58.1060725;None;57.6060738;57.6060738;57.6060738;57.6060738;57.6060738;57.6060738;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_719.png;baño;type;gold;filler;1;F;1;1;1;2;Stim2_Set4;1;switch;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;58.1060725;59.1965095;59.1965095;59.1965095;59.1965095;59.1965095;59.1965095;59.1965095;59.1965095;['b', 'a', 'ñ', 'o'];0;[1.0924952999921516, 1.278869499976281, 1.6865098000271246, 1.9094106000266038];baño;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.49.066.wav;62.2177982;62.717772;None;62.2177982;62.2177982;62.2177982;62.2177982;62.2177982;62.2177982;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_135.png;traje;speak;darkblue;nontarget;2;NT;1;1;1;2;Stim3_Set1;0;None;9;8;9;0;8;8;8;;;;;;;;;;;;;;;;;;;;;;;62.717772;63.8499117;63.8499117;63.8499117;63.8499117;63.8499117;63.8499117;63.8499117;63.8499117;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.53.720.wav;66.878079;;None;66.878079;66.878079;66.878079;66.878079;66.878079;66.878079;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_135.png;traje;type;gold;switch;1;T;1;1;1;2;Stim3_Set1;0;None;10;9;10;0;9;9;9;;;;;;;;;;;;;;;;;;;;;;;67.3781223;68.4963336;68.4963336;68.4963336;68.4963336;68.4963336;68.4963336;68.4963336;68.4963336;['t', 'r', 'a', 'j', 'e'];0;[1.0325067000230774, 1.2537669999874197, 1.429063000017777, 1.7692509000189602, 1.970903699984774];traje;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.58.366.wav;71.5175156;72.0176135;None;71.5175156;71.5175156;71.5175156;71.5175156;71.5175156;71.5175156;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_687.png;camisa;speak;darkblue;filler;2;F;1;1;1;2;Stim5_Set4;0;None;11;10;11;0;10;10;10;;;;;;;;;;;;;;;;;;;;;;;72.0176135;73.1566479;73.1566479;73.1566479;73.1566479;73.1566479;73.1566479;73.1566479;73.1566479;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h43.03.028.wav;76.1848312;;None;76.1848312;76.1848312;76.1848312;76.1848312;76.1848312;76.1848312;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_128.png;muñeca;type;gold;nontarget;1;NT;1;1;1;2;Stim4_Set1;1;switch;12;11;12;0;11;11;11;;;;;;;;;;;;;;;;;;;;;;;76.6849507;77.9003143;77.9003143;77.9003143;77.9003143;77.9003143;77.9003143;77.9003143;77.9003143;['m', 'u', 'ñ', 'e', 'c', 'a'];0;[1.3044340999913402, 1.5258615000057034, 1.9332502000033855, 2.0917071999865584, 2.4722861000336707, 2.607809300010558];muñeca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h43.07.770.wav;80.9215336;81.421681;None;80.9215336;80.9215336;80.9215336;80.9215336;80.9215336;80.9215336;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_128.png;muñeca;speak;darkblue;switch;2;T;1;1;1;2;Stim4_Set1;0;None;13;12;13;0;12;12;12;;;;;;;;;;;;;;;;;;;;;;;81.421681;82.5190001;82.5190001;82.5190001;82.5190001;82.5190001;82.5190001;82.5190001;82.5190001;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h43.12.388.wav;85.5402272;86.0402816;None;85.5402272;85.5402272;85.5402272;85.5402272;85.5402272;85.5402272;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
REPSWITCH1/PICTURE_8.png;pierna;speak;darkblue;filler;2;F;1;1;1;2;Stim3_Set4;0;None;14;13;14;0;13;13;13;;;;;;;;;;;;;;;;;;;;;;;86.0402816;87.1238069;87.1238069;87.1238069;87.1238069;87.1238069;87.1238069;87.1238069;87.1238069;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h43.16.993.wav;90.1519198;;None;90.1519198;90.1519198;90.1519198;90.1519198;90.1519198;90.1519198;;;;;;02.02.01;1;2023-11-10_15h41.55.444;REPSWITCH1_version2_list1;2022.2.4;144.0025806;
