"","Response","Image","respModal","Target","RepSwitch","Accuracy","RT","Duration","Notes"
"1","puente","puente","speak","NT","nontarget","1","1.034","0.58559300000000003",NA
"2","puente","puente","speak","T","repeat","1","1.340352","0.58575500000000003",NA
"3","vaca","vaca","type","F","filler","1","0,935","0,689",NA
"4","vaso","vaso","speak","NT","nontarget","1","1.00884","0.60099100000000005",NA
"5","vaso","vaso","speak","T","repeat","1","0.94482900000000003","0.64792299999999992",NA
"6","bano","bano","type","F","filler","1","1,395","1,424",NA
"7","traje","traje","speak","NT","nontarget","1","1.8080000000000001","0.57930099999999984",NA
"8","traje","traje","type","T","switch","1","1,126","0,719",NA
"9","mu","muneca","type","NT","nontarget","0","1,274","1,662",NA
"10","muneca","muneca","speak","T","switch","1","1.156982","0.7884500000000001",NA
"11","pierna","pierna","speak","F","filler","1","2.0496470000000002","0.60167799999999971",NA
"12","pavo","pavo","speak","NT","nontarget","1","1.867181","0.56761600000000012",NA
"13","pavo","pavo","type","T","switch","1","1,127","0,784",NA
"14","taza","taza","speak","F","filler","1","1.8863939999999999","0.46576100000000031",NA
"15","ccz","cazador","type","NT","nontarget","0","1,005","1,072",NA
"16","caz","cazador","type","T","repeat","0","1,53","1,375",NA
"17","camisa","camisa","speak","F","filler","1","2.081054","0.59995799999999999",NA
"18","vaso","vaso","type","NT","nontarget","1","1,075","0,577",NA
"19","vaso","vaso","type","T","repeat","1","1,123","0,513",NA
"20","regalo","regalo","speak","F","filler","1","1.0780650000000001","0.65222699999999989",NA
"21","spal","espalda","type","NT","nontarget","0","1,362","1,473",NA
"22","esplada","espalda","speak","T","switch","1","1.2569999999999999","0.68484300000000009",NA
"23","bombero","bombero","type","F","filler","1","1,506","0,961",NA
"24","pulpo","pulpo","type","F","filler","1","1,624","1,136",NA
"25","puente","puente","speak","F","filler","1","1.177","0.62200600000000006",NA
"26","pinto","pintor","type","NT","nontarget","0","1,266","1,569",NA
"27","pintor","pintor","type","T","repeat","1","1,411","1,376",NA
"28","vaso","vaso","speak","F","filler","1","1.080554","0.69009199999999993",NA
"29","caracol","caracol","type","NT","nontarget","1","1,284","1,12",NA
"30","caracol","caracol","type","T","repeat","1","0,732","1,055",NA
"31","mano","mano","type","NT","nontarget","1","0,867","0,353",NA
"32","mano","mano","speak","T","switch","1","1.3553759999999999","0.43207499999999999",NA
"33","cuerda","cuerda","speak","NT","nontarget","1","0.98399999999999999","0.51585499999999995",NA
"34","cuerda","cuerda","type","T","switch","1","1,006","0,785",NA
"35","traje","traje","speak","F","filler","1","1.288","0.51128799999999996",NA
"36","granja","granja","type","NT","nontarget","1","1,187","0,832",NA
"37","granja","granja","speak","T","switch","1","1.1384069999999999","0.65137100000000014",NA
"38","muñeca","muneca","type","F","filler","1","1,074","1,568",NA
"39","pavo","pavo","type","F","filler","1","1,055","0,416",NA
"40","manzana","manzana","speak","NT","nontarget","1","1.0754090000000001","0.62238199999999999",NA
"41","manzana","manzana","speak","T","repeat","1","1.065631","0.82639299999999993",NA
"42","cazador","cazador","type","F","filler","1","1,03","0,928",NA
"43","cerdo","cerdo","speak","NT","nontarget","1","1.268651","0.62085000000000012",NA
"44","cerdo","cerdo","speak","T","repeat","1","0.897729","0.60247099999999998",NA
"45","vaso","vaso","speak","F","filler","1","0.89530100000000001","0.568774","mic sound - bad quality (43_659)"
"46","espald","espalda","type","F","filler","0","1,375","1,567",NA
"47","falda","falda","speak","NT","nontarget","1","1.284375","0.62017600000000006",NA
"48","falda","falda","type","T","switch","1","0,982","0,56",NA
"49","guante","guante","type","NT","nontarget","1","1,242","0,704",NA
"50","guante","guante","speak","T","switch","1","0.85401800000000005","0.62982199999999999",NA
"51","miel","miel","speak","NT","nontarget","1","0.88012900000000005","0.58581499999999986",NA
"52","miel","miel","type","T","switch","1","0,927","0,385",NA
"53","pintor","pintor","type","F","filler","1","0,99","0,608",NA
"54","careter","cartero","type","NT","nontarget","0","1,251","1,535",NA
"55","cartero","cartero","speak","T","switch","1","0.93488899999999997","0.58765499999999993","rising intonation at the end; sounds like having accent in /e/ and /o/"
"56","caracol","caracol","type","F","filler","1","1,022","1,135",NA
"57","aguja","aguja","speak","NT","nontarget","1","1.270888","0.65243300000000004",NA
"58","aguja","aguja","speak","T","repeat","1","1.0052490000000001","0.66529700000000003",NA
"59","mano","mano","speak","F","filler","1","0.87350099999999997","0.54970100000000011",NA
"60","cu","cuerda","type","F","filler","0","1,018","1,84",NA
"61","granja","granja","type","F","filler","1","1,081","0,848",NA
"62","oreja","oreja","speak","NT","nontarget","1","0.94059999999999999","0.52610199999999996",NA
"63","oreja","oreja","speak","T","repeat","1","0.69688099999999997","0.55717699999999992",NA
"64","goma","goma","speak","NT","nontarget","1","0.94518999999999997","0.51387099999999997",NA
"65","goma","goma","type","T","switch","1","1,033","0,368",NA
"66","manzana","manzana","speak","F","filler","1","0.89909399999999995","0.71852700000000003",NA
"67","conejo","conejo","type","NT","nontarget","1","1,061","0,881",NA
"68","coneko","conejo","type","T","repeat","0","1,197","0,656",NA
"69","cerdo","cerdo","speak","F","filler","1","1.0083549999999999","0.63609900000000019","mic sound - bad quality (34_802)"
"70","falda","falda","speak","F","filler","1","0.94114699999999996","0.62484399999999996","mic sound - bad quality (39_471)"
"71","iglesia","iglesia","type","NT","nontarget","1","1,152","1,007",NA
"72","iglesia","iglesia","type","T","repeat","1","0,941","1,056",NA
"73","guante","guante","speak","F","filler","1","0.80805800000000005","0.56192999999999993",NA
"74","vaca","vaca","type","NT","nontarget","1","0,849","0,703",NA
"75","vaca","vaca","type","T","repeat","1","0,879","0,641",NA
"76","bano","bano","type","NT","nontarget","1","1,062","1,024",NA
