order;psychopy_order;image;correctAns;respModal;keyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;correct;incorrect_correct;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion;str_sub(keyResp_rt, start = 1, end = -1)
3;2;REPSWITCH1/PICTURE_319.png;vaca;type;['v', 'a', 'c', 'a'];9,35208E+15;1,19145E+16;1.4154546996578574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,35208E+15;;;vaca;darkblue;filler;1;F;1;Stim1_Set4;5,83E+15;4,19E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.28.814.wav;6,13E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9352080998942256, 1.1914514992386103, 1.4154546996578574, 1.6235749991610646]
6;5;REPSWITCH1/PICTURE_719.png;baño;type;['b', 'a', 'ñ', 'o'];1,3951E+16;1,66679E+16;2.61260399967432;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,3951E+16;;;baño;darkblue;filler;1;F;1;Stim2_Set4;7,21E+15;3,91E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.42.680.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3950960002839565, 1.6667865999042988, 2.61260399967432, 2.8192491997033358]
8;7;REPSWITCH1/PICTURE_135.png;traje;type;['t', 'r', 'a', 'j', 'e'];1,12603E+16;1,30149E+15;1.4940759995952249;1.6700702998787165;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,12603E+16;;;traje;darkblue;switch;1;T;1;Stim3_Set1;8,15E+15;1,26E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.52.018.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1260260995477438, 1.301485899835825, 1.4940759995952249, 1.6700702998787165, 1.8454183991998434]
9;8;REPSWITCH1/PICTURE_128.png;muñeca;type;['n', 'backspace', 'm', 'u'];1,27417E+16;2,15328E+16;2.729181499220431;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,27417E+16;;;mu;darkblue;nontarget;1;NT;1;Stim4_Set1;8,61E+15;3,96E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.56.627.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2741719987243414, 2.1532774986699224, 2.729181499220431, 2.936428398825228]
13;12;REPSWITCH1/PICTURE_19.png;pavo;type;['p', 'a', 'v', 'o'];1,12686E+16;1,59058E+15;1.8142437990754843;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,12686E+16;;;pavo;darkblue;switch;1;T;1;Stim5_Set1;1,05E+16;1,78E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.15.212.wav;1,08E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1268621990457177, 1.590583698824048, 1.8142437990754843, 1.9105699993669987]
15;14;REPSWITCH1/PICTURE_16.png;cazador;type;['c', 'c', 'z'];1,0046E+16;1,53262E+16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,0046E+16;;;ccz;darkblue;nontarget;1;NT;1;Stim6_Set1;1,14E+16;4,43E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.24.463.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0045992992818356, 1.5326180988922715, 2.077182998880744]
16;15;REPSWITCH1/PICTURE_16.png;cazador;type;['v', 'backspace', 'c', 'a', 'z'];1,52959E+15;1,84959E+16;2.5374034997075796;2.745456799864769;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,52959E+15;;;caz;darkblue;repeat;1;T;1;Stim6_Set1;1,18E+16;1,49E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.29.034.wav;1,22E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.529590499587357, 1.8495879992842674, 2.5374034997075796, 2.745456799864769, 2.90522029902786]
18;17;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];1,07541E+16;1,3314E+16;1.4914064994081855;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,07541E+16;;;vaso;darkblue;nontarget;1;NT;1;Stim7_Set1;1,28E+16;1,23E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.38.367.wav;1,31E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0754102999344468, 1.3314006999135017, 1.4914064994081855, 1.6522704996168613]
19;18;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];1,12319E+16;1,36322E+16;1.5071823000907898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,12319E+16;;;vaso;darkblue;repeat;1;T;1;Stim7_Set1;1,32E+16;1,25E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.42.996.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1231926996260881, 1.3632174003869295, 1.5071823000907898, 1.6359229004010558]
21;20;REPSWITCH1/PICTURE_169.png;espalda;type;['s', 'p', 'a', 'l'];1,36245E+15;2,53018E+16;2.722607798874378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,36245E+15;;;spal;darkblue;nontarget;1;NT;1;Stim8_Set1;1,42E+16;3,61E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h29.52.201.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.362453198991716, 2.5301762986928225, 2.722607798874378, 2.8345748987048864]
