Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V1L3_p130103_tr100_type_camisa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr101_speak_espejo;espejo;728;584;;;;;;
recording_V1L3_p130103_tr102_type_miel;[type];0;3000;;;;;;
recording_V1L3_p130103_tr103_type_pierna;[type];0;3000;;;;;;
recording_V1L3_p130103_tr104_speak_taza;taza;860.51;331.49;;;;;;
recording_V1L3_p130103_tr105_speak_pavo;pavo;1264;346.411;;;;;;
recording_V1L3_p130103_tr106_speak_pavo;pavo;677.812;317.587;;;;;;
recording_V1L3_p130103_tr107_type_vaca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr108_speak_espalda;espalda;728;557.381;;;;;;
recording_V1L3_p130103_tr109_speak_espalda;espalda;680;617.787;;;;;;
recording_V1L3_p130103_tr10_type_cazador;[type];0;3000;;;;;;
recording_V1L3_p130103_tr110_type_pulpo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr111_speak_vaso;vaso;744;412.361;;;;;;
recording_V1L3_p130103_tr112_type_vaso;[type];0;3000;;;;;;
recording_V1L3_p130103_tr113_type_regalo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr114_type_traje;[type];0;3000;;;;;;
recording_V1L3_p130103_tr115_speak_traje;traje;760;441.642;;;;finger cracking beginning of audio;;
recording_V1L3_p130103_tr116_speak_fresa;fresa;835.507;508.493;;;;;;
recording_V1L3_p130103_tr117_type_fresa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr118_type_bombero;[type];0;3000;;;;;;
recording_V1L3_p130103_tr119_speak_camisa;camisa;984;544;;;;;;
recording_V1L3_p130103_tr11_type_taza;[type];0;3000;;;;;;
recording_V1L3_p130103_tr120_type_muñeca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr121_type_muñeca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr122_speak_baño;baño;775.602;471.941;;;;;;
recording_V1L3_p130103_tr123_type_puente;[type];0;3000;;;;;;
recording_V1L3_p130103_tr124_type_puente;[type];0;3000;;;;;;
recording_V1L3_p130103_tr125_type_cazador;[type];0;3000;;;;;;
recording_V1L3_p130103_tr126_speak_cazador;cazador;784;551.004;;;;;;
recording_V1L3_p130103_tr127_type_pavo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr128_type_falda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr129_type_falda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr12_type_fresa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr130_speak_puente;puente;764.039;446.606;;;;;;
recording_V1L3_p130103_tr131_type_cuerda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr132_type_cuerda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr133_type_espalda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr134_speak_tenedor;tenedor;712;543.607;;;;;;
recording_V1L3_p130103_tr135_type_vaso;[type];0;3000;;;;;;
recording_V1L3_p130103_tr136_type_manzana;[type];0;3000;;;;;;
recording_V1L3_p130103_tr137_speak_manzana;(fresa) manzana;1464;446.63;1;0;;said fresa, then corrected to manzana;1;
recording_V1L3_p130103_tr138_speak_traje;traje;1000;416.261;;;;;;
recording_V1L3_p130103_tr139_speak_caracol;caracol;840;536;;;;;;
recording_V1L3_p130103_tr13_speak_fresa;fresa;970.275;545.852;;;;;;
recording_V1L3_p130103_tr140_type_caracol;[type];0;3000;;;;;;
recording_V1L3_p130103_tr141_type_fresa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr142_type_cerdo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr143_speak_cerdo;cerdo;1272.975;451.569;;;;;;
recording_V1L3_p130103_tr144_speak_mano;mano;712;374.889;;;;;;
recording_V1L3_p130103_tr145_speak_mano;mano;1088;360;;;;;;
recording_V1L3_p130103_tr146_type_muñeca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr147_speak_granja;granja;744;514.709;;;;;;
recording_V1L3_p130103_tr148_speak_granja;granja;1080;520.486;;;;;;
recording_V1L3_p130103_tr149_type_tronco;[type];0;3000;;;;;;
recording_V1L3_p130103_tr14_speak_puente;puente;779.227;483.823;;;;;;
