image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv2l4.started;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv2l4.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;8.991539999842644;11.48765489924699;11.48765489924699;11.48765489924699;11.48765489924699;space;5.973002600483596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;17.474607799202204;space;2.070030700415373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
REPSWITCH1/PICTURE_8.png;pierna;type;gold;filler;1;F;1;4;4;2;Stim3_Set4;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;19.6415087999776;20.738854099996388;20.738854099996388;20.738854099996388;20.738854099996388;20.738854099996388;20.738854099996388;20.738854099996388;20.738854099996388;23.76703599933535;23.76703599933535;23.76703599933535;23.76703599933535;23.76703599933535;23.76703599933535;['p', 'i', 'e', 'r', 'n', 'm', 'a', 'backspace', 'backspace'];0;[1.238705299794674, 1.296509899199009, 1.405536899343133, 1.5649971999228, 1.6895759999752045, 1.690560800023377, 1.771262999624014, 2.3397809993475676, 2.4802719997242093];pier;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h17.41.502.wav;23.76703599933535;24.26709959935397;None;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
REPSWITCH1/PICTURE_498.png;taza;speak;darkblue;filler;2;F;1;4;4;2;Stim4_Set4;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;24.26709959935397;25.40615339949727;25.40615339949727;25.40615339949727;25.40615339949727;25.40615339949727;25.40615339949727;25.40615339949727;25.40615339949727;28.4343350995332;28.4343350995332;28.4343350995332;28.4343350995332;28.4343350995332;28.4343350995332;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h17.46.167.wav;28.4343350995332;;None;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
REPSWITCH1/PICTURE_19.png;pavo;speak;darkblue;nontarget;2;NT;1;4;4;2;Stim5_Set1;1;repeat;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;28.934408499859273;30.017854999750853;30.017854999750853;30.017854999750853;30.017854999750853;30.017854999750853;30.017854999750853;30.017854999750853;30.017854999750853;33.03908440005034;33.03908440005034;33.03908440005034;33.03908440005034;33.03908440005034;33.03908440005034;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h17.50.779.wav;33.03908440005034;33.53914909996092;None;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
REPSWITCH1/PICTURE_19.png;pavo;speak;darkblue;repeat;2;T;1;4;4;2;Stim5_Set1;0;None;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;33.53914909996092;34.62264879979193;34.62264879979193;34.62264879979193;34.62264879979193;34.62264879979193;34.62264879979193;34.62264879979193;34.62264879979193;37.65089590009302;37.65089590009302;37.65089590009302;37.65089590009302;37.65089590009302;37.65089590009302;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h17.55.384.wav;37.65089590009302;;None;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
REPSWITCH1/PICTURE_319.png;vaca;type;gold;filler;1;F;1;4;4;2;Stim1_Set4;1;repeat;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;38.15089609939605;39.24131289962679;39.24131289962679;39.24131289962679;39.24131289962679;39.24131289962679;39.24131289962679;39.24131289962679;39.24131289962679;42.26952470000833;42.26952470000833;42.26952470000833;42.26952470000833;42.26952470000833;42.26952470000833;['v', 'a', 'c', 'a'];0;[0.9584135003387928, 1.130697499960661, 1.3071317998692393, 1.3808246003463864];vaca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h18.00.002.wav;42.26952470000833;;None;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
REPSWITCH1/PICTURE_169.png;espalda;speak;darkblue;nontarget;2;NT;1;4;4;2;Stim8_Set1;1;switch;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;42.769556699320674;43.853082600049675;43.853082600049675;43.853082600049675;43.853082600049675;43.853082600049675;43.853082600049675;43.853082600049675;43.853082600049675;46.87425039988011;46.87425039988011;46.87425039988011;46.87425039988011;46.87425039988011;46.87425039988011;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h18.04.614.wav;46.87425039988011;47.37432840000838;None;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
REPSWITCH1/PICTURE_169.png;espalda;speak;darkblue;repeat;2;T;1;4;4;2;Stim8_Set1;0;None;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;47.37432840000838;48.52723729982972;48.52723729982972;48.52723729982972;48.52723729982972;48.52723729982972;48.52723729982972;48.52723729982972;48.52723729982972;51.55550169944763;51.55550169944763;51.55550169944763;51.55550169944763;51.55550169944763;51.55550169944763;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h18.09.288.wav;51.55550169944763;;None;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
REPSWITCH1/PICTURE_728.png;pulpo;type;gold;filler;1;F;1;4;4;2;Stim8_Set4;0;None;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;52.05556319933385;53.208411700092256;53.208411700092256;53.208411700092256;53.208411700092256;53.208411700092256;53.208411700092256;53.208411700092256;53.208411700092256;56.22963029984385;56.22963029984385;56.22963029984385;56.22963029984385;56.22963029984385;56.22963029984385;['p', 'i', 'u', 'l', 'p', 'o', 'backspace', 'backspace', 'backspace', 'backspace'];0;[0.8785664001479745, 1.4164006002247334, 1.4472983004525304, 1.6221574004739523, 1.8684201007708907, 1.9121796004474163, 2.519342500716448, 2.664916600100696, 2.7846527006477118, 2.9192049000412226];pi;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/480204_REPSWITCH1_version2_list4_2024-01-26_11h17.24.971_micRespv2l4_recorded\recording_micRespv2l4_2024-01-26_11h18.13.969.wav;56.22963029984385;56.72971679922193;None;;;;;;480204;001;2024-01-26_11h17.24.971;REPSWITCH1_version2_list4;2022.2.4;143.90166424496803;
