image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;stimulus;order;psychopy_order;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textBlank500.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;textBlank500.stopped;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micResp.started;keyResp.keys;keyResp.corr;subjResponse;micResp.clip;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.rt;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column1
;;;;;;;;;;;;;;;8.72E+14;1.12E+15;1.17E+16;1.17E+16;1.17E+16;1.17E+16;space;2.66E+16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
;;;;;;;;;;;;;;;;;;;;;;;3.84E+16;3.84E+16;3.84E+16;3.84E+16;3.84E+16;3.84E+16;3.84E+16;3.84E+16;3.84E+16;3.84E+16;3.84E+16;3.84E+16;3.84E+16;space;9.03E+15;;;;;;;;;;;;;;;;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_178.png;puente;speak;gold;nontarget;2;NT;1;Stim1_Set1;1;0;0;0;0;0;;5.21E+15;;;;;;;;;;;;;;;;;;;;;;4.80E+15;4.80E+15;4.91E+15;4.91E+15;4.91E+15;4.91E+15;4.91E+15;4.91E+15;4.91E+15;6.55E+15;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.19.611.wav;None;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_178.png;puente;speak;gold;repeat;2;T;1;Stim1_Set1;2;1;0;1;1;1;;5.67E+15;;;;;;;;;;;;;;;;;;;;;;;5.26E+16;5.37E+15;5.37E+15;5.37E+15;5.37E+15;5.37E+15;5.37E+15;5.37E+15;1.45E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.24.230.wav;None;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_319.png;vaca;type;darkblue;filler;1;F;1;Stim1_Set4;3;2;0;2;2;2;;6.13E+15;;;;;;;;;;;;;;;;;;;;;;6.18E+15;5.72E+16;5.83E+15;5.83E+15;5.83E+15;5.83E+15;5.83E+15;5.83E+15;5.83E+15;4.19E+15;['v', 'a', 'c', 'a'];0;vaca;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.28.814.wav;None;6.13E+15;6.13E+15;6.13E+15;6.13E+15;6.13E+15;6.13E+15;[0.9352080998942256, 1.1914514992386103, 1.4154546996578574, 1.6235749991610646];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_142.png;vaso;speak;gold;nontarget;2;NT;1;Stim2_Set1;4;3;0;3;3;3;;6.59E+15;;;;;;;;;;;;;;;;;;;;;;6.64E+15;6.18E+15;6.29E+15;6.29E+15;6.29E+15;6.29E+15;6.29E+15;6.29E+15;6.29E+15;3.66E+15;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.33.471.wav;None;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_142.png;vaso;speak;gold;repeat;2;T;1;Stim2_Set1;5;4;0;4;4;4;;7.06E+15;;;;;;;;;;;;;;;;;;;;;;7.11E+15;6.64E+15;6.75E+15;6.75E+15;6.75E+15;6.75E+15;6.75E+15;6.75E+15;6.75E+15;1.20E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.38.090.wav;None;7.06E+15;7.06E+15;7.06E+15;7.06E+15;7.06E+15;7.06E+15;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_719.png;baño;type;darkblue;filler;1;F;1;Stim2_Set4;6;5;0;5;5;5;;7.52E+15;;;;;;;;;;;;;;;;;;;;;;7.57E+15;7.11E+15;7.21E+15;7.21E+15;7.21E+15;7.21E+15;7.21E+15;7.21E+15;7.21E+15;3.91E+15;['b', 'a', 'ñ', 'o'];0;baño;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.42.680.wav;None;;;;;;;[1.3950960002839565, 1.6667865999042988, 2.61260399967432, 2.8192491997033358];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_135.png;traje;speak;gold;nontarget;2;NT;1;Stim3_Set1;7;6;0;6;6;6;;7.98E+14;;;;;;;;;;;;;;;;;;;;;;8.03E+15;7.57E+15;7.68E+14;7.68E+14;7.68E+14;7.68E+14;7.68E+14;7.68E+14;7.68E+14;3.60E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.47.375.wav;None;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_135.png;traje;type;darkblue;switch;1;T;1;Stim3_Set1;8;7;0;7;7;7;;8.45E+15;;;;;;;;;;;;;;;;;;;;;;;8.03E+15;8.15E+15;8.15E+15;8.15E+15;8.15E+15;8.15E+15;8.15E+15;8.15E+15;1.26E+15;['t', 'r', 'a', 'j', 'e'];0;traje;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h28.52.018.wav;None;;;;;;;[1.1260260995477438, 1.301485899835825, 1.4940759995952249, 1.6700702998787165, 1.8454183991998434];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
