Column1;Response;Image;respModal;Target;RepSwitch;Accuracy;RT;Duration;Notes
2;puente;puente;speak;T;repeat;1;1.340352;0.58575500000000003;NA
5;vaso;vaso;speak;T;repeat;1;0.94482900000000003;0.64792299999999992;NA
8;traje;traje;type;T;switch;1;1,126;0,719;NA
10;muneca;muneca;speak;T;switch;1;1.156982;0.7884500000000001;NA
13;pavo;pavo;type;T;switch;1;1,127;0,784;NA
19;vaso;vaso;type;T;repeat;1;1,123;0,513;NA
22;esplada;espalda;speak;T;switch;1;1.2569999999999999;0.68484300000000009;NA
27;pintor;pintor;type;T;repeat;1;1,411;1,376;NA
30;caracol;caracol;type;T;repeat;1;0,732;1,055;NA
32;mano;mano;speak;T;switch;1;1.3553759999999999;0.43207499999999999;NA
34;cuerda;cuerda;type;T;switch;1;1,006;0,785;NA
37;granja;granja;speak;T;switch;1;1.1384069999999999;0.65137100000000014;NA
41;manzana;manzana;speak;T;repeat;1;1.065631;0.82639299999999993;NA
44;cerdo;cerdo;speak;T;repeat;1;0.897729;0.60247099999999998;NA
48;falda;falda;type;T;switch;1;0,982;0,56;NA
50;guante;guante;speak;T;switch;1;0.85401800000000005;0.62982199999999999;NA
52;miel;miel;type;T;switch;1;0,927;0,385;NA
55;cartero;cartero;speak;T;switch;1;0.93488899999999997;0.58765499999999993;"rising intonation at the end; sounds like having accent in /e/ and /o/"
58;aguja;aguja;speak;T;repeat;1;1.0052490000000001;0.66529700000000003;NA
63;oreja;oreja;speak;T;repeat;1;0.69688099999999997;0.55717699999999992;NA
65;goma;goma;type;T;switch;1;1,033;0,368;NA
72;iglesia;iglesia;type;T;repeat;1;0,941;1,056;NA
75;vaca;vaca;type;T;repeat;1;0,879;0,641;NA
77;bano;bano;speak;T;switch;1;0.87845600000000001;0.50797600000000009;NA
81;pierna;pierna;speak;T;repeat;1;0.66727899999999996;0.55111100000000013;NA
83;taza;taza;type;T;switch;1;1,211;0,448;NA
86;camisa;camisa;speak;T;switch;1;1.2079299999999999;0.63012000000000001;NA
88;regalo;regalo;speak;T;repeat;1;0.85460599999999998;0.60066700000000006;NA
93;bombero;bombero;type;T;switch;1;1,268;0,88;NA
96;pulpo;pulpo;type;T;repeat;1;1,121;0,895;NA
99;muneca;muneca;speak;T;repeat;1;0.62124500000000005;0.63436199999999987;NA
103;traje;traje;speak;T;repeat;1;0.50437900000000002;0.47079700000000002;NA
108;vaso;vaso;speak;T;switch;1;0.66653899999999999;0.41013100000000002;NA
110;puente;puente;type;T;switch;1;1,415;0,848;/ts/ sound - check accuracy - 56_778
116;pavo;pavo;type;T;repeat;1;0,867;0,447;NA
120;vaso;vaso;speak;T;switch;1;0.68339499999999997;0.47065400000000013;exhalation at the end of the word passing to the last silent part (42_923)
126;mano;mano;type;T;repeat;1;0,855;0,288;NA
128;pintor;pintor;speak;T;switch;1;0.68388800000000005;0.56223000000000001;NA
131;cerdo;cerdo;type;T;switch;1;0,964;0,56;NA
133;caracol;caracol;speak;T;switch;1;0.867039;0.62175299999999989;NA
137;cuerda;cuerda;speak;T;repeat;1;0.48316100000000001;0.657308;mic sound - yawns while speaking (01_422)
140;falda;falda;speak;T;repeat;1;0.630247;0.49071500000000001;weird sound quality (15_357)
145;manzana;manzana;type;T;switch;1;0,945;0,704;NA
148;goma;goma;speak;T;switch;1;0.85010799999999997;0.58651799999999998;weird sound quality (52_337)
151;aguja;aguja;type;T;switch;1;1,052;1,216;NA
153;iglesia;iglesia;speak;T;switch;1;0.779501;0.61332100000000001;NA
156;conejo;conejo;speak;T;repeat;1;0.872;0.57208200000000009;NA
160;guante;guante;speak;T;repeat;1;0.70782100000000003;0.63211400000000006;NA
162;cartero;cartero;type;T;switch;1;0,886;0,992;NA
168;miel;miel;type;T;repeat;1;1,084;0,335;NA
172;pierna;pierna;type;T;repeat;1;0,796;0,672;NA
174;pulpo;pulpo;speak;T;switch;1;1.0197989999999999;0.50381100000000001;NA
177;taza;taza;speak;T;repeat;1;0.73300500000000002;0.56498199999999998;NA
179;bano;bano;type;T;switch;1;1,141;1,295;NA
184;bombero;bombero;speak;T;switch;1;0.668655;0.57660700000000009;NA
186;vaca;vaca;speak;T;repeat;1;0.51142600000000005;0.54495700000000002;NA
189;regalo;regalo;type;T;switch;1;0,793;0,768;NA
191;camisa;camisa;type;T;repeat;1;0,833;0,544;NA
197;vaso;vaso;speak;T;repeat;1;0.639463;0.48321500000000006;NA
201;cazador;cazador;speak;T;repeat;1;0.76026099999999996;0.64848399999999995;NA
206;puente;puente;speak;T;switch;1;0.92440199999999995;0.55404500000000012;NA
212;vaso;vaso;type;T;repeat;1;0,783;0,401;NA
216;traje;traje;type;T;repeat;1;0,812;0,704;NA
218;pavo;pavo;speak;T;switch;1;0.753;0.30649800000000005;NA
220;cerdo;cerdo;type;T;repeat;1;1,017;0,545;NA
224;manzana;manzana;type;T;repeat;1;0,915;0,672;NA
226;cuerda;cuerda;speak;T;switch;1;0.673655;0.56912200000000002;NA
229;granja;granja;type;T;switch;1;0,919;0,816;NA
231;falda;falda;speak;T;switch;1;0.51138700000000004;0.65477999999999992;NA
235;caracol;caracol;speak;T;repeat;1;0.72954799999999997;0.5815800000000001;NA
238;pintor;pintor;speak;T;repeat;1;0.63200000000000001;0.53621899999999989;NA
240;mano;mano;type;T;switch;1;0,809;0,496;NA
244;aguja;aguja;speak;T;switch;1;0.56697600000000004;0.61756899999999992;NA
248;conejo;conejo;type;T;switch;1;0,991;0,704;NA
250;miel;miel;speak;T;switch;1;1.2635909999999999;0.40509499999999998;NA
253;goma;goma;speak;T;repeat;1;0.60012399999999999;0.40457500000000002;NA
258;iglesia;iglesia;speak;T;repeat;1;0.61341800000000002;0.64458799999999994;NA
260;oreja;oreja;type;T;switch;1;1,694;0,545;NA
265;guante;guante;type;T;repeat;1;0,937;0,768;NA
268;taza;taza;type;T;repeat;1;0,754;0,593;NA
271;regalo;regalo;speak;T;switch;1;0.81484299999999998;0.57860700000000009;weird sound quality (31_039)
273;bano;bano;speak;T;repeat;1;0.495701;0.52929400000000015;NA
277;camisa;camisa;type;T;switch;1;0,9;0,56;NA
279;vaca;vaca;speak;T;switch;1;0.61913300000000004;0.40494200000000002;NA
282;pulpo;pulpo;speak;T;repeat;1;0.83551600000000004;0.43942099999999995;NA
285;pierna;pierna;type;T;switch;1;0,87;0,672;NA
287;bombero;bombero;type;T;repeat;1;0,834;0,72;NA
294;pavo;pavo;speak;T;repeat;1;0.69472599999999995;0.39785599999999999;NA
299;espalda;espalda;speak;T;repeat;1;0.48533100000000001;0.71520600000000001;too close to the mic (24_204)
301;vaso;vaso;type;T;switch;1;0,805;0,448;NA
304;traje;traje;speak;T;switch;1;0.64188000000000001;0.59446599999999994;probably too close to the mic -- very bad sound quality (47_205)
306;vaso;vaso;type;T;switch;1;0,952;0,464;NA
309;muneca;muneca;type;T;repeat;1;1,141;1,552;NA
315;cazador;cazador;speak;T;switch;1;0.92722400000000005;0.67847199999999996;too close to the mic (37_857)
317;falda;falda;type;T;repeat;1;1,296;0,511;NA
320;cuerda;cuerda;type;T;repeat;1;0,721;0,705;NA
323;manzana;manzana;speak;T;switch;1;0.82200499999999999;0.74345500000000009;too close to the mic (14_836)
325;caracol;caracol;type;T;switch;1;0,967;1,088;NA
330;cerdo;cerdo;speak;T;switch;1;0.63902899999999996;0.66795100000000007;NA
332;mano;mano;speak;T;repeat;1;0.60705799999999999;0.74370400000000003;NA
335;granja;granja;speak;T;repeat;1;1.257871;0.64838799999999996;too close to the mic (10_499)
339;pintor;pintor;type;T;switch;1;1,213;0,769;NA
341;oreja;oreja;speak;T;switch;1;0.79330900000000004;0.55781999999999998;too close to the mic (38_133)
343;guante;guante;type;T;switch;1;0,975;0,72;NA
