"","Trial_no","CorrectAns","SubjResponse","Backspace","Item_correct","RespModal","KeyResp_keys","key1","key2","key3","key4","key5","key6","key7","key8","key9","key10","key11","key12","key13","key14","key15","RepSwitch","FrameColor","sequence","Target","set","block","list","exp_version","stimulus","baseline","baseline_condition","fixationITI.started","fixationITI.stopped","polygonColour.started","polygonWhite.started","imageObject.started","polygonType.started","textInput.started","keyResp.started","micRespv2l1.started","participant","session","date","psychopyVersion"
"1",1,"espejo","espejio","0","0","type","['e', 's', 'p', 'e', 'j', 'i', 'o']",1.03333230013959,1.20913750003092,1.35318089998327,1.43319430015981,1.6085264000576,1.76841320004314,1.78496740013361,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",1,1,1,2,"Extra1",0,"None",78.9469047000166,80.0445477000903,80.0445477000903,80.0445477000903,80.0445477000903,80.0445477000903,80.0445477000903,80.0445477000903,80.0445477000903,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"2",2,"cadena","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",1,1,1,2,"Extra2",0,"None",83.5658530001529,84.7187441999558,84.7187441999558,84.7187441999558,84.7187441999558,84.7187441999558,84.7187441999558,84.7187441999558,84.7187441999558,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"3",3,"puente","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","darkblue",2,"NT",1,1,1,2,"Stim1_Set1",1,"repeat",88.23995009996,89.3998060000595,89.3998060000595,89.3998060000595,89.3998060000595,89.3998060000595,89.3998060000595,89.3998060000595,89.3998060000595,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"4",4,"puente","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"repeat","darkblue",2,"T",1,1,1,2,"Stim1_Set1",0,"None",92.9214066001587,93.949165500002,93.949165500002,93.949165500002,93.949165500002,93.949165500002,93.949165500002,93.949165500002,93.949165500002,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"5",5,"vaca","vaca","0","1","type","['v', 'a', 'c', 'a']",0.920247700065374,1.04914920008741,1.12913989997469,1.20914479997009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",1,1,1,2,"Stim1_Set4",0,"None",97.4703661000822,98.5886150000151,98.5886150000151,98.5886150000151,98.5886150000151,98.5886150000151,98.5886150000151,98.5886150000151,98.5886150000151,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"6",6,"fresa","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","darkblue",2,"NT",1,1,1,2,"Stim2_Set1",1,"switch",102.117018900113,103.276653300039,103.276653300039,103.276653300039,103.276653300039,103.276653300039,103.276653300039,103.276653300039,103.276653300039,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"7",7,"fresa","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"repeat","darkblue",2,"T",1,1,1,2,"Stim2_Set1",0,"None",106.797916200012,108.006378300022,108.006378300022,108.006378300022,108.006378300022,108.006378300022,108.006378300022,108.006378300022,108.006378300022,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"8",8,"bano","nano","1","0","type","['n', 'a', 'backspace', 'a', 'n', 'o']",0.944035199936479,1.04006210016087,1.39177020010538,1.87212990014814,2.38448340003379,2.5765305000823,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",1,1,1,2,"Stim2_Set4",1,"switch",111.533756100107,112.757050100015,112.757050100015,112.757050100015,112.757050100015,112.757050100015,112.757050100015,112.757050100015,112.757050100015,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"9",9,"traje","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","darkblue",2,"NT",1,1,1,2,"Stim3_Set1",0,"None",116.278234699974,117.362011900172,117.362011900172,117.362011900172,117.362011900172,117.362011900172,117.362011900172,117.362011900172,117.362011900172,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"10",10,"traje","traje","0","1","type","['t', 'r', 'a', 'j', 'e']",0.654777399962768,0.798741000005975,0.894734699977562,1.18265729979612,1.24676569993608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"switch","gold",1,"T",1,1,1,2,"Stim3_Set1",0,"None",120.883062500041,122.070763200056,122.070763200056,122.070763200056,122.070763200056,122.070763200056,122.070763200056,122.070763200056,122.070763200056,201,1,"2023-10-06_09h41.18.571","2022.2.4"
