word	zipf	
ratón	3.930899	
nariz	4.307094	
mesa	5.001068	
dragón	4.170068	
pulmón	3.779411	
fruta	4.142605	
nuez	3.471765	
sirena	3.578841	
dardo	3.281147	
kiwi	2.673138	
saco	4.038626	
muñeca	3.851023	
limón	3.842792	
traje	4.501220	
melón	3.213338	
grifo	3.360575	
girasol	3.310421	
vaso	4.177539	
ángel	4.772938	
pipa	3.641460	
león	5.010398	
bandeja	3.579213	
caracol	3.836053	
dominó	3.741708	
bala	3.990625	
flauta	3.890713	
mando	4.819352	
barba	4.144329	
cazador	4.011869	
corbata	3.716161	
coco	3.796877	
espalda	4.511075	
portero	4.255907	
loro	3.849828	
pintor	4.581845	
puente	4.801938	
bruja	3.965088	
balón	4.341138	
motor	4.692842	
ciudad	5.817931	
pavo	4.152053	
medusa	3.260733	
compás	3.844612	
falda	3.921027	
balanza	3.922716	
bota	3.535434	
pañal	2.608680	
tren	4.606346	
frontón	3.525029	
plato	4.267950	
aguja	3.802027	
jirafa	2.819266	
cartero	3.269166	
raíz	4.637186	
cerebro	4.500507	
patata	3.538712	
coro	4.413228	
pala	3.614547	
cono	3.744258	
isla	5.187530	
mano	5.369808	
pirata	3.825637	
tacón	3.156209	
nudo	3.857340	
cama	4.658146	
conejo	3.931891	
autobús	4.122749	
capa	4.493181	
peluca	3.287016	
tambor	3.895047	
piedra	4.900422	
túnel	4.165947	
vena	3.596704	
jaula	3.809312	
brújula	3.331314	
bandera	4.682061	
avión	4.682149	
granja	4.046050	
espada	4.594484	
mimo	3.285557	
cuna	4.027114	
buzón	3.135019	
dado	5.315405	
minero	3.764138	
flor	4.520370	
vaca	4.165079	
corona	4.717705	
iglesia	5.335107	
tomate	3.842792	
casco	4.357674	
cigüeña	3.659446	
regla	4.509724	
regalo	4.178007	
espejo	4.419504	
aleta	3.215061	
fuente	5.053287	
candado	3.027644	
oreja	4.322473	
biblia	4.239962	
cabra	3.958618	
delfín	3.666194	
piscina	4.016513	
erizo	3.209871	
donuts	2.436050	
babero	2.091554	
cebra	3.106163	
araña	4.083712	
fresa	3.299939	
moneda	4.669952	
bomba	4.469282	
bolso	3.428750	
antena	4.282033	
cadena	4.836731	
tetera	2.852214	
trébol	3.183868	
pato	4.159935	
ancla	3.363028	
puño	3.776824	
fábrica	4.500017	
lámpara	3.962635	
cortina	3.836875	
pera	3.549197	
gaita	3.339785	
peine	3.228608	
timbre	3.817336	
niña	4.579845	
cañón	4.261506	
volcán	4.073348	
piña	3.395999	
nido	4.261352	
cerdo	4.180808	
banco	5.074182	
reloj	4.417404	
tijeras	3.382759	
pistola	4.121151	
mosca	3.928743	
goma	3.806457	
navaja	3.604140	
juez	4.914444	
pinza	3.010081	
brazo	4.688238	
canguro	2.991777	
bombero	3.160130	
rosa	4.777319	
clavo	3.794845	
cesta	3.607985	
pizza	3.341074	
bigote	3.593837	
puerto	5.061827	
círculo	4.611761	
ataúd	3.567531	
taza	3.790524	
niño	5.000307	
escudo	4.641170	
pastor	4.367108	
lengua	5.077146	
timón	3.619997	
libro	5.324008	
bebé	4.122004	
caja	4.711799	
labios	4.564079	
cuerda	4.340043	
copa	5.070814	
cable	4.219255	
cisne	4.045923	
bolsa	4.738628	
tortuga	3.750819	
payaso	3.581438	
tiburón	3.532546	
camión	4.047444	
rama	4.448786	
faro	3.897198	
zapato	3.533786	
braga	3.401072	
puerta	5.201336	
manzana	3.909884	
lobo	4.266577	
codo	3.821400	
sandía	3.069277	
campana	4.074063	
violín	4.062243	
toro	4.492410	
pico	4.475841	
guante	3.567531	
barco	4.630828	
pulsera	3.091554	
escoba	3.345554	
cubo	3.759252	
carpeta	3.409397	
ventana	4.618743	
nube	4.177351	
leñador	2.943134	
koala	2.764623	
arpa	3.634968	
gato	4.586111	
jersey	4.016241	
miel	4.220870	
planta	4.878790	
rana	3.934196	
reina	4.968242	
jabón	3.594556	
tiza	3.129818	
trineo	3.256063	
piano	4.549077	
balcón	3.963403	
ladrón	4.158860	
embudo	3.138111	
jabalí	3.606939	
oveja	4.320656	
botón	3.893607	
cactus	3.275198	
tronco	4.099144	
esponja	3.279668	
lápiz	3.736044	
pila	3.946977	
tejado	3.795071	
cajón	3.910924	
columna	4.430534	
vestido	4.494494	
café	4.641073	
piloto	4.537854	
sofá	3.784540	
tenedor	3.279668	
molino	3.982768	
cuerno	3.715347	
vela	4.296601	
arco	4.548678	
camisa	4.137494	
plátano	3.784771	
cereza	3.149260	
árbol	4.691121	
naranja	4.174905	
baño	4.306398	
cometa	3.781283	
cámara	5.128718	
pulpo	3.160130	
cocina	4.586513	
gafas	3.808874	
tractor	3.120296	
pozo	4.230355	
bañera	3.256845	
basura	4.060651	
globo	4.229024	
teclado	3.945060	
pierna	4.196526	
corazón	5.171601	
robot	3.986423	
muleta	3.519091	
luna	4.830209	
boca	4.935507	
foca	3.323345	
maleta	3.645628	
pluma	4.253237	
tigre	4.422821	
cuadro	4.649409	
