Word	PhoWord	Length_Ortho	Length_Phono	Freq_per_million	OTAN	PTAN
kiwi	k.i.w.i	4	4	0.78431	1	2
pizza	p.i.t.s.5	5	5	33.5098	2	2
dolphin	d.A.l.f.I.n	7	6	2.7647	1	1
coffee	k.O.f.i	6	4	144.5294	2	3
plant	p.l.1.n.t	5	5	27.6078	9	9
camera	k.1.m.5.r0.5	6	6	57	1	1
fruit	f.r0.u.t	5	4	21.7255	2	11
compass	k.V.m.p.5.s	7	6	4.0588	0	2
train	t.r0.eI.n	5	4	95.0588	10	22
melon	m.E.l.5.n	5	5	4.2745	3	5
lemon	l.E.m.5.n	5	5	12.0196	4	5
cactus	k.1.k.t.5.s	6	6	2.902	0	0
koala	k.oU.A.l.5	5	5	0.60784	0	1
sofa	s.oU.f.5	4	4	5.8627	3	1
balcony	b.1.l.k.5.n.i	7	7	7.3137	0	0
tomato	t.5.m.eI.t.oU	6	6	5.902	0	1
sack	s.1.k	4	3	12.9216	20	46
boot	b.u.t	4	3	11.1373	22	39
lion	l.aI.5.n	4	4	15.3529	8	7
Dragon	d.r0.1.g.5.n	6	6	19.2941	2	1
cannon	k.1.n.5.n	6	5	8.7059	5	4
button	b.V.t.5.n	6	5	28.2549	3	9
piano	p.I.j.1.n.oU	5	6	24.8627	1	1
plate	p.l.eI.t	5	4	25.6471	9	18
tunnel	t.V.n.l	6	4	17.8824	3	7
potato	p.5.t.eI.t.oU	6	6	11.2941	0	1
tractor	t.r0.1.k.t.56	7	6	3.7255	2	4
pipe	p.aI.p	4	3	19.3922	11	21
cone	k.oU.n	4	3	2.9216	27	44
mime	m.aI.m	4	3	1.1373	9	19
pilot	p.aI.l.5.t	5	5	26.6667	4	4
giraffe	dZ.I0.r0.1.f	7	5	1.4902	1	1
kitchen	k.I.tS.5.n	7	5	58.3137	1	2
crown	k.r0.aU.n	5	4	13.6863	9	11
Cape	k.eI.p	4	3	8.2353	17	28
beak	b.i.k	4	3	2.098	14	38
pirate	p.aI.r0.5.t	6	5	7.3529	3	3
kangaroo	k.1.N.g.5.r0.u	8	7	2.3137	1	1
dominoes	d.A.m.I0.n.oU.z	8	7	0.88235	0	1
violin	v.aI.5.l.I.n	6	6	4.7451	1	1
doughnut	d.oU.n.V.t	8	5	4.2157	1	3
nut	n.V.t	3	3	15.6275	13	31
bench	b.E.n.tS	5	4	9.6667	5	9
lamp	l.1.m.p	4	4	12.8824	14	14
fountain	f.aU.n.t.I.n	8	6	6.902	2	2
circle	s.36.k.l	6	4	21.5098	2	6
volcano	v.A.l.k.eI.n.oU	7	7	3.3333	0	1
pear	p.Er	4	2	1.3333	21	46
cherry	tS.E.r0.i	6	4	13.5882	2	11
curtain	k.36.t.5.n	7	5	10.2941	2	6
miner	m.aI.n.56	5	4	1.451	11	17
vein	v.eI.n	4	3	3.5882	7	37
dice	d.aI.s	4	3	10.451	16	29
Angel	eI.n.dZ.l	5	4	78.2745	2	2
knife	n.aI.f	5	3	46.8039	1	12
flower	f.l.aU.56	6	4	22.7647	6	5
zebra	z.i.b.r0.5	5	5	2.5098	1	1
anchor	1.n.k.5	6	4	7.4118	1	4
Flipper	f.l.I.p.56	7	5	0.88235	4	7
sponge	s.p.V.n.dZ	6	5	6.7059	1	1
lips	l.I.p.s	4	4	31.1765	14	19
tiger	t.aI.g.56	5	4	18.5294	3	6
kite	k.aI.t	4	3	2.2941	10	36
baby	b.eI.b.i	4	4	509.3725	4	9
bomb	b.A.m	4	3	53.6471	6	29
bullet	b.U.l.I.t	6	5	38.2353	4	4
Bible	b.aI.b.l	5	4	18.3333	2	6
banana	b.5.n.1.n.5	6	6	10.7255	1	1
nose	n.oU.z	4	3	69.7451	17	37
Swan	s.w.A.n	4	4	6.8235	13	10
teapot	t.i.p.A.t	6	5	0.86275	0	0
pineapple	p.aI.n.1.p.l	9	6	2.549	1	1
