word	abs_tok_MBOF	abs_type_MBOF	
escoba	35694.194692	20924.400000	
aguja	5250.035895	4243.250000	
tejado	30112.865795	21702.600000	
guante	35840.697824	20860.200000	
manzana	28676.236914	21339.666667	
pierna	28190.958066	14613.600000	
campana	29987.741708	20357.000000	
espejo	27234.653724	13908.400000	
taza	20140.232795	15032.333333	
tenedor	46934.786801	25358.166667	
muñeca	13362.893747	8954.400000	
espalda	35265.644306	18521.666667	
puerta	39461.682474	16802.200000	
granja	24817.077207	18967.600000	
puño	4851.464662	1624.666667	
bandeja	36499.951178	20184.666667	
cazador	30582.349445	23177.833333	
conejo	27908.385795	14225.200000	
oreja	28339.975409	18296.750000	
puente	55849.965793	21855.400000	
grifo	11912.671067	8231.750000	
pañal	20399.820875	9569.000000	
traje	24200.320182	16433.250000	
cuerda	35819.704753	14927.800000	
mosca	34108.958313	26173.000000	
timbre	23948.395594	16101.400000	
regalo	32298.847000	20057.000000	
cabra	31091.018865	23396.250000	
moneda	27847.333963	17703.000000	
cerdo	34218.602203	22088.750000	
clavo	23429.933396	10510.250000	
pastor	41890.807100	22100.800000	
embudo	16008.567973	12620.800000	
basura	32253.482766	23510.600000	
cartero	44016.175440	31132.500000	
araña	31667.708009	29047.500000	
tiza	13877.643717	13162.000000	
braga	21670.738641	16647.000000	
caracol	41516.996816	32695.666667	
bombero	24035.218084	13155.000000	
piedra	21952.291767	13657.600000	
portero	41065.366130	20589.333333	
cerebro	32716.393164	19752.333333	
oveja	6080.964521	3853.000000	
escudo	33767.849301	21486.200000	
falda	20645.240665	12160.250000	
miel	35954.408176	11338.000000	
flauta	27596.778254	14215.200000	
lengua	31608.968986	16274.600000	
mando	36364.261555	30926.750000	
pulpo	11742.426191	4883.750000	
toro	40249.415205	19626.666667	
camisa	22892.294840	16832.600000	
molino	22767.711176	17367.600000	
columna	18872.278174	11709.833333	
mano	34693.929225	21947.333333	
iglesia	30828.726034	16670.500000	
babero	28698.595678	18888.400000	
vela	50534.333715	17817.000000	
rana	48462.523824	34566.000000	
vestido	41541.643952	23911.833333	
fresa	43557.054140	26729.250000	
boca	16601.843900	12365.666667	
pavo	12909.463820	6140.333333	
girasol	27298.136240	20793.333333	
nudo	19047.121326	14832.333333	
baño	8128.126546	6519.666667	
goma	17829.158454	9262.333333	
pintor	36080.838363	18336.000000	
ventana	51453.139793	27818.333333	
tronco	38455.444980	21376.000000	
leñador	28448.002828	20637.500000	
tijeras	36456.993460	23774.333333	
gafas	17803.490820	14642.750000	
cesta	50561.921961	27605.750000	
peine	19136.506371	11952.250000	
vaca	24357.135837	15824.333333	
cadena	68163.829011	30330.600000	
vaso	28352.082465	19134.333333	
