word	frq	log_frq	es_num_phon	es_num_syll		"word	frq	log_frq	es_num_phon	es_num_syll	"
arpa	4.314875	0.725493	4	2		"arpa	4.314875	0.725493	4	2	"
bolo	1.436125	0.386700	4	2		"bolo	1.436125	0.386700	4	2	"
café	43.759588	1.650886	4	2		"café	43.759588	1.650886	4	2	"
caja	51.499070	1.720152	4	2		"caja	51.499070	1.720152	4	2	"
cama	45.514131	1.667585	4	2		"cama	45.514131	1.667585	4	2	"
caña	11.141345	1.084267	4	2		"caña	11.141345	1.084267	4	2	"
coco	6.264366	0.861198	4	2		"coco	6.264366	0.861198	4	2	"
codo	6.628271	0.882426	4	2		"codo	6.628271	0.882426	4	2	"
cuna	10.644224	1.066111	4	2		"cuna	10.644224	1.066111	4	2	"
dado	206.730589	2.317500	4	2		"dado	206.730589	2.317500	4	2	"
flor	33.141357	1.533281	4	1		"flor	33.141357	1.533281	4	1	"
gato	38.557695	1.597231	4	2		"gato	38.557695	1.597231	4	2	"
goma	6.404080	0.869471	4	2		"goma	6.404080	0.869471	4	2	"
isla	154.003339	2.190341	4	2		"isla	154.003339	2.190341	4	2	"
juez	82.119085	1.919701	4	1		"juez	82.119085	1.919701	4	1	"
kiwi	0.471127	0.167650	4	2		"kiwi	0.471127	0.167650	4	2	"
león	102.423040	2.014617	4	2		"león	102.423040	2.014617	4	2	"
loro	7.076655	0.907232	4	2		"loro	7.076655	0.907232	4	2	"
luna	67.640861	1.836583	4	2		"luna	67.640861	1.836583	4	2	"
miel	16.629163	1.246232	4	1		"miel	16.629163	1.246232	4	1	"
nido	18.253740	1.284515	4	2		"nido	18.253740	1.284515	4	2	"
niña	38.005339	1.591124	4	2		"niña	38.005339	1.591124	4	2	"
niño	100.070654	2.004625	4	2		"niño	100.070654	2.004625	4	2	"
nube	15.043577	1.205301	4	2		"nube	15.043577	1.205301	4	2	"
nuez	2.963227	0.598049	4	1		"nuez	2.963227	0.598049	4	1	"
pala	4.116676	0.708988	4	2		"pala	4.116676	0.708988	4	2	"
pato	14.452231	1.188991	4	2		"pato	14.452231	1.188991	4	2	"
pera	3.541576	0.657207	4	2		"pera	3.541576	0.657207	4	2	"
pila	8.850692	0.993467	4	2		"pila	8.850692	0.993467	4	2	"
piña	2.488851	0.542682	4	2		"piña	2.488851	0.542682	4	2	"
pipa	4.379858	0.730771	4	2		"pipa	4.379858	0.730771	4	2	"
pozo	16.996318	1.255184	4	2		"pozo	16.996318	1.255184	4	2	"
raíz	43.369690	1.647086	4	2		"raíz	43.369690	1.647086	4	2	"
rana	8.594009	0.982000	4	2		"rana	8.594009	0.982000	4	2	"
saco	10.930150	1.076646	4	2		"saco	10.930150	1.076646	4	2	"
taxi	7.109146	0.908975	5	2		"taxi	7.109146	0.908975	5	2	"
taza	6.173390	0.855724	4	2		"taza	6.173390	0.855724	4	2	"
toro	31.074896	1.506165	4	2		"toro	31.074896	1.506165	4	2	"
vaca	14.624436	1.193804	4	2		"vaca	14.624436	1.193804	4	2	"
vaso	15.050075	1.205477	4	2		"vaso	15.050075	1.205477	4	2	"
vela	19.797087	1.318003	4	2		"vela	19.797087	1.318003	4	2	"
aleta	1.640822	0.421739	5	3		"aleta	1.640822	0.421739	5	3	"
ancla	2.306898	0.519421	5	2		"ancla	2.306898	0.519421	5	2	"
araña	12.125838	1.118127	5	3		"araña	12.125838	1.118127	5	3	"
árbol	49.104445	1.699876	5	2		"árbol	49.104445	1.699876	5	2	"
avión	48.100456	1.691086	5	2		"avión	48.100456	1.691086	5	2	"
banco	118.626565	2.077828	5	2		"banco	118.626565	2.077828	5	2	"
barba	13.942114	1.174412	5	2		"barba	13.942114	1.174412	5	2	"
bolsa	54.780714	1.746484	5	2		"bolsa	54.780714	1.746484	5	2	"
bomba	29.463317	1.483777	5	2		"bomba	29.463317	1.483777	5	2	"
botón	7.827209	0.945823	5	2		"botón	7.827209	0.945823	5	2	"
braga	2.518093	0.546307	5	2		"braga	2.518093	0.546307	5	2	"
brazo	48.779529	1.697051	5	2		"brazo	48.779529	1.697051	5	2	"
bruja	9.227594	1.009773	5	2		"bruja	9.227594	1.009773	5	2	"
buzón	1.364644	0.373766	5	2		"buzón	1.364644	0.373766	5	2	"
cable	16.567430	1.244708	5	2		"cable	16.567430	1.244708	5	2	"
cajón	8.145626	0.961213	5	2		"cajón	8.145626	0.961213	5	2	"
cañón	18.260238	1.284662	5	2		"cañón	18.260238	1.284662	5	2	"
casco	22.786308	1.376327	5	2		"casco	22.786308	1.376327	5	2	"
cebra	1.276917	0.357347	5	2		"cebra	1.276917	0.357347	5	2	"
cerdo	15.163796	1.208543	5	2		"cerdo	15.163796	1.208543	5	2	"
cesta	4.054943	0.703716	5	2		"cesta	4.054943	0.703716	5	2	"
cisne	11.115351	1.083336	5	2		"cisne	11.115351	1.083336	5	2	"
coche	55.531269	1.752289	4	2		"coche	55.531269	1.752289	4	2	"
diana	10.855419	1.073917	5	2		"diana	10.855419	1.073917	5	2	"
ducha	2.566831	0.552282	4	2		"ducha	2.566831	0.552282	4	2	"
falda	8.337326	0.970223	5	2		"falda	8.337326	0.970223	5	2	"
fresa	1.994980	0.476394	5	2		"fresa	1.994980	0.476394	5	2	"
gafas	6.439821	0.871562	5	2		"gafas	6.439821	0.871562	5	2	"
gaita	2.186680	0.503338	5	2		"gaita	2.186680	0.503338	5	2	"
globo	16.944331	1.253927	5	2		"globo	16.944331	1.253927	5	2	"
grifo	2.293902	0.517711	5	2		"grifo	2.293902	0.517711	5	2	"
jaula	6.446319	0.871942	5	2		"jaula	6.446319	0.871942	5	2	"
koala	0.581598	0.199096	5	3		"koala	0.581598	0.199096	5	3	"
limón	6.962934	0.901073	5	2		"limón	6.962934	0.901073	5	2	"
llave	21.866798	1.359205	4	2		"llave	21.866798	1.359205	4	2	"
melón	1.634324	0.420669	5	2		"melón	1.634324	0.420669	5	2	"
motor	49.299394	1.701563	5	2		"motor	49.299394	1.701563	5	2	"
nariz	20.281211	1.327996	5	2		"nariz	20.281211	1.327996	5	2	"
oreja	21.012270	1.342665	5	3		"oreja	21.012270	1.342665	5	3	"
oveja	20.924543	1.340931	5	3		"oveja	20.924543	1.340931	5	3	"
perro	69.970503	1.851078	4	2		"perro	69.970503	1.851078	4	2	"
piano	35.406017	1.561173	5	2		"piano	35.406017	1.561173	5	2	"
pinza	1.023483	0.306100	5	2		"pinza	1.023483	0.306100	5	2	"
pizza	2.193178	0.504223	5	2		"pizza	2.193178	0.504223	5	2	"
queso	13.899875	1.173183	4	2		"queso	13.899875	1.173183	4	2	"
regla	32.338817	1.522950	5	2		"regla	32.338817	1.522950	5	2	"
reina	92.948511	1.972890	5	2		"reina	92.948511	1.972890	5	2	"
reloj	26.145932	1.433705	5	2		"reloj	26.145932	1.433705	5	2	"
robot	9.692222	1.029068	5	2		"robot	9.692222	1.029068	5	2	"
silla	24.804032	1.411688	4	2		"silla	24.804032	1.411688	4	2	"
tacón	1.432876	0.386120	5	2		"tacón	1.432876	0.386120	5	2	"
traje	31.711730	1.514704	5	2		"traje	31.711730	1.514704	5	2	"
túnel	14.653679	1.194616	5	2		"túnel	14.653679	1.194616	5	2	"
abrazo	6.001185	0.845172	6	3		"abrazo	6.001185	0.845172	6	3	"
antena	19.144008	1.304146	6	3		"antena	19.144008	1.304146	6	3	"
babero	0.123468	0.050561	6	3		"babero	0.123468	0.050561	6	3	"
bañera	1.806529	0.448170	6	3		"bañera	1.806529	0.448170	6	3	"
biblia	17.376469	1.264262	6	2		"biblia	17.376469	1.264262	6	2	"
bigote	3.924976	0.692404	6	3		"bigote	3.924976	0.692404	6	3	"
billar	2.212673	0.506867	5	2		"billar	2.212673	0.506867	5	2	"
cactus	1.884509	0.460072	6	2		"cactus	1.884509	0.460072	6	2	"
cadena	68.664344	1.843011	6	3		"cadena	68.664344	1.843011	6	3	"
cámara	134.498676	2.131935	6	3		"cámara	134.498676	2.131935	6	3	"
camisa	13.724421	1.168038	6	3		"camisa	13.724421	1.168038	6	3	"
cereza	1.410132	0.382041	6	3		"cereza	1.410132	0.382041	6	3	"
cocina	38.593436	1.597623	6	3		"cocina	38.593436	1.597623	6	3	"
cometa	6.043424	0.847784	6	3		"cometa	6.043424	0.847784	6	3	"
compás	6.992177	0.902665	6	2		"compás	6.992177	0.902665	6	2	"
conejo	8.548521	0.979936	6	3		"conejo	8.548521	0.979936	6	3	"
corona	52.204136	1.725945	6	3		"corona	52.204136	1.725945	6	3	"
delfín	4.636541	0.751013	6	2		"delfín	4.636541	0.751013	6	2	"
dominó	5.517061	0.814052	6	3		"dominó	5.517061	0.814052	6	3	"
escoba	2.215922	0.507306	6	3		"escoba	2.215922	0.507306	6	3	"
espada	39.308249	1.605394	6	3		"espada	39.308249	1.605394	6	3	"
espejo	26.272649	1.435727	6	3		"espejo	26.272649	1.435727	6	3	"
farola	0.513366	0.179944	6	3		"farola	0.513366	0.179944	6	3	"
flauta	7.775222	0.943258	6	2		"flauta	7.775222	0.943258	6	2	"
flecha	9.607745	1.025623	5	2		"flecha	9.607745	1.025623	5	2	"
fuente	113.054268	2.057112	6	2		"fuente	113.054268	2.057112	6	2	"
guante	3.694287	0.671570	6	2		"guante	3.694287	0.671570	6	2	"
jirafa	0.659578	0.219998	6	3		"jirafa	0.659578	0.219998	6	3	"
lengua	119.438853	2.080767	6	2		"lengua	119.438853	2.080767	6	2	"
maleta	4.422097	0.734167	6	3		"maleta	4.422097	0.734167	6	3	"
medusa	1.822775	0.450676	6	3		"medusa	1.822775	0.450676	6	3	"
minero	5.809485	0.833114	6	3		"minero	5.809485	0.833114	6	3	"
molino	9.610994	1.025756	6	3		"molino	9.610994	1.025756	6	3	"
moneda	46.768304	1.679140	6	3		"moneda	46.768304	1.679140	6	3	"
muleta	3.304388	0.633911	6	3		"muleta	3.304388	0.633911	6	3	"
paella	1.036480	0.308880	5	3		"paella	1.036480	0.308880	5	3	"
patata	3.457098	0.649052	6	3		"patata	3.457098	0.649052	6	3	"
payaso	3.814505	0.682552	6	3		"payaso	3.814505	0.682552	6	3	"
percha	0.903264	0.279499	5	2		"percha	0.903264	0.279499	5	2	"
pincel	2.378380	0.528708	6	2		"pincel	2.378380	0.528708	6	2	"
puerta	158.977792	2.204060	6	2		"puerta	158.977792	2.204060	6	2	"
pulmón	6.017431	0.846178	6	2		"pulmón	6.017431	0.846178	6	2	"
regalo	15.066321	1.205916	6	3		"regalo	15.066321	1.205916	6	3	"
sirena	3.791761	0.680495	6	3		"sirena	3.791761	0.680495	6	3	"
sombra	47.505862	1.685794	6	2		"sombra	47.505862	1.685794	6	2	"
tambor	7.853202	0.947100	6	2		"tambor	7.853202	0.947100	6	2	"
tanque	8.083892	0.958272	5	2		"tanque	8.083892	0.958272	5	2	"
tejado	6.238373	0.859641	6	3		"tejado	6.238373	0.859641	6	3	"
tomate	6.962934	0.901073	6	3		"tomate	6.962934	0.901073	6	3	"
torero	8.327578	0.969769	6	3		"torero	8.327578	0.969769	6	3	"
trébol	1.527102	0.402623	6	2		"trébol	1.527102	0.402623	6	2	"
volcán	11.839912	1.108562	6	2		"volcán	11.839912	1.108562	6	2	"
zapato	3.418109	0.645236	6	3		"zapato	3.418109	0.645236	6	3	"
abanico	7.105897	0.908801	7	4		"abanico	7.105897	0.908801	7	4	"
ardilla	2.371881	0.527872	6	3		"ardilla	2.371881	0.527872	6	3	"
autobús	13.266290	1.154311	7	3		"autobús	13.266290	1.154311	7	3	"
bandeja	3.795010	0.680790	7	3		"bandeja	3.795010	0.680790	7	3	"
bandera	48.090709	1.690999	7	3		"bandera	48.090709	1.690999	7	3	"
batería	35.051859	1.556928	7	4		"batería	35.051859	1.556928	7	4	"
billete	8.707729	0.987118	6	3		"billete	8.707729	0.987118	6	3	"
bombero	1.445873	0.388434	7	3		"bombero	1.445873	0.388434	7	3	"
botella	15.618677	1.220596	6	3		"botella	15.618677	1.220596	6	3	"
brújula	2.144441	0.497543	7	3		"brújula	2.144441	0.497543	7	3	"
campana	11.859407	1.109221	7	3		"campana	11.859407	1.109221	7	3	"
canguro	0.981244	0.296938	7	3		"canguro	0.981244	0.296938	7	3	"
caracol	6.855712	0.895186	7	3		"caracol	6.855712	0.895186	7	3	"
cazador	10.277070	1.052196	7	3		"cazador	10.277070	1.052196	7	3	"
cebolla	5.309116	0.799968	6	3		"cebolla	5.309116	0.799968	6	3	"
cerebro	31.659744	1.514013	7	3		"cerebro	31.659744	1.514013	7	3	"
chaleco	3.989960	0.698097	6	3		"chaleco	3.989960	0.698097	6	3	"
chupete	0.393147	0.143997	6	3		"chupete	0.393147	0.143997	6	3	"
corazón	148.457036	2.174516	7	3		"corazón	148.457036	2.174516	7	3	"
corbata	5.201893	0.792524	7	3		"corbata	5.201893	0.792524	7	3	"
cortina	6.868709	0.895903	7	3		"cortina	6.868709	0.895903	7	3	"
enchufe	0.461380	0.164763	6	3		"enchufe	0.461380	0.164763	6	3	"
espalda	32.439540	1.524260	7	3		"espalda	32.439540	1.524260	7	3	"
estuche	1.777287	0.443621	6	3		"estuche	1.777287	0.443621	6	3	"
galleta	1.234678	0.349215	6	3		"galleta	1.234678	0.349215	6	3	"
girasol	2.043717	0.483404	7	3		"girasol	2.043717	0.483404	7	3	"
lámpara	9.175607	1.007560	7	3		"lámpara	9.175607	1.007560	7	3	"
lechuga	1.696058	0.430729	6	3		"lechuga	1.696058	0.430729	6	3	"
manzana	8.126131	0.960287	7	3		"manzana	8.126131	0.960287	7	3	"
mechero	0.578349	0.198203	6	3		"mechero	0.578349	0.198203	6	3	"
medalla	32.085383	1.519636	6	3		"medalla	32.085383	1.519636	6	3	"
mochila	3.047705	0.607209	6	3		"mochila	3.047705	0.607209	6	3	"
nadador	1.696058	0.430729	7	3		"nadador	1.696058	0.430729	7	3	"
naranja	14.959099	1.203008	7	3		"naranja	14.959099	1.203008	7	3	"
pasillo	9.994394	1.041171	6	3		"pasillo	9.994394	1.041171	6	3	"
piscina	10.387541	1.056430	7	3		"piscina	10.387541	1.056430	7	3	"
plancha	2.914490	0.592675	6	2		"plancha	2.914490	0.592675	6	2	"
portero	18.026299	1.279354	7	3		"portero	18.026299	1.279354	7	3	"
rodilla	12.164828	1.119415	6	3		"rodilla	12.164828	1.119415	6	3	"
teclado	8.811702	0.991744	7	3		"teclado	8.811702	0.991744	7	3	"
tenedor	1.904003	0.462997	7	3		"tenedor	1.904003	0.462997	7	3	"
tiburón	3.408361	0.644277	7	3		"tiburón	3.408361	0.644277	7	3	"
tijeras	2.414120	0.533279	7	3		"tijeras	2.414120	0.533279	7	3	"
tortuga	5.634031	0.821777	7	3		"tortuga	5.634031	0.821777	7	3	"
tractor	1.319156	0.365330	7	2		"tractor	1.319156	0.365330	7	2	"
vestido	31.224357	1.508184	7	3		"vestido	31.224357	1.508184	7	3	"
volante	7.664751	0.937756	7	3		"volante	7.664751	0.937756	7	3	"
copa	117.710304	2.074488	4	2		"copa	117.710304	2.074488	4	2	"
faro	7.892192	0.949009	4	2		"faro	7.892192	0.949009	4	2	"
pico	29.911700	1.490123	4	2		"pico	29.911700	1.490123	4	2	"
puño	5.981690	0.843961	4	2		"puño	5.981690	0.843961	4	2	"
fruta	13.886879	1.172804	5	2		"fruta	13.886879	1.172804	5	2	"
pluma	17.915828	1.276825	5	2		"pluma	17.915828	1.276825	5	2	"
escudo	43.769336	1.650981	6	3		"escudo	43.769336	1.650981	6	3	"
ladrón	14.416491	1.187986	6	2		"ladrón	14.416491	1.187986	6	2	"
plátano	6.092161	0.850779	7	3		"plátano	6.092161	0.850779	7	3	"
jamón	4.214151	0.717184	5	2		"jamón	4.214151	0.717184	5	2	"
camión	11.154341	1.084731	6	2		"camión	11.154341	1.084731	6	2	"
cohete	7.541283	0.931523	5	3		"cohete	7.541283	0.931523	5	3	"
dragón	14.793392	1.198475	6	2		"dragón	14.793392	1.198475	6	2	"
puente	63.377972	1.808737	6	2		"puente	63.377972	1.808737	6	2	"
pistola	13.217553	1.152825	7	3		"pistola	13.217553	1.152825	7	3	"
cubo	5.744502	0.828950	4	2		"cubo	5.744502	0.828950	4	2	"
noria	1.514105	0.400383	5	2		"noria	1.514105	0.400383	5	2	"
peine	1.692809	0.430205	5	2		"peine	1.692809	0.430205	5	2	"
cajero	1.306159	0.362889	6	3		"cajero	1.306159	0.362889	6	3	"
cuadro	44.607617	1.659037	6	2		"cuadro	44.607617	1.659037	6	2	"
