word	pos_tok_MBOF	pos_type_MBOF	
escoba	7639.247111	2922.800000	
aguja	881.361850	820.250000	
tejado	4702.018389	1629.000000	
guante	4876.655767	1978.600000	
manzana	6045.500051	3224.500000	
pierna	4745.294512	1432.800000	
campana	6817.618925	3638.000000	
espejo	7863.204756	2295.000000	
taza	2416.663413	917.000000	
tenedor	5743.312131	2230.166667	
muñeca	2891.796512	1145.400000	
espalda	8081.981218	2958.833333	
puerta	13856.779000	2119.200000	
granja	4994.178902	2144.600000	
puño	2353.593045	518.666667	
bandeja	4800.462698	2128.833333	
cazador	5108.474247	2369.333333	
conejo	15212.493657	5256.400000	
oreja	3387.908498	1552.500000	
puente	14060.281892	1826.600000	
grifo	2850.861750	1145.000000	
pañal	6455.243444	2084.500000	
traje	4876.813922	2727.750000	
cuerda	13269.549905	1725.600000	
mosca	8885.780190	2910.750000	
timbre	3880.983491	1611.000000	
regalo	6580.597019	5080.200000	
cabra	7453.559312	3773.500000	
moneda	8836.633333	3531.400000	
cerdo	6441.570191	2681.500000	
clavo	2030.998991	1000.500000	
pastor	11663.793862	3339.200000	
embudo	2754.575010	1586.200000	
basura	7470.881901	2897.000000	
cartero	10603.091894	4383.000000	
araña	3800.917979	2299.500000	
tiza	1630.839600	612.000000	
braga	3995.316404	2254.250000	
caracol	9390.376544	3463.500000	
bombero	6370.590285	2448.166667	
piedra	5354.141498	2090.200000	
portero	11189.350110	3408.333333	
cerebro	5624.280483	2616.000000	
oveja	427.603095	399.000000	
escudo	8834.199069	2802.400000	
falda	3884.122297	2415.000000	
miel	6342.740244	1085.000000	
flauta	2511.690463	1760.200000	
lengua	4478.995893	1833.400000	
mando	7706.724388	3342.000000	
pulpo	2616.550736	1088.250000	
toro	11366.121897	2966.666667	
camisa	6124.138671	2751.600000	
molino	4331.003437	2654.600000	
columna	9413.352920	4083.666667	
mano	8614.680870	3734.000000	
iglesia	3193.266115	1488.500000	
babero	7789.133161	3053.200000	
vela	9502.141504	2714.000000	
rana	5529.820564	2521.333333	
vestido	8528.120051	5513.666667	
fresa	5391.220661	2209.750000	
boca	2986.575534	2328.000000	
pavo	7118.570704	1856.000000	
girasol	4416.812523	1605.000000	
nudo	3048.750345	498.333333	
baño	2002.890307	1028.000000	
goma	7519.302778	2252.666667	
pintor	6145.698114	2612.800000	
ventana	8502.333850	4100.500000	
tronco	4578.855278	2584.800000	
leñador	3780.655527	1380.333333	
tijeras	7028.734249	3327.000000	
gafas	2168.208273	1151.000000	
cesta	9198.548220	7080.250000	
peine	4165.251202	1925.000000	
vaca	4089.225300	2734.333333	
cadena	7006.961362	3419.000000	
vaso	8077.667510	1812.666667	
