ITEM;PICTURE;NAME1;NAME2;H_INDEX;PERCENTAGE_MODAL_NAME;PERCENTAGE_VALID_RESPONSES;NUMBER_DIFFERENT_RESPONSES;PERCENTAGE_UNKNOWN_RESPONSES;PERCENTAGE_IDIOSYNCRATIC_RESPONSES;VISUAL_COMPLEXITY
1;PICTURE_1;ratón;;0,288538514;94,94949495;99;2;0;1;2,74
2;PICTURE_2;rueda;;0,499915958;89;100;2;0;0;2,43
3;PICTURE_3;escalón;;1,163990458;68;100;3;0;0;1,78
4;PICTURE_4;altar;;1,552676484;59,57446809;94;4;1;5;2,95
5;PICTURE_5;hombro;;0,909088316;80,41237113;97;3;1;2;2,04
6;PICTURE_6;barbilla;;1,017909854;76,53061224;98;3;0;2;1,86
7;PICTURE_7;hada;;0;100;97;1;1;2;2,77
8;PICTURE_8;pierna;;0,327444919;94;100;2;0;0;1,99
9;PICTURE_9;ducha;;0;100;100;1;0;0;2,6
10;PICTURE_10;filete;;2,592258855;30,88235294;68;8;25;7;2,99
11;PICTURE_11;hamburguesa;;0;100;99;1;0;1;2,72
12;PICTURE_12;sirena;;0;100;100;1;0;0;2,48
13;PICTURE_13;pierna;;1,406007579;55;100;3;0;0;1,99
14;PICTURE_14;bata;;0,970950594;60;100;2;0;0;2,31
15;PICTURE_15;león;;0;100;100;1;0;0;2,8
16;PICTURE_16;cazador;;0;100;99;1;0;1;3,17
17;PICTURE_17;diablo;;1,091789925;59;100;3;0;0;2,76
18;PICTURE_18;Saturno;;1,264680433;50;100;3;0;0;2,08
19;PICTURE_19;pavo;;0,342978951;94,84536082;97;3;2;1;3,51
20;PICTURE_20;esqueleto;;0;100;99;1;0;1;2,71
21;PICTURE_21;boxeador;;0;100;98;1;1;1;2,78
22;PICTURE_22;camping;;1,394881879;64,64646465;99;4;0;1;2,73
23;PICTURE_23;bicicleta;;0;100;100;1;0;0;2,78
24;PICTURE_24;hueso;;0;100;100;1;0;0;1,25
25;PICTURE_25;leopardo;;1,85850188;50,50505051;99;5;1;0;3,37
26;PICTURE_26;cebolla;;0;100;99;1;0;1;2,58
27;PICTURE_27;preso;;1,73004084;58,33333333;96;5;0;4;2,64
28;PICTURE_28;microscopio;;0,144899618;97,93814433;97;2;3;0;3,17
29;PICTURE_29;vaquero;;0,750706531;84,53608247;97;3;2;1;3,05
30;PICTURE_30;granja;;0,391569417;93,81443299;97;3;0;3;3,56
31;PICTURE_31;minero;;0;100;94;1;2;4;3,32
32;PICTURE_32;corona;;0;100;100;1;0;0;3,04
33;PICTURE_33;marco;;1,082289632;74;100;3;0;0;2,11
34;PICTURE_34;pastel;;2,381040365;41;100;9;0;0;2,3
35;PICTURE_35;oreja;;0;100;99;1;0;1;2,070707071
36;PICTURE_36;cucaracha;;2,125053281;48,38709677;93;6;4;3;2,95
37;PICTURE_37;donuts;;0,46708144;92;100;3;0;0;2,07
38;PICTURE_38;araña;;0;100;98;1;0;2;2,21
39;PICTURE_39;bolsillo;;0;100;96;1;3;1;2,17
40;PICTURE_40;trébol;;0;100;99;1;0;1;1,79
41;PICTURE_41;mercado;;0,823313897;85,85858586;99;5;0;1;3,41
42;PICTURE_42;pera;;0;100;100;1;0;0;1,88
43;PICTURE_43;cepillo;;0,98752571;56,56565657;99;2;0;1;2,03
44;PICTURE_44;garra;;0,678057375;88,54166667;96;4;4;0;2,44
45;PICTURE_45;pandereta;;0,14372617;97,95918367;98;2;1;1;2,33
46;PICTURE_46;destornillador;;0;100;97;1;2;1;2,03
47;PICTURE_47;desierto;;0,246022578;95,91836735;98;2;0;2;3,12
48;PICTURE_48;bombero;;0;100;100;1;0;0;2,73
49;PICTURE_49;mansión;;1,971754796;51,04166667;96;7;0;4;3,11
50;PICTURE_50;calvo;;0,971192639;83,15789474;95;5;0;5;2,39
51;PICTURE_51;horca;;1,005691246;82,35294118;85;5;11;4;2,81
52;PICTURE_52;sierra;;0,536359651;87,75510204;98;2;0;2;1,72
53;PICTURE_53;bolsa;;0;100;100;1;0;0;1,63
54;PICTURE_54;collar;;0,43488962;93;100;3;0;0;1,77
55;PICTURE_55;sombra;;0;100;100;1;0;0;1,97
56;PICTURE_56;codo;;0;100;99;1;0;1;1,91
57;PICTURE_57;sello;;0,244141642;95,95959596;99;2;0;1;2,35
58;PICTURE_58;jardinero;;0,339855078;93,68421053;95;2;1;4;3,27
59;PICTURE_59;camisa;;1,004156022;71,57894737;95;3;1;4;2,3
60;PICTURE_60;leñador;;0,366637352;94,38202247;89;3;4;7;3,16
61;PICTURE_61;periódico;;0,500783126;91,20879121;91;3;4;5;2,5
62;PICTURE_62;avispa;;0,896755016;68,68686869;99;2;1;0;2,9
63;PICTURE_63;balcón;;0,40790598;91,83673469;98;2;0;2;2,58
64;PICTURE_64;botón;;0;100;98;1;1;1;1,6
65;PICTURE_65;culo;;0,709360865;88;100;4;0;0;1,52
66;PICTURE_66;tejado;;0;100;98;1;0;2;2,41
