image,correctAns,respModal,frameColor,trialsPractice_2.thisRepN,trialsPractice_2.thisTrialN,trialsPractice_2.thisN,trialsPractice_2.thisIndex,textboxInstrPractice_2.started,textboxInstrPractice_2_2.started,textboxInstrPractice_2_3.started,textboxInstrPractice_2_4.started,textboxInstrPractice_2_5.started,textboxInstrPractice_2_6.started,textboxInstrPractice_2_7.started,textboxInstrPractice_2_8.started,textboxInstrPractice_2_9.started,textboxInstrPractice_2_10.started,textboxInstrPractice_2_11.started,textboxInstrPractice_2_12.started,keyInstrPractice_2.started,keyInstrPractice_2.keys,keyInstrPractice_2.rt,fixationITI.started,fixationITI.stopped,polygonCol_2.started,polygonWh_2.started,imagePractice_2.started,polygonText_2.started,textPractice_2.started,keyPractice_2.started,micPractice2v1.started,keyPractice_2.keys,keyPractice_2.corr,subjResponse,micPractice2v1.clip,textBlankLoop.started,polygonCol_2.stopped,polygonWh_2.stopped,imagePractice_2.stopped,polygonText_2.stopped,textPractice_2.stopped,keyPractice_2.stopped,keyPractice_2.rt,textBlankLoop.stopped,textboxEndPractice_2.started,keyEndPractice_2.started,keyEndPractice_2.keys,keyEndPractice_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,9.209240199998021,space,7.5837868000380695,,,,,,,,,,,,,,,,,,,,,,,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
REPSWITCH1_Practice/PICTURE_12.png,sirena,SPEAK,gold,0,0,0,0,,,,,,,,,,,,,,,,16.820256000035442,17.966452699969523,17.966452699969523,17.966452699969523,17.966452699969523,17.966452699969523,17.966452699969523,17.966452699969523,17.966452699969523,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_Practice2_version1_2023-09-28_10h55.04.382_micPractice2v1_recorded\recording_micPractice2v1_2023-09-28_10h55.17.932.wav,20.987284300033934,,,,,,,,,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
REPSWITCH1_Practice/PICTURE_12.png,sirena,TYPE,darkblue,0,1,1,1,,,,,,,,,,,,,,,,21.48752309998963,22.633519100025296,22.633519100025296,22.633519100025296,22.633519100025296,22.633519100025296,22.633519100025296,22.633519100025296,22.633519100025296,"['s', 'i', 'r', 'e', 'n', 'a']",0,sirena,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_Practice2_version1_2023-09-28_10h55.04.382_micPractice2v1_recorded\recording_micPractice2v1_2023-09-28_10h55.22.609.wav,25.660291000036523,25.660291000036523,25.660291000036523,25.660291000036523,25.660291000036523,25.660291000036523,25.660291000036523,"[1.3119824000168592, 1.4560385999502614, 1.7437245999462903, 1.8556790000293404, 2.0636572999646887, 2.1434667999856174]",26.16095040005166,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
REPSWITCH1_Practice/PICTURE_599.png,nube,SPEAK,gold,0,2,2,2,,,,,,,,,,,,,,,,26.16095040005166,27.243964300025254,27.243964300025254,27.243964300025254,27.243964300025254,27.243964300025254,27.243964300025254,27.243964300025254,27.243964300025254,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_Practice2_version1_2023-09-28_10h55.04.382_micPractice2v1_recorded\recording_micPractice2v1_2023-09-28_10h55.27.218.wav,30.27347849996295,30.27347849996295,30.27347849996295,30.27347849996295,30.27347849996295,30.27347849996295,30.27347849996295,,,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
REPSWITCH1_Practice/PICTURE_733.png,gafas,TYPE,darkblue,0,3,3,3,,,,,,,,,,,,,,,,30.773456700029783,31.877753900014795,31.877753900014795,31.877753900014795,31.877753900014795,31.877753900014795,31.877753900014795,31.877753900014795,31.877753900014795,"['g', 'a', 'f', 'a', 's']",0,gafas,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_Practice2_version1_2023-09-28_10h55.04.382_micPractice2v1_recorded\recording_micPractice2v1_2023-09-28_10h55.31.843.wav,34.89881869999226,,,,,,,"[1.140027999994345, 1.2672947000246495, 1.5718486999394372, 1.7158368999371305, 1.9079028000123799]",,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
REPSWITCH1_Practice/PICTURE_614.png,reina,TYPE,darkblue,0,4,4,4,,,,,,,,,,,,,,,,35.39908030000515,36.54507550003473,36.54507550003473,36.54507550003473,36.54507550003473,36.54507550003473,36.54507550003473,36.54507550003473,36.54507550003473,"['r', 'e', 'i', 'n', 'a']",0,reina,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_Practice2_version1_2023-09-28_10h55.04.382_micPractice2v1_recorded\recording_micPractice2v1_2023-09-28_10h55.36.511.wav,39.56605589995161,,,,,,,"[0.9682384999468923, 1.1282348999520764, 1.272234599920921, 1.4802290999796242, 1.560233199968934]",,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
REPSWITCH1_Practice/PICTURE_612.png,rana,TYPE,darkblue,0,5,5,5,,,,,,,,,,,,,,,,40.066332799964584,41.21237409999594,41.21237409999594,41.21237409999594,41.21237409999594,41.21237409999594,41.21237409999594,41.21237409999594,41.21237409999594,"['r', 'a', 'n', 'a']",0,rana,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_Practice2_version1_2023-09-28_10h55.04.382_micPractice2v1_recorded\recording_micPractice2v1_2023-09-28_10h55.41.178.wav,44.23336710000876,,,,,,,"[1.1333753999788314, 1.245378699968569, 1.5012731000315398, 1.5982600999996066]",,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
REPSWITCH1_Practice/PICTURE_612.png,rana,SPEAK,gold,0,6,6,6,,,,,,,,,,,,,,,,44.73361350002233,45.82400450005662,45.82400450005662,45.82400450005662,45.82400450005662,45.82400450005662,45.82400450005662,45.82400450005662,45.82400450005662,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_Practice2_version1_2023-09-28_10h55.04.382_micPractice2v1_recorded\recording_micPractice2v1_2023-09-28_10h55.45.790.wav,48.8450769999763,,,,,,,,,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
REPSWITCH1_Practice/PICTURE_570.png,toro,TYPE,darkblue,0,7,7,7,,,,,,,,,,,,,,,,49.34544389997609,50.42181269999128,50.42181269999128,50.42181269999128,50.42181269999128,50.42181269999128,50.42181269999128,50.42181269999128,50.42181269999128,"['t', 'o', 'r', 'o']",0,toro,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_Practice2_version1_2023-09-28_10h55.04.382_micPractice2v1_recorded\recording_micPractice2v1_2023-09-28_10h55.50.397.wav,53.450716500054114,53.450716500054114,53.450716500054114,53.450716500054114,53.450716500054114,53.450716500054114,53.450716500054114,"[1.427757199970074, 1.53996179997921, 1.7797969999955967, 1.8917751000262797]",53.95009599998593,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
REPSWITCH1_Practice/PICTURE_110.png,mesa,SPEAK,gold,0,8,8,8,,,,,,,,,,,,,,,,53.95009599998593,55.040505500044674,55.040505500044674,55.040505500044674,55.040505500044674,55.040505500044674,55.040505500044674,55.040505500044674,55.040505500044674,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000101_REPSWITCH1_Practice2_version1_2023-09-28_10h55.04.382_micPractice2v1_recorded\recording_micPractice2v1_2023-09-28_10h55.55.016.wav,58.069193799979985,58.069193799979985,58.069193799979985,58.069193799979985,58.069193799979985,58.069193799979985,58.069193799979985,,58.568414799985476,,,,,000101,001,2023-09-28_10h55.04.382,REPSWITCH1_Practice2_version1,2022.2.4,144.038878975134,
