image,correctAns,respModal,frameColor,trialsPractice_2.thisRepN,trialsPractice_2.thisTrialN,trialsPractice_2.thisN,trialsPractice_2.thisIndex,textboxInstrPractice_2.started,textboxInstrPractice_2_2.started,textboxInstrPractice_2_3.started,textboxInstrPractice_2_4.started,textboxInstrPractice_2_5.started,textboxInstrPractice_2_6.started,textboxInstrPractice_2_7.started,textboxInstrPractice_2_8.started,textboxInstrPractice_2_9.started,textboxInstrPractice_2_10.started,textboxInstrPractice_2_11.started,textboxInstrPractice_2_12.started,keyInstrPractice_2.started,keyInstrPractice_2.keys,keyInstrPractice_2.rt,textBlank500.started,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonCol_2.started,polygonWh_2.started,imagePractice_2.started,polygonText_2.started,textPractice_2.started,keyPractice_2.started,micPractice2.started,keyPractice_2.keys,keyPractice_2.corr,subjResponse,micPractice2.clip,polygonCol_2.stopped,polygonWh_2.stopped,imagePractice_2.stopped,polygonText_2.stopped,textPractice_2.stopped,keyPractice_2.stopped,keyPractice_2.rt,textboxEndPractice_2.started,keyEndPractice_2.started,keyEndPractice_2.keys,keyEndPractice_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,8.461605499498546,space,14.956939299590886,,,,,,,,,,,,,,,,,,,,,,,,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
REPSWITCH1_Practice/PICTURE_12.png,sirena,SPEAK,gold,0,0,0,0,,,,,,,,,,,,,,,,28.13475599978119,23.932905599474907,23.932905599474907,25.114121199585497,25.114121199585497,25.114121199585497,25.114121199585497,25.114121199585497,25.114121199585497,25.114121199585497,0.007041200064122677,None,0,,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_2_v2022.2.4_2023-07-17_16h24.46.096_micPractice2_recorded\recording_micPractice2_2023-07-17_16h25.07.574.wav,,,,,,,,,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
REPSWITCH1_Practice/PICTURE_12.png,sirena,TYPE,darkblue,0,1,1,1,,,,,,,,,,,,,,,,32.73868709988892,33.23890809994191,28.634695899672806,29.711478799581528,29.711478799581528,29.711478799581528,29.711478799581528,29.711478799581528,29.711478799581528,29.711478799581528,0.001527399756014347,"['s', 'i', 'r', 'e', 'n', 'a']",0,sirena,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_2_v2022.2.4_2023-07-17_16h24.46.096_micPractice2_recorded\recording_micPractice2_2023-07-17_16h25.12.184.wav,32.73868709988892,32.73868709988892,32.73868709988892,32.73868709988892,32.73868709988892,32.73868709988892,"[1.1952251996845007, 1.3391237994655967, 1.4521523993462324, 1.6105602998286486, 1.6591759994626045, 1.8031749995425344]",,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
REPSWITCH1_Practice/PICTURE_599.png,nube,SPEAK,gold,0,2,2,2,,,,,,,,,,,,,,,,37.35804139915854,,33.23890809994191,34.33715589996427,34.33715589996427,34.33715589996427,34.33715589996427,34.33715589996427,34.33715589996427,34.33715589996427,0.0013253996148705482,None,0,,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_2_v2022.2.4_2023-07-17_16h24.46.096_micPractice2_recorded\recording_micPractice2_2023-07-17_16h25.16.800.wav,,,,,,,,,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
REPSWITCH1_Practice/PICTURE_733.png,gafas,TYPE,darkblue,0,3,3,3,,,,,,,,,,,,,,,,42.08088559936732,,37.85798199940473,39.05990499909967,39.05990499909967,39.05990499909967,39.05990499909967,39.05990499909967,39.05990499909967,39.05990499909967,0.0012419000267982483,"['g', 'a', 'f', 'a', 's']",0,gafas,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_2_v2022.2.4_2023-07-17_16h24.46.096_micPractice2_recorded\recording_micPractice2_2023-07-17_16h25.21.522.wav,,,,,,,"[1.2541367001831532, 1.510832599364221, 1.7502827001735568, 1.9422916993498802, 2.086279899813235]",,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
REPSWITCH1_Practice/PICTURE_614.png,reina,TYPE,darkblue,0,4,4,4,,,,,,,,,,,,,,,,46.69876159913838,47.198667999356985,42.58074219990522,43.671417399309576,43.671417399309576,43.671417399309576,43.671417399309576,43.671417399309576,43.671417399309576,43.671417399309576,0.0015242993831634521,"['r', 'e', 'i', 'n', 'a']",0,reina,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_2_v2022.2.4_2023-07-17_16h24.46.096_micPractice2_recorded\recording_micPractice2_2023-07-17_16h25.26.144.wav,46.69876159913838,46.69876159913838,46.69876159913838,46.69876159913838,46.69876159913838,46.69876159913838,"[1.379267399199307, 1.5391063001006842, 1.634752799756825, 1.7629264993593097, 1.9071607999503613]",,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
REPSWITCH1_Practice/PICTURE_612.png,rana,TYPE,darkblue,0,5,5,5,,,,,,,,,,,,,,,,51.303299999795854,51.80337099917233,47.198667999356985,48.27612429950386,48.27612429950386,48.27612429950386,48.27612429950386,48.27612429950386,48.27612429950386,48.27612429950386,0.001530500128865242,"['r', 'a', 'n', 'a']",0,rana,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_2_v2022.2.4_2023-07-17_16h24.46.096_micPractice2_recorded\recording_micPractice2_2023-07-17_16h25.30.749.wav,51.303299999795854,51.303299999795854,51.303299999795854,51.303299999795854,51.303299999795854,51.303299999795854,"[1.1101494999602437, 1.3020885000005364, 1.3836301993578672, 1.4781960994005203]",,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
REPSWITCH1_Practice/PICTURE_612.png,rana,SPEAK,gold,0,6,6,6,,,,,,,,,,,,,,,,55.99212719965726,,51.80337099917233,52.96311050001532,52.96311050001532,52.96311050001532,52.96311050001532,52.96311050001532,52.96311050001532,52.96311050001532,0.0015546996146440506,None,0,,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_2_v2022.2.4_2023-07-17_16h24.46.096_micPractice2_recorded\recording_micPractice2_2023-07-17_16h25.35.433.wav,55.99212719965726,55.99212719965726,55.99212719965726,55.99212719965726,55.99212719965726,55.99212719965726,,,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
REPSWITCH1_Practice/PICTURE_570.png,toro,TYPE,darkblue,0,7,7,7,,,,,,,,,,,,,,,,60.6106770997867,,56.49206239916384,57.58969119936228,57.58969119936228,57.58969119936228,57.58969119936228,57.58969119936228,57.58969119936228,57.58969119936228,0.001283399760723114,"['t', 'o', 'r', 'o']",0,toro,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_2_v2022.2.4_2023-07-17_16h24.46.096_micPractice2_recorded\recording_micPractice2_2023-07-17_16h25.40.052.wav,,,,,,,"[1.1563689997419715, 1.2363351006060839, 1.3489255998283625, 1.4448710000142455]",,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
REPSWITCH1_Practice/PICTURE_110.png,mesa,SPEAK,gold,0,8,8,8,,,,,,,,,,,,,,,,65.22930679935962,,61.11066529992968,62.20826599933207,62.20826599933207,62.20826599933207,62.20826599933207,62.20826599933207,62.20826599933207,62.20826599933207,0.0012749992311000824,None,0,,C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_2_v2022.2.4_2023-07-17_16h24.46.096_micPractice2_recorded\recording_micPractice2_2023-07-17_16h25.44.671.wav,,,,,,,,,,,,010100,001,2023-07-17_16h24.46.096,REPSWITCH1_Practice_2_v2022.2.4,2022.2.4,144.02435728968118,
