image;correctAns;respModal;frameColor;trialsPractice.thisRepN;trialsPractice.thisTrialN;trialsPractice.thisN;trialsPractice.thisIndex;textboxInstr1.started;textboxInstr1_2.started;textboxInstr1_3.started;textboxInstr1_4.started;textboxInstr1_5.started;textboxInstr1_6.started;textboxInstr1_7.started;textboxInstr1_8.started;textboxInstr1_9.started;textboxInstr1_10.started;keyInstr1.started;keyInstr1.keys;keyInstr1.rt;textboxInstr2.started;keyInstr2.started;keyInstr2.keys;keyInstr2.rt;textboxInstr3.started;keyInstr3.started;keyInstr3.keys;keyInstr3.rt;textboxInstrPractice.started;textboxInstrPractice_2.started;textboxInstrPractice_3.started;textboxInstrPractice_4.started;textboxInstrPractice_5.started;textboxInstrPractice_6.started;textboxInstrPractice_7.started;textboxInstrPractice_8.started;textboxInstrPractice_9.started;textboxInstrPractice_10.started;textboxInstrPractice_11.started;textboxInstrPractice_12.started;textboxInstrPractice_13.started;textboxInstrPractice_14.started;textboxInstrPractice_15.started;textboxInstrPractice_16.started;textboxInstrPractice_17.started;keyInstrPractice.started;keyInstrPractice.keys;keyInstrPractice.rt;textBlank500.started;textBlank500.stopped;fixationITI.started;fixationITI.stopped;polygonCol.started;polygonWh.started;textCue.started;imagePractice.started;polygonText.started;textPractice.started;keyPractice.started;micPractice.started;keyPractice.keys;keyPractice.corr;keyPractice.rt;subjResponse;micPractice.clip;polygonCol.stopped;polygonWh.stopped;textCue.stopped;imagePractice.stopped;polygonText.stopped;textPractice.stopped;keyPractice.stopped;textboxEndPracrice.started;keyEndPractice.started;keyEndPractice.keys;keyEndPractice.rt;participant;session;date;expName;psychopyVersion;frameRate;Column1
;;;;;;;;1.08098E+15;1.08098E+15;1.08098E+15;1.08098E+15;1.08098E+15;1.08098E+15;1.08098E+15;1.08098E+15;1.08098E+15;1.08098E+15;1.08098E+15;space;2.45381E+16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
;;;;;;;;;;;;;;;;;;;;;3.53707E+15;3.53707E+15;space;1.49045E+16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
;;;;;;;;;;;;;;;;;;;;;;;;;5.02821E+15;5.02821E+15;space;2.69728E+14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;5.30117E+15;space;1.06723E+15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
REPSWITCH1_Practice/PICTURE_612.png;rana;TECLEA;darkblue;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.82696E+15;6.87697E+15;6.42069E+15;6.52497E+15;6.52497E+15;6.52497E+15;6.52497E+15;6.52497E+15;6.52497E+15;6.52497E+15;6.52497E+15;6.7776E+15;['r', 'a', 'n', 'a'];0;[1.4254082003608346, 1.6973849004134536, 1.8415059000253677, 1.905943499878049];rana;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_v2022.2.4_2023-07-17_16h21.46.879_micPractice_recorded\recording_micPractice_2023-07-17_16h22.46.202.wav;;;;;;;;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
REPSWITCH1_Practice/PICTURE_599.png;nube;HABLA;gold;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.28612E+15;;6.87697E+15;6.98393E+15;6.98393E+15;6.98393E+15;6.98393E+15;6.98393E+15;6.98393E+15;6.98393E+15;6.98393E+15;1.3648E+16;None;0;;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_v2022.2.4_2023-07-17_16h21.46.879_micPractice_recorded\recording_micPractice_2023-07-17_16h22.50.792.wav;;;;;;;;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
REPSWITCH1_Practice/PICTURE_570.png;toro;TECLEA;darkblue;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.75553E+15;7.80555E+15;7.33611E+15;7.45279E+15;7.45279E+15;7.45279E+15;7.45279E+15;7.45279E+15;7.45279E+15;7.45279E+15;7.45279E+15;1.407E+16;['t', 'o', 'r', 'o'];0;[1.475309499539435, 1.571394699625671, 1.6832689996808767, 1.7632619990035892];toro;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_v2022.2.4_2023-07-17_16h21.46.879_micPractice_recorded\recording_micPractice_2023-07-17_16h22.55.488.wav;7.75553E+15;7.75553E+15;7.75553E+15;7.75553E+15;7.75553E+15;7.75553E+15;7.75553E+15;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
REPSWITCH1_Practice/PICTURE_570.png;toro;TECLEA;darkblue;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.21462E+15;8.26463E+14;7.80555E+15;7.91192E+15;7.91192E+15;7.91192E+15;7.91192E+15;7.91192E+15;7.91192E+15;7.91192E+15;7.91192E+15;1.3741E+16;['t', 'o', 'r', 'o'];0;[1.5559424003586173, 1.6843039998784661, 1.7807035995647311, 1.9566981997340918];toro;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_v2022.2.4_2023-07-17_16h21.46.879_micPractice_recorded\recording_micPractice_2023-07-17_16h23.00.079.wav;8.21462E+15;8.21462E+15;8.21462E+15;8.21462E+15;8.21462E+15;8.21462E+15;8.21462E+15;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
REPSWITCH1_Practice/PICTURE_733.png;gafas;HABLA;gold;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.68489E+15;8.73489E+15;8.26463E+14;8.3821E+15;8.3821E+15;8.3821E+15;8.3821E+15;8.3821E+15;8.3821E+15;8.3821E+15;8.3821E+15;1.312E+16;None;0;;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_v2022.2.4_2023-07-17_16h21.46.879_micPractice_recorded\recording_micPractice_2023-07-17_16h23.04.781.wav;8.68489E+15;8.68489E+15;8.68489E+15;8.68489E+15;8.68489E+15;8.68489E+15;8.68489E+15;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
REPSWITCH1_Practice/PICTURE_614.png;reina;TECLEA;darkblue;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.15016E+15;9.20015E+15;8.73489E+15;8.84743E+15;8.84743E+15;8.84743E+15;8.84743E+15;8.84743E+15;8.84743E+15;8.84743E+15;8.84743E+15;1.5031E+16;['r', 'e', 'i', 'n', 'a'];0;[1.161000399850309, 1.3369637997820973, 1.4489711998030543, 1.6087823994457722, 1.7053119000047445];reina;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_Practice_v2022.2.4_2023-07-17_16h21.46.879_micPractice_recorded\recording_micPractice_2023-07-17_16h23.09.435.wav;9.15016E+15;9.15016E+15;9.15016E+15;9.15016E+15;9.15016E+15;9.15016E+15;9.15016E+15;;;;;10100;1;2023-07-17_16h21.46.879;REPSWITCH1_Practice_v2022.2.4;202224;1.43138E+15;
