image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,polygonWhiteFam.stopped,imageFam.stopped,micFam.clip,textBlankLoop.started,textBlankLoop.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,13.974588299985044,15.971061799966265,15.971061799966265,space,26.48852169996826,,,,,,,,,,,,,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_338.png,regalo,0,0,0,17,,,,,,42.47454560000915,43.51635009999154,43.51635009999154,43.51635009999154,43.51635009999154,47.009929199994076,49.51019369997084,49.54489189997548,49.54489189997548,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h29.12.218.wav,49.54489189997548,50.044975199969485,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,1,1,11,,,,,,50.044975199969485,51.12844260002021,51.12844260002021,51.12844260002021,51.12844260002021,54.621941999997944,57.12235989997862,57.15705739997793,57.15705739997793,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h29.19.828.wav,57.15705739997793,57.65706280001905,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_610.png,miel,0,2,2,27,,,,,,57.65706280001905,58.92806990002282,58.92806990002282,58.92806990002282,58.92806990002282,62.4215948000201,64.92190020001726,64.95665190002182,64.95665190002182,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h29.27.628.wav,64.95665190002182,65.45670749997953,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_646.png,tronco,0,3,3,42,,,,,,65.45670749997953,66.59573850000743,66.59573850000743,66.59573850000743,66.59573850000743,70.08934170001885,72.58958839997649,72.62432020000415,72.62432020000415,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h29.35.296.wav,72.62432020000415,73.12438950000796,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_552.png,manzana,0,4,4,25,,,,,,73.12438950000796,74.20097830001032,74.20097830001032,74.20097830001032,74.20097830001032,77.69442750001326,80.19475660001626,80.22948909999104,80.22948909999104,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h29.42.901.wav,80.22948909999104,80.72954420000315,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_673.png,tenedor,0,5,5,44,,,,,,80.72954420000315,81.85469659999944,81.85469659999944,81.85469659999944,81.85469659999944,85.34820259996923,87.84851629997138,87.88333989999956,87.88333989999956,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h29.50.554.wav,87.88333989999956,88.38332099997206,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,6,6,16,,,,,,88.38332099997206,89.43206119997194,89.43206119997194,89.43206119997194,89.43206119997194,92.92557959997794,95.42588170000818,95.46062530000927,95.46062530000927,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h29.58.131.wav,95.46062530000927,95.96068519999972,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,7,7,14,,,,,,95.96068519999972,97.00259350001579,97.00259350001579,97.00259350001579,97.00259350001579,100.49600609997287,102.99642159999348,103.03107540000929,103.03107540000929,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h30.05.702.wav,103.03107540000929,103.53113489999669,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,8,8,8,,,,,,103.53113489999669,104.58681810001144,104.58681810001144,104.58681810001144,104.58681810001144,108.08034729998326,110.58065229997737,110.61540429998422,110.61540429998422,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h30.13.286.wav,110.61540429998422,111.11547720001545,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
