image,correctAns,respModal,frameColor,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textboxInstr1.started,textboxInstr1_2.started,textboxInstr1_3.started,textboxInstr1_4.started,textboxInstr1_5.started,textboxInstr1_6.started,textboxInstr1_7.started,textboxInstr1_8.started,textboxInstr1_9.started,textboxInstr1_10.started,keyInstr1.started,keyInstr1.keys,keyInstr1.rt,textboxInstr2.started,keyInstr2.started,keyInstr2.keys,keyInstr2.rt,textboxInstr3.started,keyInstr3.started,keyInstr3.keys,keyInstr3.rt,textboxInstrPractice.started,textboxInstrPractice_2.started,textboxInstrPractice_3.started,textboxInstrPractice_4.started,textboxInstrPractice_5.started,textboxInstrPractice_6.started,textboxInstrPractice_7.started,textboxInstrPractice_8.started,textboxInstrPractice_9.started,textboxInstrPractice_10.started,textboxInstrPractice_11.started,textboxInstrPractice_12.started,textboxInstrPractice_13.started,textboxInstrPractice_14.started,textboxInstrPractice_15.started,textboxInstrPractice_16.started,textboxInstrPractice_17.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,fixationITI.started,fixationITI.stopped,polygonCol.started,polygonWh.started,textCue.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,micPractice1v2.started,keyPractice.keys,keyPractice.corr,keyPractice.rt,subjResponse,micPractice1v2.clip,textBlankLoop.started,textBlankLoop.stopped,polygonCol.stopped,polygonWh.stopped,textCue.stopped,imagePractice.stopped,polygonText.stopped,textPractice.stopped,keyPractice.stopped,textboxEndPracrice.started,keyEndPractice.started,keyEndPractice.keys,keyEndPractice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.24083150003571,11.24083150003571,11.24083150003571,11.24083150003571,11.24083150003571,11.24083150003571,11.24083150003571,11.24083150003571,11.24083150003571,11.24083150003571,11.24083150003571,space,18.591416600043885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
,,,,,,,,,,,,,,,,,,,,,29.84584460000042,29.84584460000042,space,7.689099300012458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
,,,,,,,,,,,,,,,,,,,,,,,,,37.5482711000368,37.5482711000368,space,3.2772081999573857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,40.847309400036465,space,7.715847300016321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
REPSWITCH1_Practice/PICTURE_612.png,rana,TECLEA,gold,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.57748740003444,49.71656949998578,49.71656949998578,49.71656949998578,49.71656949998578,49.71656949998578,49.71656949998578,49.71656949998578,49.71656949998578,49.71656949998578,"['r', 'a', 'n', 'a']",0,"[1.5572849999880418, 1.8801234999555163, 2.394844499998726, 2.6299255999620073]",rana,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice1_version2_2023-11-10_15h37.08.812_micPractice1v2_recorded\recording_micPractice1v2_2023-11-10_15h37.52.084.wav,52.74472840002272,53.24475270003313,,,,,,,,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
REPSWITCH1_Practice/PICTURE_599.png,nube,HABLA,darkblue,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.24475270003313,54.40464030002477,54.40464030002477,54.40464030002477,54.40464030002477,54.40464030002477,54.40464030002477,54.40464030002477,54.40464030002477,54.40464030002477,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice1_version2_2023-11-10_15h37.08.812_micPractice1v2_recorded\recording_micPractice1v2_2023-11-10_15h37.56.773.wav,57.432794200023636,57.93285189999733,57.432794200023636,57.432794200023636,57.432794200023636,57.432794200023636,57.432794200023636,57.432794200023636,57.432794200023636,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
REPSWITCH1_Practice/PICTURE_570.png,toro,TECLEA,gold,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.93285189999733,59.03024410002399,59.03024410002399,59.03024410002399,59.03024410002399,59.03024410002399,59.03024410002399,59.03024410002399,59.03024410002399,59.03024410002399,"['t', 'o', 'r', 'o']",0,"[1.434405500011053, 1.625055100012105, 1.8412846000283025, 1.9858334000455216]",toro,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice1_version2_2023-11-10_15h37.08.812_micPractice1v2_recorded\recording_micPractice1v2_2023-11-10_15h38.01.397.wav,62.05842020001728,,62.05842020001728,62.05842020001728,62.05842020001728,62.05842020001728,62.05842020001728,62.05842020001728,62.05842020001728,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
REPSWITCH1_Practice/PICTURE_570.png,toro,TECLEA,gold,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.55856670002686,63.69756130001042,63.69756130001042,63.69756130001042,63.69756130001042,63.69756130001042,63.69756130001042,63.69756130001042,63.69756130001042,63.69756130001042,"['t', 'o', 'r', 'o']",0,"[1.2396252999897115, 1.429198500001803, 1.698337999987416, 1.9934509000158869]",toro,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice1_version2_2023-11-10_15h37.08.812_micPractice1v2_recorded\recording_micPractice1v2_2023-11-10_15h38.06.064.wav,66.71883940004045,67.21878930000821,66.71883940004045,66.71883940004045,66.71883940004045,66.71883940004045,66.71883940004045,66.71883940004045,66.71883940004045,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
REPSWITCH1_Practice/PICTURE_733.png,gafas,HABLA,darkblue,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.21878930000821,68.28147809999064,68.28147809999064,68.28147809999064,68.28147809999064,68.28147809999064,68.28147809999064,68.28147809999064,68.28147809999064,68.28147809999064,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice1_version2_2023-11-10_15h37.08.812_micPractice1v2_recorded\recording_micPractice1v2_2023-11-10_15h38.10.648.wav,71.3096354000154,,71.3096354000154,71.3096354000154,71.3096354000154,71.3096354000154,71.3096354000154,71.3096354000154,71.3096354000154,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
REPSWITCH1_Practice/PICTURE_614.png,reina,TECLEA,gold,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.80967950000195,72.91397019999567,72.91397019999567,72.91397019999567,72.91397019999567,72.91397019999567,72.91397019999567,72.91397019999567,72.91397019999567,72.91397019999567,"['r', 'e', 'i', 'n', 's']",0,"[1.1898474000045098, 1.32332480000332, 1.5578669999958947, 1.8920076999929734, 2.3047051999601535]",reins,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice1_version2_2023-11-10_15h37.08.812_micPractice1v2_recorded\recording_micPractice1v2_2023-11-10_15h38.15.281.wav,75.94222369999625,76.44227360002697,75.94222369999625,75.94222369999625,75.94222369999625,75.94222369999625,75.94222369999625,75.94222369999625,75.94222369999625,,,,,02.02.01,001,2023-11-10_15h37.08.812,REPSWITCH1_Practice1_version2,2022.2.4,143.992627588382,
