image,correctAns,respModal,frameColor,trialsPractice_2.thisRepN,trialsPractice_2.thisTrialN,trialsPractice_2.thisN,trialsPractice_2.thisIndex,textboxInstrPractice_2.started,textboxInstrPractice_2_2.started,textboxInstrPractice_2_3.started,textboxInstrPractice_2_4.started,textboxInstrPractice_2_5.started,textboxInstrPractice_2_6.started,textboxInstrPractice_2_7.started,textboxInstrPractice_2_8.started,textboxInstrPractice_2_9.started,textboxInstrPractice_2_10.started,textboxInstrPractice_2_11.started,textboxInstrPractice_2_12.started,keyInstrPractice_2.started,keyInstrPractice_2.keys,keyInstrPractice_2.rt,fixationITI.started,fixationITI.stopped,polygonCol_2.started,polygonWh_2.started,imagePractice_2.started,polygonText_2.started,textPractice_2.started,keyPractice_2.started,micPractice2v2.started,keyPractice_2.keys,keyPractice_2.corr,subjResponse,micPractice2v2.clip,textBlankLoop.started,textBlankLoop.stopped,polygonCol_2.stopped,polygonWh_2.stopped,imagePractice_2.stopped,polygonText_2.stopped,textPractice_2.stopped,keyPractice_2.stopped,keyPractice_2.rt,textboxEndPractice_2.started,keyEndPractice_2.started,keyEndPractice_2.keys,keyEndPractice_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,10.692866700002924,space,7.5390133000328206,,,,,,,,,,,,,,,,,,,,,,,,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
REPSWITCH1_Practice/PICTURE_12.png,sirena,SPEAK,darkblue,0,0,0,0,,,,,,,,,,,,,,,,18.244990600040182,19.293811800016556,19.293811800016556,19.293811800016556,19.293811800016556,19.293811800016556,19.293811800016556,19.293811800016556,19.293811800016556,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice2_version2_2023-11-10_15h39.26.508_micPractice2v2_recorded\recording_micPractice2v2_2023-11-10_15h39.39.843.wav,22.31500150001375,22.815043300040998,,,,,,,,,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
REPSWITCH1_Practice/PICTURE_12.png,sirena,TYPE,gold,0,1,1,1,,,,,,,,,,,,,,,,22.815043300040998,23.981907900015358,23.981907900015358,23.981907900015358,23.981907900015358,23.981907900015358,23.981907900015358,23.981907900015358,23.981907900015358,"['s', 'i', 'r', 'e', 'n', 'a']",0,sirena,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice2_version2_2023-11-10_15h39.26.508_micPractice2v2_recorded\recording_micPractice2v2_2023-11-10_15h39.44.536.wav,27.01003830000991,,27.01003830000991,27.01003830000991,27.01003830000991,27.01003830000991,27.01003830000991,27.01003830000991,"[1.194111899996642, 1.371849299990572, 1.5865205999580212, 1.6971048999694176, 1.9534243999514729, 2.1059319999767467]",,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
REPSWITCH1_Practice/PICTURE_599.png,nube,SPEAK,darkblue,0,2,2,2,,,,,,,,,,,,,,,,27.510104999993928,28.5172123000375,28.5172123000375,28.5172123000375,28.5172123000375,28.5172123000375,28.5172123000375,28.5172123000375,28.5172123000375,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice2_version2_2023-11-10_15h39.26.508_micPractice2v2_recorded\recording_micPractice2v2_2023-11-10_15h39.49.070.wav,31.545457200030796,,31.545457200030796,31.545457200030796,31.545457200030796,31.545457200030796,31.545457200030796,31.545457200030796,,,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
REPSWITCH1_Practice/PICTURE_733.png,gafas,TYPE,gold,0,3,3,3,,,,,,,,,,,,,,,,32.0454471000121,33.14282660000026,33.14282660000026,33.14282660000026,33.14282660000026,33.14282660000026,33.14282660000026,33.14282660000026,33.14282660000026,"['g', 'a', 'f', 'a', 's']",0,gafas,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice2_version2_2023-11-10_15h39.26.508_micPractice2v2_recorded\recording_micPractice2v2_2023-11-10_15h39.53.696.wav,36.16400630003773,36.66407820000313,36.16400630003773,36.16400630003773,36.16400630003773,36.16400630003773,36.16400630003773,36.16400630003773,"[1.382456099963747, 1.5006002999725752, 1.7684502999763936, 1.8860085000051185, 2.111493700009305]",,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
REPSWITCH1_Practice/PICTURE_614.png,reina,TYPE,gold,0,4,4,4,,,,,,,,,,,,,,,,36.66407820000313,37.685065800033044,37.685065800033044,37.685065800033044,37.685065800033044,37.685065800033044,37.685065800033044,37.685065800033044,37.685065800033044,"['r', 'e', 'i', 'n', 'a']",0,reina,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice2_version2_2023-11-10_15h39.26.508_micPractice2v2_recorded\recording_micPractice2v2_2023-11-10_15h39.58.238.wav,40.71330410003429,,40.71330410003429,40.71330410003429,40.71330410003429,40.71330410003429,40.71330410003429,40.71330410003429,"[1.2153672000276856, 1.35818099998869, 1.845970300026238, 2.1539466999820434, 2.294464499980677]",,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
REPSWITCH1_Practice/PICTURE_612.png,rana,TYPE,gold,0,5,5,5,,,,,,,,,,,,,,,,41.213307600002736,42.29684389999602,42.29684389999602,42.29684389999602,42.29684389999602,42.29684389999602,42.29684389999602,42.29684389999602,42.29684389999602,"['r', 'a', 'n', 'a']",0,rana,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice2_version2_2023-11-10_15h39.26.508_micPractice2v2_recorded\recording_micPractice2v2_2023-11-10_15h40.02.850.wav,45.31806410005083,45.81805840000743,45.31806410005083,45.31806410005083,45.31806410005083,45.31806410005083,45.31806410005083,45.31806410005083,"[1.053133599983994, 1.3505142999929376, 1.642863099987153, 1.8172363999765366]",,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
REPSWITCH1_Practice/PICTURE_612.png,rana,SPEAK,darkblue,0,6,6,6,,,,,,,,,,,,,,,,45.81805840000743,46.922368600033224,46.922368600033224,46.922368600033224,46.922368600033224,46.922368600033224,46.922368600033224,46.922368600033224,46.922368600033224,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice2_version2_2023-11-10_15h39.26.508_micPractice2v2_recorded\recording_micPractice2v2_2023-11-10_15h40.07.476.wav,49.94363120000344,50.44368490000488,49.94363120000344,49.94363120000344,49.94363120000344,49.94363120000344,49.94363120000344,49.94363120000344,,,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
REPSWITCH1_Practice/PICTURE_570.png,toro,TYPE,gold,0,7,7,7,,,,,,,,,,,,,,,,50.44368490000488,51.46463350002887,51.46463350002887,51.46463350002887,51.46463350002887,51.46463350002887,51.46463350002887,51.46463350002887,51.46463350002887,"['t', 'o', 'r', 'o']",0,toro,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice2_version2_2023-11-10_15h39.26.508_micPractice2v2_recorded\recording_micPractice2v2_2023-11-10_15h40.12.018.wav,54.49282870005118,,54.49282870005118,54.49282870005118,54.49282870005118,54.49282870005118,54.49282870005118,54.49282870005118,"[1.3084880000096746, 1.5157464999938384, 1.7303300999919884, 1.9372597000328824]",,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
REPSWITCH1_Practice/PICTURE_110.png,mesa,SPEAK,darkblue,0,8,8,8,,,,,,,,,,,,,,,,54.99287120002555,56.034730400017,56.034730400017,56.034730400017,56.034730400017,56.034730400017,56.034730400017,56.034730400017,56.034730400017,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Practice2_version2_2023-11-10_15h39.26.508_micPractice2v2_recorded\recording_micPractice2v2_2023-11-10_15h40.16.588.wav,59.05589960003272,59.55596110003535,59.05589960003272,59.05589960003272,59.05589960003272,59.05589960003272,59.05589960003272,59.05589960003272,,,,,,02.02.01,001,2023-11-10_15h39.26.508,REPSWITCH1_Practice2_version2,2022.2.4,143.92320254390873,
