image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l1.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv2l1.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,10.337624300038442,12.836262700031511,12.836262700031511,12.836262700031511,12.836262700031511,space,12.80863419995876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,25.6643308000057,space,0.01536580000538379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
REPSWITCH1/PICTURE_340.png,espejo,type,gold,filler,1,F,1,1,1,2,Extra1,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,25.775418900011573,26.845076000026893,26.845076000026893,26.845076000026893,26.845076000026893,26.845076000026893,26.845076000026893,26.845076000026893,26.845076000026893,"['e', 's', 'p', 'e', 'j', 'o']",0,"[1.175958499952685, 1.4175215999712236, 1.658853699977044, 1.787695899954997, 2.0969793999684043, 2.326984099985566]",espejo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.16.712.wav,29.866283000039402,30.366402000014205,None,,,,,,,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
REPSWITCH1/PICTURE_391.png,cadena,speak,darkblue,filler,2,F,1,1,1,2,Extra2,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,30.366402000014205,31.428954800008796,31.428954800008796,31.428954800008796,31.428954800008796,31.428954800008796,31.428954800008796,31.428954800008796,31.428954800008796,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.21.300.wav,34.457155200012494,34.95728150004288,None,34.457155200012494,34.457155200012494,34.457155200012494,34.457155200012494,34.457155200012494,34.457155200012494,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
REPSWITCH1/PICTURE_178.png,puente,speak,darkblue,nontarget,2,NT,1,1,1,2,Stim1_Set1,1,repeat,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,34.95728150004288,35.99904200003948,35.99904200003948,35.99904200003948,35.99904200003948,35.99904200003948,35.99904200003948,35.99904200003948,35.99904200003948,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.25.868.wav,39.027243500051554,,None,39.027243500051554,39.027243500051554,39.027243500051554,39.027243500051554,39.027243500051554,39.027243500051554,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
REPSWITCH1/PICTURE_178.png,puente,speak,darkblue,repeat,2,T,1,1,1,2,Stim1_Set1,0,None,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,39.5272576000425,40.65241989999777,40.65241989999777,40.65241989999777,40.65241989999777,40.65241989999777,40.65241989999777,40.65241989999777,40.65241989999777,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.30.522.wav,43.68055570003344,44.180644000007305,None,43.68055570003344,43.68055570003344,43.68055570003344,43.68055570003344,43.68055570003344,43.68055570003344,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
REPSWITCH1/PICTURE_319.png,vaca,type,gold,filler,1,F,1,1,1,2,Stim1_Set4,0,None,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,44.180644000007305,45.23631950002164,45.23631950002164,45.23631950002164,45.23631950002164,45.23631950002164,45.23631950002164,45.23631950002164,45.23631950002164,"['v', 'a', 'c', 'a']",0,"[1.1340914000174962, 1.3473652999964543, 1.578925000037998, 1.7449228000477888]",vaca,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.35.106.wav,48.257530500006396,48.7576120000449,None,48.257530500006396,48.257530500006396,48.257530500006396,48.257530500006396,48.257530500006396,48.257530500006396,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
REPSWITCH1/PICTURE_381.png,fresa,speak,darkblue,nontarget,2,NT,1,1,1,2,Stim2_Set1,1,switch,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,48.7576120000449,49.83420760004083,49.83420760004083,49.83420760004083,49.83420760004083,49.83420760004083,49.83420760004083,49.83420760004083,49.83420760004083,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.39.704.wav,52.85536139999749,53.35542680002982,None,52.85536139999749,52.85536139999749,52.85536139999749,52.85536139999749,52.85536139999749,52.85536139999749,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
REPSWITCH1/PICTURE_381.png,fresa,speak,darkblue,repeat,2,T,1,1,1,2,Stim2_Set1,0,None,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,53.35542680002982,54.58484580001095,54.58484580001095,54.58484580001095,54.58484580001095,54.58484580001095,54.58484580001095,54.58484580001095,54.58484580001095,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.44.454.wav,57.606073800008744,58.106072499998845,None,57.606073800008744,57.606073800008744,57.606073800008744,57.606073800008744,57.606073800008744,57.606073800008744,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
REPSWITCH1/PICTURE_719.png,baño,type,gold,filler,1,F,1,1,1,2,Stim2_Set4,1,switch,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,58.106072499998845,59.19650950003415,59.19650950003415,59.19650950003415,59.19650950003415,59.19650950003415,59.19650950003415,59.19650950003415,59.19650950003415,"['b', 'a', 'ñ', 'o']",0,"[1.0924952999921516, 1.278869499976281, 1.6865098000271246, 1.9094106000266038]",baño,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_version2_list1_2023-11-10_15h41.55.444_micRespv2l1_recorded\recording_micRespv2l1_2023-11-10_15h42.49.066.wav,62.21779820002848,62.717772000003606,None,62.21779820002848,62.21779820002848,62.21779820002848,62.21779820002848,62.21779820002848,62.21779820002848,,,,,,02.02.01,001,2023-11-10_15h41.55.444,REPSWITCH1_version2_list1,2022.2.4,144.00258061295042,
