image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l2.started;keyResp.keys;keyResp.corr;subjResponse;micRespv1l2.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.rt;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;31.6277446;34.1225702;34.1225702;34.1225702;34.1225702;space;9.7120106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.853008;43.853008;43.853008;43.853008;43.853008;43.853008;43.853008;43.853008;43.853008;43.853008;43.853008;43.853008;43.853008;space;4.492527;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
REPSWITCH1/PICTURE_646.png;tronco;speak;gold;filler;2;F;1;3;2;1;Extra4;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;48.4369458;49.4648793;49.4648793;49.4648793;49.4648793;49.4648793;49.4648793;49.4648793;49.4648793;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/03.01.02_REPSWITCH1_version1_list2_2023-11-10_16h53.17.642_micRespv1l2_recorded\recording_micRespv1l2_2023-11-10_16h53.40.355.wav;52.486079;52.9861577;None;;;;;;;;;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
REPSWITCH1/PICTURE_340.png;espejo;type;darkblue;filler;1;F;1;3;2;1;Extra1;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;52.9861577;54.1390692;54.1390692;54.1390692;54.1390692;54.1390692;54.1390692;54.1390692;54.1390692;['e', 's', 'p', 'e', 'j', 'o'];0;espejo;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/03.01.02_REPSWITCH1_version1_list2_2023-11-10_16h53.17.642_micRespv1l2_recorded\recording_micRespv1l2_2023-11-10_16h53.45.033.wav;57.1602894;57.6603379;None;57.1602894;57.1602894;57.1602894;57.1602894;57.1602894;57.1602894;[1.0623733999673277, 1.2927148999879137, 1.4986919999937527, 1.661145200021565, 2.0602268999791704, 2.1259731000172906];;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
REPSWITCH1/PICTURE_338.png;regalo;speak;gold;filler;2;F;1;3;2;1;Stim6_Set4;0;None;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;57.6603379;58.7577643;58.7577643;58.7577643;58.7577643;58.7577643;58.7577643;58.7577643;58.7577643;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/03.01.02_REPSWITCH1_version1_list2_2023-11-10_16h53.17.642_micRespv1l2_recorded\recording_micRespv1l2_2023-11-10_16h53.49.652.wav;61.7789333;62.2790358;None;61.7789333;61.7789333;61.7789333;61.7789333;61.7789333;61.7789333;;;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
REPSWITCH1/PICTURE_142.png;vaso;speak;gold;nontarget;2;NT;1;3;2;1;Stim7_Set1;1;repeat;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;62.2790358;63.459758;63.459758;63.459758;63.459758;63.459758;63.459758;63.459758;63.459758;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/03.01.02_REPSWITCH1_version1_list2_2023-11-10_16h53.17.642_micRespv1l2_recorded\recording_micRespv1l2_2023-11-10_16h53.54.354.wav;66.4879806;;None;66.4879806;66.4879806;66.4879806;66.4879806;66.4879806;66.4879806;;;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
REPSWITCH1/PICTURE_142.png;vaso;speak;gold;repeat;2;T;1;3;2;1;Stim7_Set1;0;None;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;66.988061;68.0228466;68.0228466;68.0228466;68.0228466;68.0228466;68.0228466;68.0228466;68.0228466;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/03.01.02_REPSWITCH1_version1_list2_2023-11-10_16h53.17.642_micRespv1l2_recorded\recording_micRespv1l2_2023-11-10_16h53.58.917.wav;71.0440776;71.5441205;None;71.0440776;71.0440776;71.0440776;71.0440776;71.0440776;71.0440776;;;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
REPSWITCH1/PICTURE_498.png;taza;type;darkblue;filler;1;F;1;3;2;1;Stim4_Set4;0;None;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;71.5441205;72.6206546;72.6206546;72.6206546;72.6206546;72.6206546;72.6206546;72.6206546;72.6206546;['t', 'a', 'z', 'a'];0;taza;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/03.01.02_REPSWITCH1_version1_list2_2023-11-10_16h53.17.642_micRespv1l2_recorded\recording_micRespv1l2_2023-11-10_16h54.03.515.wav;75.6419682;76.1419696;None;75.6419682;75.6419682;75.6419682;75.6419682;75.6419682;75.6419682;[1.4252105000196025, 1.5189297000179067, 1.8638867000117898, 2.0111533000017516];;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
REPSWITCH1/PICTURE_16.png;cazador;speak;gold;nontarget;2;NT;1;3;2;1;Stim6_Set1;1;switch;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;76.1419696;77.1768373;77.1768373;77.1768373;77.1768373;77.1768373;77.1768373;77.1768373;77.1768373;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/03.01.02_REPSWITCH1_version1_list2_2023-11-10_16h53.17.642_micRespv1l2_recorded\recording_micRespv1l2_2023-11-10_16h54.08.071.wav;80.2050458;;None;80.2050458;80.2050458;80.2050458;80.2050458;80.2050458;80.2050458;;;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
REPSWITCH1/PICTURE_16.png;cazador;speak;gold;repeat;2;T;1;3;2;1;Stim6_Set1;0;None;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;80.7050517;81.7747041;81.7747041;81.7747041;81.7747041;81.7747041;81.7747041;81.7747041;81.7747041;None;0;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/03.01.02_REPSWITCH1_version1_list2_2023-11-10_16h53.17.642_micRespv1l2_recorded\recording_micRespv1l2_2023-11-10_16h54.12.668.wav;84.7958548;85.2960096;None;84.7958548;84.7958548;84.7958548;84.7958548;84.7958548;84.7958548;;;;;;;03.01.02;1;2023-11-10_16h53.17.642;REPSWITCH1_version1_list2;2022.2.4;143.9113966;
