image,correctAns,respModal,frameColor,trialsPractice_2.thisRepN,trialsPractice_2.thisTrialN,trialsPractice_2.thisN,trialsPractice_2.thisIndex,textboxInstrPractice_2.started,textboxInstrPractice_2_2.started,textboxInstrPractice_2_3.started,textboxInstrPractice_2_4.started,textboxInstrPractice_2_5.started,textboxInstrPractice_2_6.started,textboxInstrPractice_2_7.started,textboxInstrPractice_2_8.started,textboxInstrPractice_2_9.started,textboxInstrPractice_2_10.started,textboxInstrPractice_2_11.started,textboxInstrPractice_2_12.started,keyInstrPractice_2.started,keyInstrPractice_2.keys,keyInstrPractice_2.rt,textBlank500.started,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonCol_2.started,polygonWh_2.started,imagePractice_2.started,polygonText_2.started,textPractice_2.started,keyPractice_2.started,micPractice2.started,keyPractice_2.keys,keyPractice_2.corr,subjResponse,micPractice2.clip,polygonCol_2.stopped,polygonWh_2.stopped,imagePractice_2.stopped,polygonText_2.stopped,textPractice_2.stopped,keyPractice_2.stopped,keyPractice_2.rt,textboxEndPractice_2.started,keyEndPractice_2.started,keyEndPractice_2.keys,keyEndPractice_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,14.058008399966639,space,3.683259699959308,,,,,,,,,,,,,,,,,,,,,,,,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_12.png,sirena,SPEAK,gold,0,0,0,0,,,,,,,,,,,,,,,,22.611757899983786,18.26405659999,18.26405659999,19.480257999966852,19.480257999966852,19.480257999966852,19.480257999966852,19.480257999966852,19.480257999966852,19.480257999966852,0.004032200027722865,None,0,,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h16.26.573.wav,,,,,,,,,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_12.png,sirena,TYPE,darkblue,0,1,1,1,,,,,,,,,,,,,,,,27.360590099997353,27.86144929996226,23.112755200010724,24.21378409996396,24.21378409996396,24.21378409996396,24.21378409996396,24.21378409996396,24.21378409996396,24.21378409996396,0.0026948999729938805,"['s', 'i', 'r', 'e', 'n', 'a']",0,sirena,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h16.31.315.wav,27.360590099997353,27.360590099997353,27.360590099997353,27.360590099997353,27.360590099997353,27.360590099997353,"[0.7177468999871053, 0.8356978000374511, 1.0006923000328243, 1.0960596000077203, 1.1479490000056103, 1.286610200011637]",,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_599.png,nube,SPEAK,gold,0,2,2,2,,,,,,,,,,,,,,,,32.1590920999879,,27.86144929996226,28.996643299993593,28.996643299993593,28.996643299993593,28.996643299993593,28.996643299993593,28.996643299993593,28.996643299993593,0.00255279999691993,None,0,,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h16.36.118.wav,32.1590920999879,32.1590920999879,32.1590920999879,32.1590920999879,32.1590920999879,32.1590920999879,,,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_733.png,gafas,TYPE,darkblue,0,3,3,3,,,,,,,,,,,,,,,,37.02489309996599,37.52625230001286,32.660519999975804,33.86129550001351,33.86129550001351,33.86129550001351,33.86129550001351,33.86129550001351,33.86129550001351,33.86129550001351,0.0024494000244885683,"['g', 'a', 'f', 'a', 's']",0,gafas,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h16.40.983.wav,36.859343599993736,36.859343599993736,36.859343599993736,36.859343599993736,36.859343599993736,36.859343599993736,"[1.1036498000030406, 1.2625574999838136, 1.398897900013253, 1.5149233000120148, 1.6470191999687813]",,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_614.png,reina,TYPE,darkblue,0,4,4,4,,,,,,,,,,,,,,,,41.840706199989654,,37.52625230001286,38.66046789998654,38.66046789998654,38.66046789998654,38.66046789998654,38.66046789998654,38.66046789998654,38.66046789998654,0.0037948000244796276,"['r', 'e', 'i', 'n', 'a']",0,reina,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h16.45.785.wav,41.840706199989654,41.840706199989654,41.840706199989654,41.840706199989654,41.840706199989654,41.840706199989654,"[0.8676944999606349, 0.9507872000103816, 1.065271599974949, 1.1528699999907985, 1.2526007000124082]",,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_612.png,rana,TYPE,darkblue,0,5,5,5,,,,,,,,,,,,,,,,46.606191299972124,47.10723640001379,42.3416511999676,43.425822799967136,43.425822799967136,43.425822799967136,43.425822799967136,43.425822799967136,43.425822799967136,43.425822799967136,0.0027442999999038875,"['a', 'n', 'backspace', 'backspace', 'r', 'a', 'n', 'a']",0,rana,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h16.50.548.wav,46.424007900001016,46.424007900001016,46.424007900001016,46.424007900001016,46.424007900001016,46.424007900001016,"[0.8712996999965981, 0.9936997999902815, 1.4073912000167184, 1.5569433000055142, 1.6820240000379272, 1.7645535999909043, 1.8673364000278525, 1.9768004000070505]",,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_612.png,rana,SPEAK,gold,0,6,6,6,,,,,,,,,,,,,,,,51.5214928999776,52.0226783999824,47.10723640001379,48.341191999963485,48.341191999963485,48.341191999963485,48.341191999963485,48.341191999963485,48.341191999963485,48.341191999963485,0.0030054000089876354,None,0,,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h16.55.464.wav,51.33921189996181,51.33921189996181,51.33921189996181,51.33921189996181,51.33921189996181,51.33921189996181,,,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_570.png,toro,TYPE,darkblue,0,7,7,7,,,,,,,,,,,,,,,,56.28689290001057,,52.0226783999824,53.106711699976586,53.106711699976586,53.106711699976586,53.106711699976586,53.106711699976586,53.106711699976586,53.106711699976586,0.004154900030698627,"['t', 'o', 'r', 'o']",0,toro,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h17.00.230.wav,56.104775699961465,56.104775699961465,56.104775699961465,56.104775699961465,56.104775699961465,56.104775699961465,"[0.8577232999959961, 0.9316863999702036, 1.0714489999809302, 1.1315783999743871]",,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_110.png,mesa,SPEAK,gold,0,8,8,8,,,,,,,,,,,,,,,,61.10240390000399,61.60377079999307,56.788064699969254,58.005268100008834,58.005268100008834,58.005268100008834,58.005268100008834,58.005268100008834,58.005268100008834,58.005268100008834,0.0024574000271968544,None,0,,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h17.05.128.wav,61.00368099997286,61.00368099997286,61.00368099997286,61.00368099997286,61.00368099997286,61.00368099997286,,,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_733.png,gafas,SPEAK,gold,0,9,9,9,,,,,,,,,,,,,,,,65.86801079998259,66.36909579997882,61.60377079999307,62.77126720000524,62.77126720000524,62.77126720000524,62.77126720000524,62.77126720000524,62.77126720000524,62.77126720000524,0.002822200010996312,None,0,,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h17.09.894.wav,65.76955309999175,65.76955309999175,65.76955309999175,65.76955309999175,65.76955309999175,65.76955309999175,,,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_733.png,gafas,TYPE,darkblue,0,10,10,10,,,,,,,,,,,,,,,,70.7833655999857,,66.36909579997882,67.62047359999269,67.62047359999269,67.62047359999269,67.62047359999269,67.62047359999269,67.62047359999269,67.62047359999269,0.002386300009675324,"['g', 'a', 'f', 'a', 's']",0,gafas,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h17.14.742.wav,70.7833655999857,70.7833655999857,70.7833655999857,70.7833655999857,70.7833655999857,70.7833655999857,"[0.9380015000351705, 1.076522700022906, 1.2449768999940716, 1.3501121000153944, 1.482508199987933]",,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
REPSWITCH1_Practice/PICTURE_614.png,reina,SPEAK,gold,0,11,11,11,,,,,,,,,,,,,,,,75.38230110000586,75.88384669995867,71.28483600000618,72.30225579999387,72.30225579999387,72.30225579999387,72.30225579999387,72.30225579999387,72.30225579999387,72.30225579999387,0.002630000002682209,None,0,,D:\GitHub\experiment1\data/100_REPSWITCH1_Practice_2_version1_2023-07-21_10h16.12.382_micPractice2_recorded\recording_micPractice2_2023-07-21_10h17.19.426.wav,75.38230110000586,75.38230110000586,75.38230110000586,75.38230110000586,75.38230110000586,75.38230110000586,,,,,,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
,,,,,,,,,,,,,,,,,,,,,,,75.88384669995867,76.38398439995944,,,,,,,,,,,,,,,,,,,,,76.38398439995944,76.38398439995944,space,0.37422050000168383,100,001,2023-07-21_10h16.12.382,REPSWITCH1_Practice_2_version1,2022.2.4,60.004992418456425,
