image,correctAns,respModal,frameColor,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textboxInstr1.started,textboxInstr1_2.started,textboxInstr1_3.started,textboxInstr1_4.started,textboxInstr1_5.started,textboxInstr1_6.started,textboxInstr1_7.started,textboxInstr1_8.started,textboxInstr1_9.started,textboxInstr1_10.started,keyInstr1.started,keyInstr1.keys,keyInstr1.rt,textboxInstr2.started,keyInstr2.started,keyInstr2.keys,keyInstr2.rt,textboxInstr3.started,keyInstr3.started,keyInstr3.keys,keyInstr3.rt,textboxInstrPractice.started,textboxInstrPractice_2.started,textboxInstrPractice_3.started,textboxInstrPractice_4.started,textboxInstrPractice_5.started,textboxInstrPractice_6.started,textboxInstrPractice_7.started,textboxInstrPractice_8.started,textboxInstrPractice_9.started,textboxInstrPractice_10.started,textboxInstrPractice_11.started,textboxInstrPractice_12.started,textboxInstrPractice_13.started,textboxInstrPractice_14.started,textboxInstrPractice_15.started,textboxInstrPractice_16.started,textboxInstrPractice_17.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,textBlank500.started,fixationITI.started,fixationITI.stopped,polygonCol.started,polygonWh.started,textCue.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,micPractice.started,keyPractice.keys,keyPractice.corr,subjResponse,micPractice.clip,polygonCol.stopped,polygonWh.stopped,textCue.stopped,imagePractice.stopped,polygonText.stopped,textPractice.stopped,keyPractice.stopped,textBlank500.stopped,keyPractice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.665213800035417,20.665213800035417,20.665213800035417,20.665213800035417,20.665213800035417,20.665213800035417,20.665213800035417,20.665213800035417,20.665213800035417,20.665213800035417,20.665213800035417,space,7.936012899968773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
,,,,,,,,,,,,,,,,,,,,,28.629798500041943,28.629798500041943,space,2.099943599954713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
,,,,,,,,,,,,,,,,,,,,,,,,,30.763177900051232,30.763177900051232,space,0.7681758999824524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,31.624593100044876,space,1.4750886000110768,,,,,,,,,,,,,,,,,,,,,,,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
REPSWITCH1_Practice/PICTURE_612.png,rana,TECLEA,darkblue,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8065242000157,33.65756350004813,34.90793120005401,34.90793120005401,34.90793120005401,34.90793120005401,34.90793120005401,34.90793120005401,34.90793120005401,34.90793120005401,0.11401359998853877,None,0,,D:\GitHub\experiment1\data/1307_REPSWITCH1_Practice_v2022.2.4_2023-07-13_12h07.38.498_micPractice_recorded\recording_micPractice_2023-07-13_12h08.01.703.wav,,,,,,,,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
REPSWITCH1_Practice/PICTURE_599.png,nube,HABLA,gold,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.55773380002938,38.314495800004806,39.44311920000473,39.44311920000473,39.44311920000473,39.44311920000473,39.44311920000473,39.44311920000473,39.44311920000473,39.44311920000473,0.027780499949585646,None,0,,D:\GitHub\experiment1\data/1307_REPSWITCH1_Practice_v2022.2.4_2023-07-13_12h07.38.498_micPractice_recorded\recording_micPractice_2023-07-13_12h08.06.369.wav,,,,,,,,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
REPSWITCH1_Practice/PICTURE_570.png,toro,TECLEA,darkblue,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.24046680005267,43.06174450000981,44.20907880004961,44.20907880004961,44.20907880004961,44.20907880004961,44.20907880004961,44.20907880004961,44.20907880004961,44.20907880004961,0.10217420000117272,None,0,,D:\GitHub\experiment1\data/1307_REPSWITCH1_Practice_v2022.2.4_2023-07-13_12h07.38.498_micPractice_recorded\recording_micPractice_2023-07-13_12h08.11.066.wav,,,,,,,,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
REPSWITCH1_Practice/PICTURE_570.png,toro,TECLEA,darkblue,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.15378110000165,47.74467010004446,48.99080690002302,48.99080690002302,48.99080690002302,48.99080690002302,48.99080690002302,48.99080690002302,48.99080690002302,48.99080690002302,0.0024902000441215932,None,0,,D:\GitHub\experiment1\data/1307_REPSWITCH1_Practice_v2022.2.4_2023-07-13_12h07.38.498_micPractice_recorded\recording_micPractice_2023-07-13_12h08.15.954.wav,52.15378110000165,52.15378110000165,52.15378110000165,52.15378110000165,52.15378110000165,52.15378110000165,52.15378110000165,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
REPSWITCH1_Practice/PICTURE_733.png,gafas,HABLA,gold,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.02222120005172,52.6568456000532,53.90384720003931,53.90384720003931,53.90384720003931,53.90384720003931,53.90384720003931,53.90384720003931,53.90384720003931,53.90384720003931,0.0217366999713704,None,0,,D:\GitHub\experiment1\data/1307_REPSWITCH1_Practice_v2022.2.4_2023-07-13_12h07.38.498_micPractice_recorded\recording_micPractice_2023-07-13_12h08.20.830.wav,,,,,,,,57.52512020000722,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
REPSWITCH1_Practice/PICTURE_614.png,reina,TECLEA,darkblue,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.86907290003728,57.52512020000722,58.73542420001468,58.73542420001468,58.73542420001468,58.73542420001468,58.73542420001468,58.73542420001468,58.73542420001468,58.73542420001468,0.03393209999194369,None,0,,D:\GitHub\experiment1\data/1307_REPSWITCH1_Practice_v2022.2.4_2023-07-13_12h07.38.498_micPractice_recorded\recording_micPractice_2023-07-13_12h08.25.673.wav,,,,,,,,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
REPSWITCH1_Practice/PICTURE_110.png,mesa,HABLA,gold,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.65019750001375,62.374708700052,63.50174690003041,63.50174690003041,63.50174690003041,63.50174690003041,63.50174690003041,63.50174690003041,63.50174690003041,63.50174690003041,0.002494199958164245,None,0,,D:\GitHub\experiment1\data/1307_REPSWITCH1_Practice_v2022.2.4_2023-07-13_12h07.38.498_micPractice_recorded\recording_micPractice_2023-07-13_12h08.30.460.wav,,,,,,,,,,1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
REPSWITCH1_Practice/PICTURE_110.png,mesa,TECLEA,darkblue,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.49843820004025,67.15882470004726,68.36202250001952,68.36202250001952,68.36202250001952,68.36202250001952,68.36202250001952,68.36202250001952,68.36202250001952,68.36202250001952,0.004373000003397465,"['p', 'r', 'a', 'c', 't', 'i', 'c', 'e']",0,practice,D:\GitHub\experiment1\data/1307_REPSWITCH1_Practice_v2022.2.4_2023-07-13_12h07.38.498_micPractice_recorded\recording_micPractice_2023-07-13_12h08.35.303.wav,,,,,,,,,"[1.2842794999596663, 1.488943099975586, 1.5708490000106394, 1.7353946999646723, 1.9572586999856867, 2.0274272999959067, 2.1731649999856018, 2.2892227999982424]",1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
REPSWITCH1_Practice/PICTURE_599.png,nube,HABLA,gold,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.378388800018,72.00726570002735,73.1825322000077,73.1825322000077,73.1825322000077,73.1825322000077,73.1825322000077,73.1825322000077,73.1825322000077,73.1825322000077,0.0023381999926641583,"['c', 'u', 'e']",0,cue,D:\GitHub\experiment1\data/1307_REPSWITCH1_Practice_v2022.2.4_2023-07-13_12h07.38.498_micPractice_recorded\recording_micPractice_2023-07-13_12h08.40.148.wav,76.378388800018,76.378388800018,76.378388800018,76.378388800018,76.378388800018,76.378388800018,76.378388800018,,"[0.22163210000144318, 0.4270259000477381, 0.6100228000432253]",1307,001,2023-07-13_12h07.38.498,REPSWITCH1_Practice_v2022.2.4,2022.2.4,59.99523636989712,
