image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textBlankLoop.started,textBlankLoop.stopped,polygonWhiteFam.stopped,imageFam.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,10.947408400010318,12.940864800009876,12.940864800009876,space,8.941534099867567,,,,,,,,,,,,,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_12.png,sirena,0,0,0,38,,,,,,21.900358600076288,22.935203599976376,22.935203599976376,22.935203599976376,22.935203599976376,26.421726300148293,28.92202110006474,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h01.46.913.wav,28.963725000154227,29.463765799999237,,,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,1,1,24,,,,,,29.463765799999237,30.575018499977887,30.575018499977887,30.575018499977887,30.575018499977887,34.068540800129995,36.568848700029776,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h01.54.556.wav,36.60359359998256,37.103649800177664,36.60359359998256,36.60359359998256,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_319.png,vaca,0,2,2,15,,,,,,37.103649800177664,38.31214649998583,38.31214649998583,38.31214649998583,38.31214649998583,41.80573310004547,44.30593809997663,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h02.02.294.wav,44.34076140006073,44.84075990016572,44.34076140006073,44.34076140006073,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_552.png,manzana,0,3,3,25,,,,,,44.84075990016572,45.95894620008767,45.95894620008767,45.95894620008767,45.95894620008767,49.45247110002674,51.95280329999514,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h02.09.939.wav,51.987520300084725,52.48758510011248,51.987520300084725,51.987520300084725,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_612.png,rana,0,4,4,32,,,,,,52.48758510011248,53.57112290011719,53.57112290011719,53.57112290011719,53.57112290011719,57.064556900179014,59.564850700087845,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h02.17.551.wav,59.59961470006965,60.099676500074565,59.59961470006965,59.59961470006965,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_673.png,tenedor,0,5,5,44,,,,,,60.099676500074565,61.190082899993286,61.190082899993286,61.190082899993286,61.190082899993286,64.68360580014996,67.18389610014856,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h02.25.171.wav,67.21861740015447,67.7187173999846,67.21861740015447,67.21861740015447,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_446.png,cerdo,0,6,6,20,,,,,,67.7187173999846,68.82998739997856,68.82998739997856,68.82998739997856,68.82998739997856,72.32343390001915,74.82379850000143,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h02.32.811.wav,74.85853710002266,75.35858940007165,74.85853710002266,74.85853710002266,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_464.png,goma,0,7,7,21,,,,,,75.35858940007165,76.65041840006597,76.65041840006597,76.65041840006597,76.65041840006597,80.14390370016918,82.64424660010263,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h02.40.631.wav,82.67895660013892,83.17900170013309,82.67895660013892,82.67895660013892,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,8,8,12,,,,,,83.17900170013309,84.31113100005314,84.31113100005314,84.31113100005314,84.31113100005314,87.80459660012275,90.30493560014293,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h02.48.292.wav,90.3396891001612,90.83981270017102,90.3396891001612,90.3396891001612,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_110.png,mesa,0,9,9,37,,,,,,90.83981270017102,91.92321480019018,91.92321480019018,91.92321480019018,91.92321480019018,95.41680210013874,97.9170097000897,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h02.55.904.wav,97.95178700005636,98.45182440010831,97.95178700005636,97.95178700005636,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
REPSWITCH1_Fam/PICTURE_733.png,gafas,0,10,10,35,,,,,,98.45182440010831,99.57005179999396,99.57005179999396,99.57005179999396,99.57005179999396,103.06351190013811,105.56383920018561,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/160204_REPSWITCH1_Fam_2023-11-29_09h01.26.917_micFam_recorded\recording_micFam_2023-11-29_09h03.03.551.wav,105.59859860013239,106.09865560010076,105.59859860013239,105.59859860013239,,,,,160204,001,2023-11-29_09h01.26.917,REPSWITCH1_Fam,2022.2.4,143.8942088421738,
