image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l1.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv2l1.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,12.237500699935481,14.730825599981472,14.730825599981472,14.730825599981472,14.730825599981472,space,13.226321499794722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,27.975652300054207,space,3.172713799867779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_340.png,espejo,type,gold,filler,1,F,1,1,1,2,Extra1,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,31.239958100020885,32.3512466000393,32.3512466000393,32.3512466000393,32.3512466000393,32.3512466000393,32.3512466000393,32.3512466000393,32.3512466000393,"['e', 's', 'p', 'e', 'j', 'o']",0,"[1.5895223999395967, 1.778670399915427, 2.120512600056827, 2.652739099925384, 2.8731943999882787, 2.951898699859157]",espejo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h33.23.623.wav,35.37247740011662,35.872519300086424,None,,,,,,,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_391.png,cadena,speak,darkblue,filler,2,F,1,1,1,2,Extra2,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,35.872519300086424,36.976850900100544,36.976850900100544,36.976850900100544,36.976850900100544,36.976850900100544,36.976850900100544,36.976850900100544,36.976850900100544,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h33.28.254.wav,40.00498230010271,,None,40.00498230010271,40.00498230010271,40.00498230010271,40.00498230010271,40.00498230010271,40.00498230010271,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_178.png,puente,speak,darkblue,nontarget,2,NT,1,1,1,2,Stim1_Set1,1,repeat,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,40.505052800057456,41.57468400010839,41.57468400010839,41.57468400010839,41.57468400010839,41.57468400010839,41.57468400010839,41.57468400010839,41.57468400010839,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h33.32.851.wav,44.59595820005052,45.09597590006888,None,44.59595820005052,44.59595820005052,44.59595820005052,44.59595820005052,44.59595820005052,44.59595820005052,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_178.png,puente,speak,darkblue,repeat,2,T,1,1,1,2,Stim1_Set1,0,None,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,45.09597590006888,46.1725111999549,46.1725111999549,46.1725111999549,46.1725111999549,46.1725111999549,46.1725111999549,46.1725111999549,46.1725111999549,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h33.37.448.wav,49.19369310000911,49.693777200067416,None,49.19369310000911,49.19369310000911,49.19369310000911,49.19369310000911,49.19369310000911,49.19369310000911,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_319.png,vaca,type,gold,filler,1,F,1,1,1,2,Stim1_Set4,0,None,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,49.693777200067416,50.79117360012606,50.79117360012606,50.79117360012606,50.79117360012606,50.79117360012606,50.79117360012606,50.79117360012606,50.79117360012606,"['v', 'a', 'c', 'a']",0,"[1.3770143000874668, 1.5030998999718577, 1.5651684999465942, 1.6751478998921812]",vaca,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h33.42.067.wav,53.81237790011801,54.312437700107694,None,53.81237790011801,53.81237790011801,53.81237790011801,53.81237790011801,53.81237790011801,53.81237790011801,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_381.png,fresa,speak,darkblue,nontarget,2,NT,1,1,1,2,Stim2_Set1,1,switch,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,54.312437700107694,55.4167398000136,55.4167398000136,55.4167398000136,55.4167398000136,55.4167398000136,55.4167398000136,55.4167398000136,55.4167398000136,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h33.46.693.wav,58.43797930004075,58.93802189989947,None,58.43797930004075,58.43797930004075,58.43797930004075,58.43797930004075,58.43797930004075,58.43797930004075,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_381.png,fresa,speak,darkblue,repeat,2,T,1,1,1,2,Stim2_Set1,0,None,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,58.93802189989947,59.972967399982736,59.972967399982736,59.972967399982736,59.972967399982736,59.972967399982736,59.972967399982736,59.972967399982736,59.972967399982736,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h33.51.249.wav,62.994104200042784,63.49426140007563,None,62.994104200042784,62.994104200042784,62.994104200042784,62.994104200042784,62.994104200042784,62.994104200042784,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
REPSWITCH1/PICTURE_719.png,baño,type,gold,filler,1,F,1,1,1,2,Stim2_Set4,1,switch,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,63.49426140007563,64.73048890009522,64.73048890009522,64.73048890009522,64.73048890009522,64.73048890009522,64.73048890009522,64.73048890009522,64.73048890009522,"['b', 'a', 'ñ', 'o']",0,"[1.2672244999557734, 1.7288450000341982, 1.8334673000499606, 1.991929299896583]",baño,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/180201_REPSWITCH1_version2_list1_2023-11-30_11h32.58.730_micRespv2l1_recorded\recording_micRespv2l1_2023-11-30_11h33.56.007.wav,67.7586465999484,,None,67.7586465999484,67.7586465999484,67.7586465999484,67.7586465999484,67.7586465999484,67.7586465999484,,,,,,180201,001,2023-11-30_11h32.58.730,REPSWITCH1_version2_list1,2022.2.4,144.0077646627375,
