image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;textBlank500.started;textBlank500.stopped;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l1.started;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv1l1.clip;textBlankLoop.started;keyPause.keys;textBlankLoop.stopped;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;155.5351316;157.9780309;157.9780309;157.9780309;157.9780309;space;1.3336396;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;159.4071561;159.4071561;159.4071561;159.4071561;159.4071561;159.4071561;159.4071561;159.4071561;159.4071561;159.4071561;159.4071561;159.4071561;159.4071561;space;0.72465;;;;;;;;;;;;;;;;;;;;;;;;;;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
REPSWITCH1/PICTURE_340.png;espejo;type;darkblue;filler;1;F;1;1;1;1;Extra1;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;160.1566056;161.0948943;161.0948943;162.9129265;162.9129265;162.9129265;162.9129265;162.9129265;162.9129265;162.9129265;162.9129265;['e', 's', 'p', 'e', 'j', 'o'];0;[0.8142550999909872, 0.9856540000037057, 1.0679300999909174, 1.233740299998317, 1.5009768000018084, 1.5910941999900388];espejo;D:\GitHub\experiment1\data/1909_REPSWITCH1_version1_list1_2023-09-19_12h46.10.266_micRespv1l1_recorded\recording_micRespv1l1_2023-09-19_12h46.41.974.wav;165.402211;None;;;;;;;;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
REPSWITCH1/PICTURE_391.png;cadena;speak;gold;filler;2;F;1;1;1;1;Extra2;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;165.9121666;167.0503192;167.0503192;167.0503192;167.0503192;167.0503192;167.0503192;167.0503192;167.0503192;None;0;;;D:\GitHub\experiment1\data/1909_REPSWITCH1_version1_list1_2023-09-19_12h46.10.266_micRespv1l1_recorded\recording_micRespv1l1_2023-09-19_12h46.46.709.wav;170.2506791;None;170.7609675;;;;;;;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
REPSWITCH1/PICTURE_178.png;puente;speak;gold;nontarget;2;NT;1;1;1;1;Stim1_Set1;1;repeat;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;170.7609675;172.0956126;172.0956126;172.0956126;172.0956126;172.0956126;172.0956126;172.0956126;172.0956126;None;0;;;D:\GitHub\experiment1\data/1909_REPSWITCH1_version1_list1_2023-09-19_12h46.10.266_micRespv1l1_recorded\recording_micRespv1l1_2023-09-19_12h46.51.721.wav;175.188601;None;175.6930667;;;;;;;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
REPSWITCH1/PICTURE_178.png;puente;speak;gold;repeat;2;T;1;1;1;1;Stim1_Set1;0;None;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;175.6930667;176.820071;176.820071;176.820071;176.820071;176.820071;176.820071;176.820071;176.820071;None;0;;;D:\GitHub\experiment1\data/1909_REPSWITCH1_version1_list1_2023-09-19_12h46.10.266_micRespv1l1_recorded\recording_micRespv1l1_2023-09-19_12h46.56.520.wav;180.0254294;None;180.52508;180.0254294;180.0254294;180.0254294;180.0254294;180.0254294;180.0254294;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
REPSWITCH1/PICTURE_319.png;vaca;type;darkblue;filler;1;F;1;1;1;1;Stim1_Set4;0;None;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;;180.52508;181.6847802;181.6847802;181.6847802;181.6847802;181.6847802;181.6847802;181.6847802;181.6847802;['v', 'a', 'c', 'a'];0;[0.8934889000083786, 0.9861706000083359, 1.3454937000060454, 1.440694999997504];vaca;D:\GitHub\experiment1\data/1909_REPSWITCH1_version1_list1_2023-09-19_12h46.10.266_micRespv1l1_recorded\recording_micRespv1l1_2023-09-19_12h47.01.373.wav;184.7788837;None;;;;;;;;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
REPSWITCH1/PICTURE_381.png;fresa;speak;gold;nontarget;2;NT;1;1;1;1;Stim2_Set1;1;switch;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;;185.2906504;186.585765;186.585765;186.585765;186.585765;186.585765;186.585765;186.585765;186.585765;None;0;;;D:\GitHub\experiment1\data/1909_REPSWITCH1_version1_list1_2023-09-19_12h46.10.266_micRespv1l1_recorded\recording_micRespv1l1_2023-09-19_12h47.06.164.wav;189.6390271;None;190.1406678;;;;;;;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
REPSWITCH1/PICTURE_381.png;fresa;speak;gold;repeat;2;T;1;1;1;1;Stim2_Set1;0;None;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;;190.1406678;191.3483308;191.3483308;191.3483308;191.3483308;191.3483308;191.3483308;191.3483308;191.3483308;None;0;;;D:\GitHub\experiment1\data/1909_REPSWITCH1_version1_list1_2023-09-19_12h46.10.266_micRespv1l1_recorded\recording_micRespv1l1_2023-09-19_12h47.11.038.wav;194.5233498;None;;;;;;;;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
REPSWITCH1/PICTURE_719.png;baño;type;darkblue;filler;1;F;1;1;1;1;Stim2_Set4;1;switch;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;195.0383811;196.1819384;196.1819384;196.1819384;196.1819384;196.1819384;196.1819384;196.1819384;196.1819384;['b', 'a', 'n', 'o'];0;[1.0169365000037942, 1.1333773000078509, 1.83073709999735, 1.9587513000005856];bano;D:\GitHub\experiment1\data/1909_REPSWITCH1_version1_list1_2023-09-19_12h46.10.266_micRespv1l1_recorded\recording_micRespv1l1_2023-09-19_12h47.15.861.wav;199.35034;None;199.8539038;;;;;;;1909;1;2023-09-19_12h46.10.266;REPSWITCH1_version1_list1;2022.2.4;60.03510853;
