image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,polygonWhiteFam.stopped,imageFam.stopped,micFam.stopped,textFam.started,micFam.clip,textFam.stopped,textEndFam.started,textEndFam.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,55.50981009998941,57.48813909999444,57.98890339999343,57.98890339999343,space,23.455393500014907,,,,,,,,,,,,,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,0,0,0,,91.01233639998827,,,,,82.11471449999954,82.11471449999954,83.59814409998944,83.59814409998944,83.59814409998944,0.07419860002119094,87.61314969998784,87.61314969998784,4.115666400000919,87.99641699998756,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h25.11.640.wav,,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,1,1,1,,100.09512969999923,,,,,100.5945337000012,91.49717059999239,92.69548399999621,92.69548399999621,92.69548399999621,0.10507900000084192,96.69588849999127,96.69588849999127,4.099549700011266,97.09578820000752,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h25.20.739.wav,100.09512969999923,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,2,2,2,,109.24354460000177,,,,,109.74248849999276,100.5945337000012,101.7770143999951,101.7770143999951,101.7770143999951,0.02873140000156127,105.77682269999059,105.77682269999059,4.032207600015681,106.24316849999013,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h25.29.886.wav,109.24354460000177,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,3,3,3,,118.35654710000381,,,,,118.85705709998729,109.74248849999276,110.99178250000114,110.99178250000114,110.99178250000114,0.1371520000102464,115.00634289998561,115.00634289998561,4.132542200008174,115.35774259999744,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h25.39.001.wav,118.35654710000381,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,4,4,4,,127.40475519999745,,,,,127.90485009999247,118.85705709998729,120.05602960000397,120.05602960000397,120.05602960000397,0.14294680001330562,124.05542709998554,124.05542709998554,4.149527400004445,124.40592739998829,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h25.48.049.wav,127.40475519999745,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,5,5,5,,136.63584740000078,,,,,137.13627240000642,127.90485009999247,129.23710749999736,129.23710749999736,129.23710749999736,0.10199539997847751,133.252310699987,133.252310699987,4.100001099985093,133.63673719999497,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h25.57.280.wav,136.63584740000078,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,6,6,6,,145.96686779998709,,,,,146.4672048999928,137.13627240000642,138.5848219000036,138.5848219000036,138.5848219000036,0.12077800001134165,142.58453349999036,142.58453349999036,4.116127300017979,142.967831499991,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h26.06.611.wav,145.96686779998709,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,7,7,7,,155.01475740000024,,,,,155.51447269998607,146.4672048999928,147.6326344999834,147.6326344999834,147.6326344999834,0.11598800000501797,151.63251979998313,151.63251979998313,4.115915999980643,152.01555349997943,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h26.15.659.wav,155.01475740000024,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,8,8,8,,164.12932109998656,,,,,164.62912880000658,155.51447269998607,156.73060489998898,156.73060489998898,156.73060489998898,0.10028600000077859,160.7456552000076,160.7456552000076,4.098929400002817,161.1300885999808,D:\GitHub\experiment1\data/220037_REPSWITCH_1_Fam_2023-06-21_11h24.26.702_micFam_recorded\recording_micFam_2023-06-21_11h26.24.773.wav,164.12932109998656,,,220037,001,2023-06-21_11h24.26.702,REPSWITCH_1_Fam,2022.2.5,60.02999097774686,
