image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;textBlank500.started;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l1.started;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv1l1.clip;textBlankLoop.started;keyPause.keys;textBlankLoop.stopped;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;textboxPause.started;keyPause.started;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;6.12815E+16;8.62296E+15;8.62296E+15;8.62296E+15;8.62296E+15;space;7.41957E+15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;9.38371E+15;space;6.53243E+14;;;;;;;;;;;;;;;;;;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_340.png;espejo;type;darkblue;filler;1;F;1;1;1;1;Extra1;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;1.00449E+16;1.06406E+16;1.16997E+16;1.16997E+16;1.16997E+16;1.16997E+16;1.16997E+16;1.16997E+16;1.16997E+16;8.7273E+15;['e', 's', 'e', 'j'];0;[1.8728172000000995, 2.048939799999971, 2.288935500000207, 2.6889334000002236];esej;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h32.31.716.wav;1.47238E+16;None;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_391.png;cadena;speak;gold;filler;2;F;1;1;1;1;Extra2;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;1.52268E+14;1.63232E+15;1.63232E+15;1.63232E+15;1.63232E+15;1.63232E+15;1.63232E+15;1.63232E+15;5.1857E+15;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h32.36.339.wav;1.93534E+14;None;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_178.png;puente;speak;gold;nontarget;2;NT;1;1;1;1;Stim1_Set1;1;repeat;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;1.98527E+16;2.0905E+16;2.0905E+16;2.0905E+16;2.0905E+16;2.0905E+16;2.0905E+16;2.0905E+16;5.1097E+16;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h32.40.923.wav;2.39293E+15;None;2.4429E+16;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_178.png;puente;speak;gold;repeat;2;T;1;1;1;1;Stim1_Set1;0;None;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;2.4429E+16;2.54932E+16;2.54932E+16;2.54932E+16;2.54932E+16;2.54932E+16;2.54932E+16;2.54932E+16;1.3142E+16;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h32.45.505.wav;2.8511E+15;None;2.90108E+16;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_319.png;vaca;type;darkblue;filler;1;F;1;1;1;1;Stim1_Set4;0;None;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;2.90108E+16;3.01031E+15;3.01031E+15;3.01031E+15;3.01031E+15;3.01031E+15;3.01031E+15;3.01031E+15;4.9413E+15;['v', 'a', 'c', 'a'];0;[1.0216356999999334, 1.165197100000114, 1.2935499000000164, 1.4055805999996664];vaca;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h32.50.115.wav;3.31207E+14;None;3.36205E+15;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_381.png;fresa;speak;gold;nontarget;2;NT;1;1;1;1;Stim2_Set1;1;switch;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;3.36205E+15;3.46821E+15;3.46821E+15;3.46821E+15;3.46821E+15;3.46821E+15;3.46821E+15;3.46821E+15;5.1718E+15;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h32.54.695.wav;3.77026E+15;None;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_381.png;fresa;speak;gold;repeat;2;T;1;1;1;1;Stim2_Set1;0;None;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;3.82024E+16;3.92695E+15;3.92695E+15;3.92695E+15;3.92695E+15;3.92695E+15;3.92695E+15;3.92695E+15;1.6027E+16;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h32.59.282.wav;4.22872E+15;None;4.2787E+15;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_719.png;baño;type;darkblue;filler;1;F;1;1;1;1;Stim2_Set4;1;switch;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;4.2787E+15;4.38728E+15;4.38728E+15;4.38728E+15;4.38728E+15;4.38728E+15;4.38728E+15;4.38728E+15;5.3595E+16;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.03.888.wav;4.68942E+15;None;4.73939E+15;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
