image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv2l1.started;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv2l1.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;9.8756892;12.3687902;12.3687902;12.3687902;12.3687902;space;2.9226541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.3066768;15.3066768;15.3066768;15.3066768;15.3066768;15.3066768;15.3066768;15.3066768;15.3066768;15.3066768;15.3066768;15.3066768;15.3066768;space;1.479957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
REPSWITCH1/PICTURE_340.png;espejo;type;gold;filler;1;F;1;1;1;2;Extra1;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;16.8832788;18.1126415;18.1126415;18.1126415;18.1126415;18.1126415;18.1126415;18.1126415;18.1126415;['e', 's', 'p', 'e', 'j', 'o'];0;[0.9871137998998165, 1.2003347999416292, 1.4701568996533751, 1.7323336000554264, 2.013318999670446, 2.0931420996785164];espejo;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/260201_REPSWITCH1_version2_list1_2023-12-04_14h44.55.523_micRespv2l1_recorded\recording_micRespv2l1_2023-12-04_14h45.08.536.wav;21.1339086;21.6338982;None;;;;;;;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
REPSWITCH1/PICTURE_391.png;cadena;speak;darkblue;filler;2;F;1;1;1;2;Extra2;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;21.6338982;22.710423;22.710423;22.710423;22.710423;22.710423;22.710423;22.710423;22.710423;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/260201_REPSWITCH1_version2_list1_2023-12-04_14h44.55.523_micRespv2l1_recorded\recording_micRespv2l1_2023-12-04_14h45.13.138.wav;25.7385966;;None;25.7385966;25.7385966;25.7385966;25.7385966;25.7385966;25.7385966;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
REPSWITCH1/PICTURE_178.png;puente;speak;darkblue;nontarget;2;NT;1;1;1;2;Stim1_Set1;1;repeat;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;26.2386744;27.287478;27.287478;27.287478;27.287478;27.287478;27.287478;27.287478;27.287478;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/260201_REPSWITCH1_version2_list1_2023-12-04_14h44.55.523_micRespv2l1_recorded\recording_micRespv2l1_2023-12-04_14h45.17.715.wav;30.3086188;30.80872;None;30.3086188;30.3086188;30.3086188;30.3086188;30.3086188;30.3086188;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
REPSWITCH1/PICTURE_178.png;puente;speak;darkblue;repeat;2;T;1;1;1;2;Stim1_Set1;0;None;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;30.80872;31.9060839;31.9060839;31.9060839;31.9060839;31.9060839;31.9060839;31.9060839;31.9060839;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/260201_REPSWITCH1_version2_list1_2023-12-04_14h44.55.523_micRespv2l1_recorded\recording_micRespv2l1_2023-12-04_14h45.22.333.wav;34.9273026;35.4274482;None;34.9273026;34.9273026;34.9273026;34.9273026;34.9273026;34.9273026;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
REPSWITCH1/PICTURE_319.png;vaca;type;gold;filler;1;F;1;1;1;2;Stim1_Set4;0;None;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;35.4274482;36.6358977;36.6358977;36.6358977;36.6358977;36.6358977;36.6358977;36.6358977;36.6358977;['v', 'a', 'c', 'a'];0;[1.2582940999418497, 1.4075754000805318, 1.5490621998906136, 1.6574957999400795];vaca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/260201_REPSWITCH1_version2_list1_2023-12-04_14h44.55.523_micRespv2l1_recorded\recording_micRespv2l1_2023-12-04_14h45.27.063.wav;39.6640616;;None;39.6640616;39.6640616;39.6640616;39.6640616;39.6640616;39.6640616;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
REPSWITCH1/PICTURE_381.png;fresa;speak;darkblue;nontarget;2;NT;1;1;1;2;Stim2_Set1;1;switch;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;40.1640725;41.282339;41.282339;41.282339;41.282339;41.282339;41.282339;41.282339;41.282339;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/260201_REPSWITCH1_version2_list1_2023-12-04_14h44.55.523_micRespv2l1_recorded\recording_micRespv2l1_2023-12-04_14h45.31.711.wav;44.3104788;;None;44.3104788;44.3104788;44.3104788;44.3104788;44.3104788;44.3104788;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
REPSWITCH1/PICTURE_381.png;fresa;speak;darkblue;repeat;2;T;1;1;1;2;Stim2_Set1;0;None;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;44.8105608;45.9148573;45.9148573;45.9148573;45.9148573;45.9148573;45.9148573;45.9148573;45.9148573;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/260201_REPSWITCH1_version2_list1_2023-12-04_14h44.55.523_micRespv2l1_recorded\recording_micRespv2l1_2023-12-04_14h45.36.343.wav;48.9430134;;None;48.9430134;48.9430134;48.9430134;48.9430134;48.9430134;48.9430134;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
REPSWITCH1/PICTURE_719.png;baño;type;gold;filler;1;F;1;1;1;2;Stim2_Set4;1;switch;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;49.4430861;50.5405336;50.5405336;50.5405336;50.5405336;50.5405336;50.5405336;50.5405336;50.5405336;['b', 'a', 'ñ', 'o'];0;[1.2368268999271095, 1.4371250001713634, 1.8361546001397073, 1.930855100043118];baño;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/260201_REPSWITCH1_version2_list1_2023-12-04_14h44.55.523_micRespv2l1_recorded\recording_micRespv2l1_2023-12-04_14h45.40.969.wav;53.5686478;;None;53.5686478;53.5686478;53.5686478;53.5686478;53.5686478;53.5686478;;;;;;260201;1;2023-12-04_14h44.55.523;REPSWITCH1_version2_list1;2022.2.4;144.0517435;
