image;correctAns;respModal;frameColor;modalSymb;repSwitch;sequence;target;trialsPractice.thisRepN;trialsPractice.thisTrialN;trialsPractice.thisN;trialsPractice.thisIndex;textWelcomePractice.started;textBlank500.started;textInstrPractice.started;keyInstrPractice.started;keyInstrPractice.keys;keyInstrPractice.rt;textBlank500.stopped;fixationITI.started;fixationITI.stopped;polygonCol.started;polygonWh.started;imagePractice.started;textCue.started;polygonText.started;textPractice.started;keyPractice.started;micPractice.started;micPractice.stopped;keyPractice.keys;keyPractice.corr;subjResponse;micPractice.clip;keyPractice.rt;polygonCol.stopped;polygonWh.stopped;imagePractice.stopped;textCue.stopped;polygonText.stopped;textPractice.stopped;keyPractice.stopped;text.started;participant;session;date;expName;psychopyVersion;frameRate;Column1
;;;;;;;;;;;;2,07754E+15;2,27897E+16;2,32904E+15;2,32904E+15;space;1,03728E+15;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_612.png;rana;speak;yellow;REPSWITCH1_Practice/lips.png;nontarget;2;NT;0;0;0;0;;2,90052E+16;;;;;2,48709E+15;2,48709E+15;2,61219E+14;2,61219E+14;2,61219E+14;2,61219E+14;2,61219E+14;2,61219E+14;2,61219E+14;2,61219E+14;4,5386E+15;2,13279E+16;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h53.49.365.wav;;;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_612.png;rana;speak;yellow;REPSWITCH1_Practice/lips.png;repeat;2;T;0;1;1;1;;3,37202E+15;;;;;3,42202E+15;2,95046E+16;3,07225E+16;3,07225E+16;3,07225E+16;3,07225E+16;3,07225E+16;3,07225E+16;3,07225E+16;3,07225E+16;3,0795E+15;1,99968E+16;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h53.54.082.wav;;;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_599.png;nube;type;blue;REPSWITCH1_Practice/keyboard.png;filler;1;F;0;2;2;2;;3,83028E+15;;;;;;3,42202E+15;3,5303E+15;3,5303E+15;3,5303E+15;3,5303E+15;3,5303E+15;3,5303E+15;3,5303E+15;3,5303E+15;2,5973E+16;2,01589E+16;['c', 'l', 'o', 'u', 'd'];0;cloud;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h53.58.663.wav;[0.3860681999940425, 0.5299040999962017, 0.7383821000112221, 0.8894858999992721, 0.9730790000176057];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_110.png;mesa;speak;yellow;REPSWITCH1_Practice/lips.png;nontarget;2;NT;0;3;3;3;;4,30181E+16;;;;;4,35183E+15;3,88024E+15;4,00203E+15;4,00203E+15;4,00203E+15;4,00203E+15;4,00203E+15;4,00203E+15;4,00203E+15;4,00203E+15;2,5711E+15;1,9992E+15;['m', 'e', 's', 'a'];0;mesa;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.03.379.wav;[0.7368362999986857, 0.8753332999767736, 1.680986399995163, 1.8360937999677844];4,30181E+16;4,30181E+16;4,30181E+16;4,30181E+16;4,30181E+16;4,30181E+16;4,30181E+16;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_110.png;mesa;speak;yellow;REPSWITCH1_Practice/lips.png;repeat;1;T;0;4;4;4;;4,7732E+15;;;;;;4,35183E+15;4,47195E+16;4,47195E+16;4,47195E+16;4,47195E+16;4,47195E+16;4,47195E+16;4,47195E+16;4,47195E+16;3,2114E+15;2,00068E+15;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.08.079.wav;;;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_570.png;toro;type;blue;REPSWITCH1_Practice/keyboard.png;filler;1;F;0;5;5;5;;5,24989E+16;;;;;;4,82341E+14;4,95329E+15;4,95329E+15;4,95329E+15;4,95329E+15;4,95329E+15;4,95329E+15;4,95329E+15;4,95329E+15;4,49964E+15;2,04968E+15;['b', 'u', 'l', 'l'];0;bull;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.12.860.wav;[1.3460145000135526, 1.496515900013037, 1.7937732000136748, 1.9142427999759093];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_12.png;sirena;speak;yellow;REPSWITCH1_Practice/lips.png;nontarget;1;NT;0;6;6;6;;5,72316E+15;;;;;;5,2999E+15;5,43315E+15;5,43315E+15;5,43315E+15;5,43315E+15;5,43315E+15;5,43315E+15;5,43315E+15;5,43315E+15;1,08945E+16;2,11687E+16;None;0;;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.17.592.wav;;;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_12.png;sirena;type;blue;REPSWITCH1_Practice/keyboard.png;switch;2;T;0;7;7;7;;6,19303E+14;;;;;;5,77315E+15;5,89156E+15;5,89156E+15;5,89156E+15;5,89156E+15;5,89156E+15;5,89156E+15;5,89156E+15;5,89156E+15;3,2024E+16;1,99962E+16;['s', 'i', 'e', 'r', 'n', 'a'];0;sierna;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.22.291.wav;[0.47788640001090243, 0.6329360000090674, 0.8145384000381455, 0.9692079999949783, 1.5775475000264123, 1.7142342000151984];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
REPSWITCH1_Practice/PICTURE_733.png;gafas;type;blue;REPSWITCH1_Practice/keyboard.png;nontarget;2;NT;0;8;8;8;;6,66791E+15;;;;;;6,24301E+15;6,37626E+16;6,37626E+16;6,37626E+16;6,37626E+16;6,37626E+16;6,37626E+16;6,37626E+16;6,37626E+16;1,0427E+16;2,09945E+16;['g', 'a', 'f', 'a', 's'];0;gafas;D:\GitHub\experiment1\data/2_REPSWITCH_1_Practice_2023-06-12_09h53.36.110_micPractice_recorded\recording_micPractice_2023-06-12_09h54.27.040.wav;[1.3125156000023708, 1.4403146000113338, 1.5573287000297569, 1.7008065999834798, 1.8172562000108883];;;;;;;;;2;1;2023-06-12_09h53.36.110;REPSWITCH_1_Practice;202225;5,98726E+16;
