image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l3.started,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,micRespv2l3.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,8.9146861997433,11.412997799925506,11.412997799925506,11.412997799925506,11.412997799925506,space,5.79639570042491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,17.226195899769664,space,4.525626900140196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_663.png,columna,type,gold,filler,1,F,1,2,3,2,Extra6,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,21.84485789993778,22.93529099971056,22.93529099971056,22.93529099971056,22.93529099971056,22.93529099971056,22.93529099971056,22.93529099971056,22.93529099971056,25.96343019977212,25.96343019977212,25.96343019977212,25.96343019977212,25.96343019977212,25.96343019977212,"['c', 'o', 'l', 'u', 'm', 'n', 'a']",0,"[0.9107081005349755, 1.022369600366801, 1.175812900532037, 1.300574500579387, 1.5028988006524742, 1.6774287004955113, 1.767499700654298]",columna,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h21.37.141.wav,25.96343019977212,26.463493699673563,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_128.png,muñeca,speak,darkblue,nontarget,2,NT,1,2,3,2,Stim4_Set1,1,switch,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,26.463493699673563,27.505344499833882,27.505344499833882,27.505344499833882,27.505344499833882,27.505344499833882,27.505344499833882,27.505344499833882,27.505344499833882,30.533476599957794,30.533476599957794,30.533476599957794,30.533476599957794,30.533476599957794,30.533476599957794,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h21.41.709.wav,30.533476599957794,,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_128.png,muñeca,speak,darkblue,repeat,2,T,1,2,3,2,Stim4_Set1,0,None,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,31.03354369988665,32.06844289973378,32.06844289973378,32.06844289973378,32.06844289973378,32.06844289973378,32.06844289973378,32.06844289973378,32.06844289973378,35.08969860011712,35.08969860011712,35.08969860011712,35.08969860011712,35.08969860011712,35.08969860011712,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h21.46.271.wav,35.08969860011712,35.58972520008683,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_8.png,pierna,type,gold,filler,1,F,1,2,3,2,Stim3_Set4,0,None,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,35.58972520008683,36.707936899736524,36.707936899736524,36.707936899736524,36.707936899736524,36.707936899736524,36.707936899736524,36.707936899736524,36.707936899736524,39.736123299691826,39.736123299691826,39.736123299691826,39.736123299691826,39.736123299691826,39.736123299691826,"['p', 'i', 'e', 'r', 'n', 'a']",0,"[0.8537781005725265, 1.2038113004527986, 1.28154360037297, 1.3882037005387247, 1.5826018005609512, 1.7051917002536356]",pierna,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h21.50.911.wav,39.736123299691826,,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_135.png,traje,speak,darkblue,nontarget,2,NT,1,2,3,2,Stim3_Set1,1,switch,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,40.23615580005571,41.3335583996959,41.3335583996959,41.3335583996959,41.3335583996959,41.3335583996959,41.3335583996959,41.3335583996959,41.3335583996959,44.354833299759775,44.354833299759775,44.354833299759775,44.354833299759775,44.354833299759775,44.354833299759775,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h21.55.537.wav,44.354833299759775,44.854815599974245,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_135.png,traje,speak,darkblue,repeat,2,T,1,2,3,2,Stim3_Set1,0,None,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,44.854815599974245,45.95219590002671,45.95219590002671,45.95219590002671,45.95219590002671,45.95219590002671,45.95219590002671,45.95219590002671,45.95219590002671,48.973388799931854,48.973388799931854,48.973388799931854,48.973388799931854,48.973388799931854,48.973388799931854,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h22.00.156.wav,48.973388799931854,49.473467899952084,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_673.png,tenedor,type,gold,filler,1,F,1,2,3,2,Extra5,0,None,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,49.473467899952084,50.563939000014216,50.563939000014216,50.563939000014216,50.563939000014216,50.563939000014216,50.563939000014216,50.563939000014216,50.563939000014216,53.58520529977977,53.58520529977977,53.58520529977977,53.58520529977977,53.58520529977977,53.58520529977977,"['t', 'e', 'n', 'e', 'd', 'o', 'r']",0,"[0.7463136003352702, 0.8738767001777887, 0.9834721004590392, 1.1230402002111077, 1.3124694004654884, 1.4191254004836082, 1.510652500204742]",tenedor,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h22.04.766.wav,53.58520529977977,54.08520639967173,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
REPSWITCH1/PICTURE_728.png,pulpo,speak,darkblue,filler,2,F,1,2,3,2,Stim8_Set4,0,None,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,54.08520639967173,55.12007590010762,55.12007590010762,55.12007590010762,55.12007590010762,55.12007590010762,55.12007590010762,55.12007590010762,55.12007590010762,58.14830349991098,58.14830349991098,58.14830349991098,58.14830349991098,58.14830349991098,58.14830349991098,None,0,,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/300203_REPSWITCH1_version2_list3_2023-12-05_11h21.18.227_micRespv2l3_recorded\recording_micRespv2l3_2023-12-05_11h22.09.324.wav,58.14830349991098,,None,,,,,,300203,001,2023-12-05_11h21.18.227,REPSWITCH1_version2_list3,2022.2.4,144.0297511997384,
