image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l4.started;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv1l4.clip;textBlankLoop.started;textBlankLoop.stopped;keyPause.keys;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;13.8463296;16.3402973;16.3402973;16.3402973;16.3402973;space;4.3516953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.7089197;20.7089197;20.7089197;20.7089197;20.7089197;20.7089197;20.7089197;20.7089197;20.7089197;20.7089197;20.7089197;20.7089197;20.7089197;space;3.0204885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
REPSWITCH1/PICTURE_8.png;pierna;type;darkblue;filler;1;F;1;4;4;1;Stim3_Set4;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;23.8344124;24.9316725;24.9316725;24.9316725;24.9316725;24.9316725;24.9316725;24.9316725;24.9316725;27.9598542;27.9598542;27.9598542;27.9598542;27.9598542;27.9598542;['p', 'i', 'e', 'r', 'n', 'a'];0;[2.2020554998889565, 2.413690600078553, 2.4804680002853274, 2.535243700258434, 2.666850100271404, 2.761531400028616];pierna;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/310104_REPSWITCH1_version1_list4_2023-12-05_15h16.56.963_micRespv1l4_recorded\recording_micRespv1l4_2023-12-05_15h17.12.934.wav;27.9598542;28.4599766;None;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
REPSWITCH1/PICTURE_498.png;taza;speak;gold;filler;2;F;1;4;4;1;Stim4_Set4;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;28.4599766;29.5226293;29.5226293;29.5226293;29.5226293;29.5226293;29.5226293;29.5226293;29.5226293;32.5507349;32.5507349;32.5507349;32.5507349;32.5507349;32.5507349;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/310104_REPSWITCH1_version1_list4_2023-12-05_15h16.56.963_micRespv1l4_recorded\recording_micRespv1l4_2023-12-05_15h17.17.523.wav;32.5507349;;None;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
REPSWITCH1/PICTURE_19.png;pavo;speak;gold;nontarget;2;NT;1;4;4;1;Stim5_Set1;1;repeat;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;33.0507952;34.1481724;34.1481724;34.1481724;34.1481724;34.1481724;34.1481724;34.1481724;34.1481724;37.1693787;37.1693787;37.1693787;37.1693787;37.1693787;37.1693787;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/310104_REPSWITCH1_version1_list4_2023-12-05_15h16.56.963_micRespv1l4_recorded\recording_micRespv1l4_2023-12-05_15h17.22.147.wav;37.1693787;37.6695624;None;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
REPSWITCH1/PICTURE_19.png;pavo;speak;gold;repeat;2;T;1;4;4;1;Stim5_Set1;0;None;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;37.6695624;38.7321435;38.7321435;38.7321435;38.7321435;38.7321435;38.7321435;38.7321435;38.7321435;41.7602787;41.7602787;41.7602787;41.7602787;41.7602787;41.7602787;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/310104_REPSWITCH1_version1_list4_2023-12-05_15h16.56.963_micRespv1l4_recorded\recording_micRespv1l4_2023-12-05_15h17.26.732.wav;41.7602787;;None;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
REPSWITCH1/PICTURE_319.png;vaca;type;darkblue;filler;1;F;1;4;4;1;Stim1_Set4;1;repeat;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;42.2603624;43.3855749;43.3855749;43.3855749;43.3855749;43.3855749;43.3855749;43.3855749;43.3855749;46.406719;46.406719;46.406719;46.406719;46.406719;46.406719;['v', 'a', 'c', 'a'];0;[1.1070427000522614, 1.2658901000395417, 1.3368906998075545, 1.4409122001379728];vaca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/310104_REPSWITCH1_version1_list4_2023-12-05_15h16.56.963_micRespv1l4_recorded\recording_micRespv1l4_2023-12-05_15h17.31.385.wav;46.406719;46.9067759;None;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
REPSWITCH1/PICTURE_169.png;espalda;speak;gold;nontarget;2;NT;1;4;4;1;Stim8_Set1;1;switch;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;46.9067759;47.9624958;47.9624958;47.9624958;47.9624958;47.9624958;47.9624958;47.9624958;47.9624958;50.990677;50.990677;50.990677;50.990677;50.990677;50.990677;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/310104_REPSWITCH1_version1_list4_2023-12-05_15h16.56.963_micRespv1l4_recorded\recording_micRespv1l4_2023-12-05_15h17.35.962.wav;50.990677;;None;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
REPSWITCH1/PICTURE_169.png;espalda;speak;gold;repeat;2;T;1;4;4;1;Stim8_Set1;0;None;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;51.4907148;52.6159632;52.6159632;52.6159632;52.6159632;52.6159632;52.6159632;52.6159632;52.6159632;55.6370837;55.6370837;55.6370837;55.6370837;55.6370837;55.6370837;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/310104_REPSWITCH1_version1_list4_2023-12-05_15h16.56.963_micRespv1l4_recorded\recording_micRespv1l4_2023-12-05_15h17.40.616.wav;55.6370837;56.1371779;None;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
REPSWITCH1/PICTURE_728.png;pulpo;type;darkblue;filler;1;F;1;4;4;1;Stim8_Set4;0;None;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;56.1371779;57.2553704;57.2553704;57.2553704;57.2553704;57.2553704;57.2553704;57.2553704;57.2553704;60.2835791;60.2835791;60.2835791;60.2835791;60.2835791;60.2835791;['p', 'u', 'l', 'p', 'o'];0;[1.1533479001373053, 1.4822798003442585, 1.681406700052321, 2.01702140038833, 2.1081838002428412];pulpo;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/310104_REPSWITCH1_version1_list4_2023-12-05_15h16.56.963_micRespv1l4_recorded\recording_micRespv1l4_2023-12-05_15h17.45.255.wav;60.2835791;;None;;;;;;310104;1;2023-12-05_15h16.56.963;REPSWITCH1_version1_list4;2022.2.4;143.8919315;
