image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l2.started,keyResp.keys,keyResp.corr,subjResponse,micRespv2l2.clip,textBlankLoop.started,textBlankLoop.stopped,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textboxPause.started,keyPause.started,keyPause.rt,textboxGoodbye.started,textboxGoodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,7.399480300024152,9.896410300396383,9.896410300396383,9.896410300396383,9.896410300396383,space,8.64453380042687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,18.55727280024439,space,2.814172000158578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_646.png,tronco,speak,darkblue,filler,2,F,1,3,2,2,Extra4,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,21.467336000408977,22.51615030039102,22.51615030039102,22.51615030039102,22.51615030039102,22.51615030039102,22.51615030039102,22.51615030039102,22.51615030039102,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h48.39.715.wav,25.537355600390583,26.037418600171804,None,,,,,,,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_340.png,espejo,type,gold,filler,1,F,1,3,2,2,Extra1,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,26.037418600171804,27.238981200382113,27.238981200382113,27.238981200382113,27.238981200382113,27.238981200382113,27.238981200382113,27.238981200382113,27.238981200382113,"['e', 's', 'p', 'e', 'j', 'o']",0,espejo,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h48.44.442.wav,30.26713230041787,,None,30.26713230041787,30.26713230041787,30.26713230041787,30.26713230041787,30.26713230041787,30.26713230041787,"[0.7566633000969887, 0.9386236001737416, 1.0962534002028406, 1.1999013000167906, 1.397156700026244, 1.590871499851346]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_338.png,regalo,speak,darkblue,filler,2,F,1,3,2,2,Stim6_Set4,0,None,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,30.767210300080478,31.941039400175214,31.941039400175214,31.941039400175214,31.941039400175214,31.941039400175214,31.941039400175214,31.941039400175214,31.941039400175214,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h48.49.144.wav,34.96218170039356,35.46227680006996,None,34.96218170039356,34.96218170039356,34.96218170039356,34.96218170039356,34.96218170039356,34.96218170039356,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_142.png,vaso,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim7_Set1,1,repeat,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,35.46227680006996,36.524960700422525,36.524960700422525,36.524960700422525,36.524960700422525,36.524960700422525,36.524960700422525,36.524960700422525,36.524960700422525,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h48.53.728.wav,39.55307000037283,,None,39.55307000037283,39.55307000037283,39.55307000037283,39.55307000037283,39.55307000037283,39.55307000037283,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_142.png,vaso,speak,darkblue,repeat,2,T,1,3,2,2,Stim7_Set1,0,None,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,40.0531355002895,41.2408010000363,41.2408010000363,41.2408010000363,41.2408010000363,41.2408010000363,41.2408010000363,41.2408010000363,41.2408010000363,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h48.58.443.wav,44.2620749999769,44.76207520021126,None,44.2620749999769,44.2620749999769,44.2620749999769,44.2620749999769,44.2620749999769,44.2620749999769,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_498.png,taza,type,gold,filler,1,F,1,3,2,2,Stim4_Set4,0,None,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,44.76207520021126,45.84554880019277,45.84554880019277,45.84554880019277,45.84554880019277,45.84554880019277,45.84554880019277,45.84554880019277,45.84554880019277,"['t', 'a', 'z', 'a']",0,taza,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.03.048.wav,48.866813000291586,49.366864799987525,None,48.866813000291586,48.866813000291586,48.866813000291586,48.866813000291586,48.866813000291586,48.866813000291586,"[0.9357655998319387, 1.0164922000840306, 1.205110200215131, 1.3845374998636544]",,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_16.png,cazador,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim6_Set1,1,switch,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,49.366864799987525,50.505907400045544,50.505907400045544,50.505907400045544,50.505907400045544,50.505907400045544,50.505907400045544,50.505907400045544,50.505907400045544,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.07.709.wav,53.52709150034934,54.02718930039555,None,53.52709150034934,53.52709150034934,53.52709150034934,53.52709150034934,53.52709150034934,53.52709150034934,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
REPSWITCH1/PICTURE_16.png,cazador,speak,darkblue,repeat,2,T,1,3,2,2,Stim6_Set1,0,None,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,54.02718930039555,55.14540870022029,55.14540870022029,55.14540870022029,55.14540870022029,55.14540870022029,55.14540870022029,55.14540870022029,55.14540870022029,None,0,,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/360202_REPSWITCH1_version2_list2_2023-12-12_17h48.19.720_micRespv2l2_recorded\recording_micRespv2l2_2023-12-12_17h49.12.348.wav,58.166632800363004,58.66672130022198,None,58.166632800363004,58.166632800363004,58.166632800363004,58.166632800363004,58.166632800363004,58.166632800363004,,,,,,,360202,001,2023-12-12_17h48.19.720,REPSWITCH1_version2_list2,2022.2.4,143.92900283109668,
