image,correctAns,respModal,frameColor,modalSymb,repSwitch,sequence,target,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textWelcomePractice.started,textBlank500.started,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,textCue.started,polygonCol.started,polygonWh.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,micPractice.started,micPractice.stopped,keyPractice.keys,keyPractice.corr,subjResponse,micPractice.clip,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.697365100000752,18.69419580000249,19.195091600002343,19.195091600002343,space,1.686298500000703,,,,,,,,,,,,,,,,,4,001,2023-06-19_13h56.17.676,REPSWITCH_1_Practice,2022.2.5,60.521916801215646,
REPSWITCH1_Practice/PICTURE_612.png,rana,speak,yellow,REPSWITCH1_Practice/lips.png,nontarget,2,NT,0,0,0,0,,25.559041500000603,,,,,21.458357600000454,21.458357600000454,22.626046100001986,22.626046100001986,22.626046100001986,22.626046100001986,22.626046100001986,22.626046100001986,22.626046100001986,22.626046100001986,0.007277500000782311,2.083249600000272,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h56.17.676_micPractice_recorded\recording_micPractice_2023-06-19_13h56.32.741.wav,4,001,2023-06-19_13h56.17.676,REPSWITCH_1_Practice,2022.2.5,60.521916801215646,
REPSWITCH1_Practice/PICTURE_612.png,rana,speak,yellow,REPSWITCH1_Practice/lips.png,repeat,2,T,0,1,1,1,,30.173840499999642,,,,,,26.058772299998964,27.191630299999815,27.191630299999815,27.191630299999815,27.191630299999815,27.191630299999815,27.191630299999815,27.191630299999815,27.191630299999815,0.01012329999866779,2.045960399998876,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h56.17.676_micPractice_recorded\recording_micPractice_2023-06-19_13h56.37.356.wav,4,001,2023-06-19_13h56.17.676,REPSWITCH_1_Practice,2022.2.5,60.521916801215646,
REPSWITCH1_Practice/PICTURE_599.png,nube,type,blue,REPSWITCH1_Practice/keyboard.png,filler,1,F,0,2,2,2,,34.80661770000006,,,,,,30.658855500001664,31.84062840000115,31.84062840000115,31.84062840000115,31.84062840000115,31.84062840000115,31.84062840000115,31.84062840000115,31.84062840000115,0.057548600001609884,2.0667907999995805,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h56.17.676_micPractice_recorded\recording_micPractice_2023-06-19_13h56.41.988.wav,4,001,2023-06-19_13h56.17.676,REPSWITCH_1_Practice,2022.2.5,60.521916801215646,
REPSWITCH1_Practice/PICTURE_110.png,mesa,speak,yellow,REPSWITCH1_Practice/lips.png,nontarget,2,NT,0,3,3,3,,39.537283699999534,,,,,,35.29136080000171,36.57409770000231,36.57409770000231,36.57409770000231,36.57409770000231,36.57409770000231,36.57409770000231,36.57409770000231,36.57409770000231,0.035601100000349106,2.0499836999988474,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h56.17.676_micPractice_recorded\recording_micPractice_2023-06-19_13h56.46.719.wav,4,001,2023-06-19_13h56.17.676,REPSWITCH_1_Practice,2022.2.5,60.521916801215646,
REPSWITCH1_Practice/PICTURE_110.png,mesa,speak,yellow,REPSWITCH1_Practice/lips.png,repeat,1,T,0,4,4,4,,44.21975849999944,,,,,,40.038730000000214,41.17262639999899,41.17262639999899,41.17262639999899,41.17262639999899,41.17262639999899,41.17262639999899,41.17262639999899,41.17262639999899,0.004801300001417985,2.0011000000013155,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h56.17.676_micPractice_recorded\recording_micPractice_2023-06-19_13h56.51.386.wav,4,001,2023-06-19_13h56.17.676,REPSWITCH_1_Practice,2022.2.5,60.521916801215646,
REPSWITCH1_Practice/PICTURE_570.png,toro,type,blue,REPSWITCH1_Practice/keyboard.png,filler,1,F,0,5,5,5,,48.85227560000203,,,,,,44.68701470000087,45.93656330000158,45.93656330000158,45.93656330000158,45.93656330000158,45.93656330000158,45.93656330000158,45.93656330000158,45.93656330000158,0.11522719999993569,2.119001199997001,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h56.17.676_micPractice_recorded\recording_micPractice_2023-06-19_13h56.56.034.wav,4,001,2023-06-19_13h56.17.676,REPSWITCH_1_Practice,2022.2.5,60.521916801215646,
REPSWITCH1_Practice/PICTURE_12.png,sirena,speak,yellow,REPSWITCH1_Practice/lips.png,nontarget,1,NT,0,6,6,6,,53.41812299999947,,,,,,49.32179410000026,50.536856499998976,50.536856499998976,50.536856499998976,50.536856499998976,50.536856499998976,50.536856499998976,50.536856499998976,50.536856499998976,0.11956819999977597,2.14745259999836,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h56.17.676_micPractice_recorded\recording_micPractice_2023-06-19_13h57.00.615.wav,4,001,2023-06-19_13h56.17.676,REPSWITCH_1_Practice,2022.2.5,60.521916801215646,
REPSWITCH1_Practice/PICTURE_12.png,sirena,type,blue,REPSWITCH1_Practice/keyboard.png,switch,2,T,0,7,7,7,,58.185224000000744,,,,,,53.91917640000247,55.202689600002486,55.202689600002486,55.202689600002486,55.202689600002486,55.202689600002486,55.202689600002486,55.202689600002486,55.202689600002486,0.010243699998682132,2.0324103999992076,None,0,,D:\GitHub\experiment1\data/4_REPSWITCH_1_Practice_2023-06-19_13h56.17.676_micPractice_recorded\recording_micPractice_2023-06-19_13h57.05.381.wav,4,001,2023-06-19_13h56.17.676,REPSWITCH_1_Practice,2022.2.5,60.521916801215646,
,,,,,,,,,,,,,,,,,,,58.6879028000003,60.035811800000374,60.035811800000374,60.035811800000374,60.035811800000374,60.035811800000374,60.035811800000374,60.035811800000374,60.035811800000374,0.11744610000096145,,,,,,,,,,,,
