image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.started,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l4.started,keyResp.keys,keyResp.corr,subjResponse,micRespv2l4.clip,textBlankLoop.started,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,textBlankLoop.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,5.063147500000014,7.5651035000000775,7.5651035000000775,7.5651035000000775,7.5651035000000775,space,0.49866959999963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,8.087076599999818,space,0.4082539999999426,,,,,,,,,,,,,,,,,,,,,,,,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
REPSWITCH1/PICTURE_8.png,pierna,type,gold,filler,1,F,1,4,4,2,Stim3_Set4,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,8.503609699999743,9.099626499999886,10.188008399999944,10.188008399999944,10.188008399999944,10.188008399999944,10.188008399999944,10.188008399999944,10.188008399999944,0.0052664999998341955,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/771846_REPSWITCH1_version2_list4_2023-09-15_12h47.37.674_micRespv2l4_recorded\recording_micRespv2l4_2023-09-15_12h47.47.504.wav,13.212055999999848,None,,,,,,,,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
REPSWITCH1/PICTURE_498.png,taza,speak,darkblue,filler,2,F,1,4,4,2,Stim4_Set4,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,13.715281199999936,14.767101999999795,14.767101999999795,14.767101999999795,14.767101999999795,14.767101999999795,14.767101999999795,14.767101999999795,0.0013054999999440042,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/771846_REPSWITCH1_version2_list4_2023-09-15_12h47.37.674_micRespv2l4_recorded\recording_micRespv2l4_2023-09-15_12h47.52.095.wav,17.802983099999892,None,17.802983099999892,17.802983099999892,17.802983099999892,17.802983099999892,17.802983099999892,17.802983099999892,,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
REPSWITCH1/PICTURE_19.png,pavo,speak,darkblue,nontarget,2,NT,1,4,4,2,Stim5_Set1,1,repeat,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,18.30207530000007,19.418357500000184,19.418357500000184,19.418357500000184,19.418357500000184,19.418357500000184,19.418357500000184,19.418357500000184,0.0018232000002171844,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/771846_REPSWITCH1_version2_list4_2023-09-15_12h47.37.674_micRespv2l4_recorded\recording_micRespv2l4_2023-09-15_12h47.56.736.wav,22.44242919999988,None,22.44242919999988,22.44242919999988,22.44242919999988,22.44242919999988,22.44242919999988,22.44242919999988,22.942263099999764,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
REPSWITCH1/PICTURE_19.png,pavo,speak,darkblue,repeat,2,T,1,4,4,2,Stim5_Set1,0,None,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,22.942263099999764,24.01689469999974,24.01689469999974,24.01689469999974,24.01689469999974,24.01689469999974,24.01689469999974,24.01689469999974,0.0018052000000352564,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/771846_REPSWITCH1_version2_list4_2023-09-15_12h47.37.674_micRespv2l4_recorded\recording_micRespv2l4_2023-09-15_12h48.01.334.wav,27.04095989999996,None,27.04095989999996,27.04095989999996,27.04095989999996,27.04095989999996,27.04095989999996,27.04095989999996,,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
REPSWITCH1/PICTURE_319.png,vaca,type,gold,filler,1,F,1,4,4,2,Stim1_Set4,1,repeat,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,27.5440908999999,28.587717800000064,28.587717800000064,28.587717800000064,28.587717800000064,28.587717800000064,28.587717800000064,28.587717800000064,0.0013436999997793464,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/771846_REPSWITCH1_version2_list4_2023-09-15_12h47.37.674_micRespv2l4_recorded\recording_micRespv2l4_2023-09-15_12h48.05.905.wav,31.612466799999765,None,31.612466799999765,31.612466799999765,31.612466799999765,31.612466799999765,31.612466799999765,31.612466799999765,32.111565600000176,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
REPSWITCH1/PICTURE_169.png,espalda,speak,darkblue,nontarget,2,NT,1,4,4,2,Stim8_Set1,1,switch,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,32.111565600000176,33.17793960000017,33.17793960000017,33.17793960000017,33.17793960000017,33.17793960000017,33.17793960000017,33.17793960000017,0.0012790999999197084,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/771846_REPSWITCH1_version2_list4_2023-09-15_12h47.37.674_micRespv2l4_recorded\recording_micRespv2l4_2023-09-15_12h48.10.496.wav,36.20193470000004,None,,,,,,,36.701768399999764,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
REPSWITCH1/PICTURE_169.png,espalda,speak,darkblue,repeat,2,T,1,4,4,2,Stim8_Set1,0,None,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,36.701768399999764,37.79933140000003,37.79933140000003,37.79933140000003,37.79933140000003,37.79933140000003,37.79933140000003,37.79933140000003,0.001273700000183453,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/771846_REPSWITCH1_version2_list4_2023-09-15_12h47.37.674_micRespv2l4_recorded\recording_micRespv2l4_2023-09-15_12h48.15.114.wav,40.819905199999994,None,,,,,,,41.319738400000006,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
REPSWITCH1/PICTURE_728.png,pulpo,type,gold,filler,1,F,1,4,4,2,Stim8_Set4,0,None,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,41.319738400000006,42.42863720000014,42.42863720000014,42.42863720000014,42.42863720000014,42.42863720000014,42.42863720000014,42.42863720000014,0.0013309000000845117,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/771846_REPSWITCH1_version2_list4_2023-09-15_12h47.37.674_micRespv2l4_recorded\recording_micRespv2l4_2023-09-15_12h48.19.740.wav,45.446242399999846,None,,,,,,,45.946038000000044,771846,001,2023-09-15_12h47.37.674,REPSWITCH1_version2_list4,2022.2.4,359.93621930208434,
