image,correctAns,respModal,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,fixationITI.started,fixationITI.stopped,imageObject.started,textbox.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,16.47279985237401,18.36353646343923,18.892273414268857,18.892273414268857,space,10.866260309325298,,,,,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_1.png,ratón,speak,nontarget,2,NT,Stim1_Set1,0,0,0,0,,34.82299473541207,,,,,30.51615107926773,32.05961605304037,32.05961605304037,32.05961605304037,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_1.png,ratón,speak,repeat,2,T,Stim1_Set1,0,1,1,1,,39.507346192753175,,,,,35.31684654619312,36.5208264173998,36.5208264173998,36.5208264173998,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_599.png,nube,type,filler,1,F,Stim1_Set3,0,2,2,2,,44.323924725933466,,,,,40.00040958635509,41.3734597794828,41.3734597794828,41.3734597794828,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_110.png,mesa,speak,nontarget,2,NT,Stim2_Set1,0,3,3,3,,49.25293642672477,,,,,44.83075100273709,46.349305899988394,46.349305899988394,46.349305899988394,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_110.png,mesa,speak,repeat,2,T,Stim2_Set1,0,4,4,4,,54.11679020975134,,,,,49.75769817340188,51.15768782389932,51.15768782389932,51.15768782389932,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_610.png,miel,type,filler,1,F,Stim2_Set3,0,5,5,5,,58.81770086818142,,,,,54.65071655646898,55.91363829860347,55.91363829860347,55.91363829860347,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_12.png,sirena,speak,nontarget,2,NT,Stim3_Set1,0,6,6,6,,63.84781791517162,,,,,59.317764820269076,60.93371535357437,60.93371535357437,60.93371535357437,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_12.png,sirena,type,switch,1,T,Stim3_Set1,0,7,7,7,,68.50529972545337,,,,,64.3446530183428,65.53768975712592,65.53768975712592,65.53768975712592,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_128.png,muñeca,type,nontarget,1,NT,Stim4_Set1,0,8,8,8,,73.17865093282307,,,,,68.96020470530493,70.26083963739802,70.26083963739802,70.26083963739802,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_128.png,muñeca,speak,switch,2,T,Stim4_Set1,0,9,9,9,,77.83277550173807,,,,,73.67400879121851,74.82103028302663,74.82103028302663,74.82103028302663,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_614.png,reina,speak,filler,2,F,Stim3_Set3,0,10,10,10,,82.49086607745267,,,,,78.32842968782643,79.54524928628234,79.54524928628234,79.54524928628234,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_141.png,girasol,speak,nontarget,2,NT,Stim5_Set1,0,11,11,11,,87.19079304512707,,,,,82.9913952689094,84.2671337936481,84.2671337936481,84.2671337936481,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
REPSWITCH1/PICTURE_141.png,girasol,type,switch,1,T,Stim5_Set1,0,12,12,12,,91.97425708160154,,,,,87.68526826685411,88.95872550780769,88.95872550780769,88.95872550780769,792122,001,2023-04-26_12h59.25.399,REPSWITCH_1,2022.2.5,32.19056539203476,
,,,,,,,,,,,,,,,,,92.49821519930265,93.85673801312805,93.85673801312805,93.85673801312805,,,,,,,
