image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,block,list,exp_version,stimulus,baseline,baseline_condition,trial_no,psychopy_trial,Column1,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.started,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micRespv2l2.started,keyResp.keys,keyResp.corr,subjResponse,micRespv2l2.clip,textBlankLoop.started,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textBlankLoop.stopped,textboxPause.started,keyPause.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,5.083350399999745,7.5787938999997095,7.5787938999997095,7.5787938999997095,7.5787938999997095,space,2.046887500000139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,9.644507900000008,space,1.9172124000001531,,,,,,,,,,,,,,,,,,,,,,,,,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_646.png,tronco,speak,darkblue,filler,2,F,1,3,2,2,Extra4,0,None,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,11.5701282,12.160938499999702,13.28776949999974,13.28776949999974,13.28776949999974,13.28776949999974,13.28776949999974,13.28776949999974,13.28776949999974,0.005312899999807996,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h42.28.787.wav,16.311822799999845,None,,,,,,,,,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_340.png,espejo,type,gold,filler,1,F,1,3,2,2,Extra1,0,None,2,1,2,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,16.811624200000097,17.886261399999967,17.886261399999967,17.886261399999967,17.886261399999967,17.886261399999967,17.886261399999967,17.886261399999967,0.0016746999999668333,"['e', 's', 'p', 'e', 'j', 'o']",0,espejo,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h42.33.388.wav,20.910487799999828,None,20.910487799999828,20.910487799999828,20.910487799999828,20.910487799999828,20.910487799999828,20.910487799999828,"[0.8110295000001315, 1.0990697000002, 1.3228042000000642, 1.722778400000152, 1.8045821999999134, 1.8988161000002037]",21.410160099999757,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_338.png,regalo,speak,darkblue,filler,2,F,1,3,2,2,Stim6_Set4,0,None,3,2,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,21.410160099999757,22.545906999999715,22.545906999999715,22.545906999999715,22.545906999999715,22.545906999999715,22.545906999999715,22.545906999999715,0.0015118000001166365,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h42.38.046.wav,25.569958900000074,None,25.569958900000074,25.569958900000074,25.569958900000074,25.569958900000074,25.569958900000074,25.569958900000074,,26.069786199999726,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_142.png,vaso,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim7_Set1,1,repeat,4,3,4,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,26.069786199999726,27.18886059999977,27.18886059999977,27.18886059999977,27.18886059999977,27.18886059999977,27.18886059999977,27.18886059999977,0.0015680000001339067,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h42.42.690.wav,30.215693999999985,None,30.215693999999985,30.215693999999985,30.215693999999985,30.215693999999985,30.215693999999985,30.215693999999985,,30.715521199999785,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_142.png,vaso,speak,darkblue,repeat,2,T,1,3,2,2,Stim7_Set1,0,None,5,4,5,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,30.715521199999785,31.815163599999778,31.815163599999778,31.815163599999778,31.815163599999778,31.815163599999778,31.815163599999778,31.815163599999778,0.0012722000001303968,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h42.47.316.wav,34.83923619999996,None,34.83923619999996,34.83923619999996,34.83923619999996,34.83923619999996,34.83923619999996,34.83923619999996,,35.339053499999864,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_498.png,taza,type,gold,filler,1,F,1,3,2,2,Stim4_Set4,0,None,6,5,6,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,35.339053499999864,36.42815990000008,36.42815990000008,36.42815990000008,36.42815990000008,36.42815990000008,36.42815990000008,36.42815990000008,0.0013265000002320448,"['t', 'z', 'a']",0,tza,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h42.51.925.wav,39.448891699999876,None,,,,,,,"[0.8770615999997062, 1.6454220000000532, 2.0933027999999467]",39.94869489999974,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_16.png,cazador,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim6_Set1,1,switch,7,6,7,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,39.94869489999974,41.02683109999998,41.02683109999998,41.02683109999998,41.02683109999998,41.02683109999998,41.02683109999998,41.02683109999998,0.0015490000000681903,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h42.56.521.wav,44.044583299999886,None,,,,,,,,44.544443299999784,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_16.png,cazador,speak,darkblue,repeat,2,T,1,3,2,2,Stim6_Set1,0,None,8,7,8,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,44.544443299999784,45.614318399999775,45.614318399999775,45.614318399999775,45.614318399999775,45.614318399999775,45.614318399999775,45.614318399999775,0.0016209000000344531,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h43.01.111.wav,48.634968299999855,None,,,,,,,,49.13465529999985,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_719.png,baño,type,gold,filler,1,F,1,3,2,2,Stim2_Set4,0,None,9,8,9,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,49.13465529999985,50.237235600000076,50.237235600000076,50.237235600000076,50.237235600000076,50.237235600000076,50.237235600000076,50.237235600000076,0.0018471000003046356,"['b', 'a', 'n', 'o']",0,bano,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h43.05.737.wav,53.260998299999756,None,,,,,,,"[1.0367371000002095, 1.147859800000333, 1.3244763000002422, 1.6286901000003127]",53.76095829999986,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_169.png,espalda,speak,darkblue,nontarget,2,NT,1,3,2,2,Stim8_Set1,0,None,10,9,10,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,53.76095829999986,54.827709700000014,54.827709700000014,54.827709700000014,54.827709700000014,54.827709700000014,54.827709700000014,54.827709700000014,0.0013663000004271453,None,0,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h43.10.326.wav,57.84855440000001,None,,,,,,,,58.348387,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_169.png,espalda,type,gold,switch,1,T,1,3,2,2,Stim8_Set1,0,None,11,10,11,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,58.348387,59.45640749999984,59.45640749999984,59.45640749999984,59.45640749999984,59.45640749999984,59.45640749999984,59.45640749999984,0.001287300000058167,"['e', 's', 'p', 'a', 'k', 'backspace', 'l', 'd', 'a']",0,espalda,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h43.14.957.wav,62.480418599999666,None,62.480418599999666,62.480418599999666,62.480418599999666,62.480418599999666,62.480418599999666,62.480418599999666,"[0.6334488000002239, 0.8414628999998968, 1.048995300000115, 1.1930551000000378, 1.3853828999999678, 1.897187699999904, 2.13720850000027, 2.2651905000002444, 2.3451820999998745]",62.980247299999974,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_687.png,camisa,type,gold,filler,1,F,1,3,2,2,Stim5_Set4,0,None,12,11,12,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,62.980247299999974,64.04380429999992,64.04380429999992,64.04380429999992,64.04380429999992,64.04380429999992,64.04380429999992,64.04380429999992,0.0013503999998647487,"['c', 'a', 'm', 'i', 's', 'a']",0,camisa,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h43.19.554.wav,67.07912880000003,None,67.07912880000003,67.07912880000003,67.07912880000003,67.07912880000003,67.07912880000003,67.07912880000003,"[1.1017066000003979, 1.3419143000000986, 1.5817367000004197, 1.6618254000004526, 1.757805400000052, 1.8217665000001944]",,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
REPSWITCH1/PICTURE_178.png,puente,type,gold,nontarget,1,NT,1,3,2,2,Stim1_Set1,1,repeat,13,12,13,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,67.57878829999981,68.68953839999995,68.68953839999995,68.68953839999995,68.68953839999995,68.68953839999995,68.68953839999995,68.68953839999995,0.0013379000001805252,"['p', 'u', 'e', 'n', 't', 'e']",0,puente,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/818706_REPSWITCH1_version2_list2_2023-09-15_12h42.15.779_micRespv2l2_recorded\recording_micRespv2l2_2023-09-15_12h43.24.190.wav,71.71375809999972,None,71.71375809999972,71.71375809999972,71.71375809999972,71.71375809999972,71.71375809999972,71.71375809999972,"[1.3675660000003518, 1.5917654000004404, 1.7362083000002713, 1.8321126000000731, 1.9440854000004038, 2.008094600000277]",72.21341660000007,,,818706,001,2023-09-15_12h42.15.779,REPSWITCH1_version2_list2,2022.2.4,359.99971200065676,
