image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,subjResponse,micResp.clip,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,keyResp.rt,textBlank500.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,22.006225600023754,24.50667449994944,25.01907239994034,25.01907239994034,25.01907239994034,25.01907239994034,space,1.5082896000239998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
,,,,,,,,,,,,,,,,,,,,,,,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,26.584860599949025,space,5.63315730006434,,,,,,,,,,,,,,,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,nontarget,2,NT,1,Stim1_Set1,1,0,0,0,0,0,,38.26511419995222,,,,,,,,,,,,,,,,,,,,,,33.11645450000651,34.73440009995829,34.73440009995829,34.73440009995829,34.73440009995829,34.73440009995829,34.73440009995829,34.73440009995829,0.26050680002663285,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h34.53.918.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_178.png,puente,speak,gold,repeat,2,T,1,Stim1_Set1,2,1,0,1,1,1,,42.99767359998077,,,,,,,,,,,,,,,,,,,,,,38.75564210000448,39.9160868000472,39.9160868000472,39.9160868000472,39.9160868000472,39.9160868000472,39.9160868000472,39.9160868000472,0.003818199969828129,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h34.59.316.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_319.png,vaca,type,darkblue,filler,1,F,1,Stim1_Set4,3,2,0,2,2,2,,47.91669109999202,,,,,,,,,,,,,,,,,,,,,,43.50231599994004,44.6985114000272,44.6985114000272,44.6985114000272,44.6985114000272,44.6985114000272,44.6985114000272,44.6985114000272,0.060979199944995344,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.04.142.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_142.png,vaso,speak,gold,nontarget,2,NT,1,Stim2_Set1,4,3,0,3,3,3,,53.133233699947596,,,,,,,,,,,,,,,,,,,,,,48.41966599994339,49.93061050004326,49.93061050004326,49.93061050004326,49.93061050004326,49.93061050004326,49.93061050004326,49.93061050004326,0.2809030000353232,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.09.167.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_142.png,vaso,speak,gold,repeat,2,T,1,Stim2_Set1,5,4,0,4,4,4,,58.04413679998834,,,,,,,,,,,,,,,,,,,,,,53.64735580002889,54.77967990003526,54.77967990003526,54.77967990003526,54.77967990003526,54.77967990003526,54.77967990003526,54.77967990003526,0.0036320999497547746,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.14.388.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_719.png,baño,type,darkblue,filler,1,F,1,Stim2_Set4,6,5,0,5,5,5,,62.81262510002125,,,,,,,,,,,,,,,,,,,,,,58.55057079996914,59.93091929994989,59.93091929994989,59.93091929994989,59.93091929994989,59.93091929994989,59.93091929994989,59.93091929994989,0.29005599999800324,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.19.131.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_135.png,traje,speak,gold,nontarget,2,NT,1,Stim3_Set1,7,6,0,6,6,6,,67.7611422999762,,,,,,,,,,,,,,,,,,,,,,63.33785909996368,64.66397200000938,64.66397200000938,64.66397200000938,64.66397200000938,64.66397200000938,64.66397200000938,64.66397200000938,0.13273760001175106,None,0,,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.24.014.wav,None,,,,,,,,,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
REPSWITCH1/PICTURE_135.png,traje,type,darkblue,switch,1,T,1,Stim3_Set1,8,7,0,7,7,7,,72.59314010001253,,,,,,,,,,,,,,,,,,,,,,68.27686650003307,69.42930019996129,69.42930019996129,69.42930019996129,69.42930019996129,69.42930019996129,69.42930019996129,69.42930019996129,0.0034494000719860196,"['t', 'r', 'a', 'j', 'e']",0,traje,D:\GitHub\experiment1\data/837976_REPSWITCH1_v2022.2.4_2023-07-17_10h34.27.142_micResp_recorded\recording_micResp_2023-07-17_10h35.28.919.wav,None,72.59314010001253,72.59314010001253,72.59314010001253,72.59314010001253,72.59314010001253,72.59314010001253,"[0.9118968000402674, 1.0171784000704065, 1.2153626000508666, 1.3048038000706583, 1.4122032000450417]",73.09973829996306,837976,001,2023-07-17_10h34.27.142,REPSWITCH1_v2022.2.4,2022.2.4,60.044156459386414,
