image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;textBlank500.started;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l4.started;keyResp.keys;keyResp.corr;subjResponse;micRespv1l4.clip;textBlankLoop.started;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;textBlankLoop.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
;;;;;;;;;;;;;;;;;;;;;4.75262E+15;7.25331E+14;7.25331E+14;7.25331E+14;7.25331E+14;space;8.32656E+15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;8.10302E+15;space;1.61469E+16;;;;;;;;;;;;;;;;;;;;;;;;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
REPSWITCH1/PICTURE_8.png;pierna;type;darkblue;filler;1;F;1;4;4;1;Stim3_Set4;0;None;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;9.73364E+15;1.03212E+16;1.14763E+16;1.14763E+16;1.14763E+16;1.14763E+16;1.14763E+16;1.14763E+16;1.14763E+16;4.9352E+15;None;0;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/920504_REPSWITCH1_version1_list4_2023-09-15_12h40.13.131_micRespv1l4_recorded\recording_micRespv1l4_2023-09-15_12h40.24.662.wav;1.45033E+15;None;;;;;;;;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
REPSWITCH1/PICTURE_498.png;taza;speak;gold;filler;2;F;1;4;4;1;Stim4_Set4;0;None;2;1;2;0;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;1.50031E+16;1.60138E+16;1.60138E+16;1.60138E+16;1.60138E+16;1.60138E+16;1.60138E+16;1.60138E+16;1.3041E+14;None;0;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/920504_REPSWITCH1_version1_list4_2023-09-15_12h40.13.131_micRespv1l4_recorded\recording_micRespv1l4_2023-09-15_12h40.29.208.wav;1.9049E+16;None;1.9049E+16;1.9049E+16;1.9049E+16;1.9049E+16;1.9049E+16;1.9049E+16;1.95488E+15;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
REPSWITCH1/PICTURE_19.png;pavo;speak;gold;nontarget;2;NT;1;4;4;1;Stim5_Set1;1;repeat;3;2;3;0;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;1.95488E+15;2.05774E+14;2.05774E+14;2.05774E+14;2.05774E+14;2.05774E+14;2.05774E+14;2.05774E+14;1.756E+16;None;0;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/920504_REPSWITCH1_version1_list4_2023-09-15_12h40.13.131_micRespv1l4_recorded\recording_micRespv1l4_2023-09-15_12h40.33.755.wav;2.35948E+16;None;;;;;;;2.40946E+16;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
REPSWITCH1/PICTURE_19.png;pavo;speak;gold;repeat;2;T;1;4;4;1;Stim5_Set1;0;None;4;3;4;0;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;2.40946E+16;2.51534E+16;2.51534E+16;2.51534E+16;2.51534E+16;2.51534E+16;2.51534E+16;2.51534E+16;1.707E+16;None;0;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/920504_REPSWITCH1_version1_list4_2023-09-15_12h40.13.131_micRespv1l4_recorded\recording_micRespv1l4_2023-09-15_12h40.38.332.wav;2.81711E+15;None;;;;;;;2.86709E+16;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
REPSWITCH1/PICTURE_319.png;vaca;type;darkblue;filler;1;F;1;4;4;1;Stim1_Set4;1;repeat;5;4;5;0;4;4;4;;;;;;;;;;;;;;;;;;;;;;;;2.86709E+16;2.9766E+16;2.9766E+16;2.9766E+16;2.9766E+16;2.9766E+16;2.9766E+16;2.9766E+16;1.6797E+16;None;0;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/920504_REPSWITCH1_version1_list4_2023-09-15_12h40.13.131_micRespv1l4_recorded\recording_micRespv1l4_2023-09-15_12h40.42.945.wav;3.27834E+14;None;;;;;;;3.32834E+15;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
REPSWITCH1/PICTURE_169.png;espalda;speak;gold;nontarget;2;NT;1;4;4;1;Stim8_Set1;1;switch;6;5;6;0;5;5;5;;;;;;;;;;;;;;;;;;;;;;;;3.32834E+15;34353071;34353071;34353071;34353071;34353071;34353071;34353071;1.2975E+16;None;0;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/920504_REPSWITCH1_version1_list4_2023-09-15_12h40.13.131_micRespv1l4_recorded\recording_micRespv1l4_2023-09-15_12h40.47.535.wav;3.73765E+16;None;;;;;;;;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
REPSWITCH1/PICTURE_169.png;espalda;speak;gold;repeat;2;T;1;4;4;1;Stim8_Set1;0;None;7;6;7;0;6;6;6;;;;;;;;;;;;;;;;;;;;;;;;3.78763E+15;3.89323E+15;3.89323E+15;3.89323E+15;3.89323E+15;3.89323E+15;3.89323E+15;3.89323E+15;1.3785E+16;None;0;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/920504_REPSWITCH1_version1_list4_2023-09-15_12h40.13.131_micRespv1l4_recorded\recording_micRespv1l4_2023-09-15_12h40.52.114.wav;4.19528E+16;None;;;;;;;4.24528E+15;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
REPSWITCH1/PICTURE_728.png;pulpo;type;darkblue;filler;1;F;1;4;4;1;Stim8_Set4;0;None;8;7;8;0;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;4.24528E+15;4.35141E+15;4.35141E+15;4.35141E+15;4.35141E+15;4.35141E+15;4.35141E+15;4.35141E+15;1.3612E+15;None;0;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/920504_REPSWITCH1_version1_list4_2023-09-15_12h40.13.131_micRespv1l4_recorded\recording_micRespv1l4_2023-09-15_12h40.56.693.wav;4.65319E+15;None;;;;;;;4.70318E+15;920504;1;2023-09-15_12h40.13.131;REPSWITCH1_version1_list4;202224;3.59953E+15;
