image;correctAns;respModal;frameColour;repSwitch;sequence;target;stimulus;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textBlank500.started;textInstructions.started;keyInstructions.started;keyInstructions.keys;keyInstructions.rt;textBlank500.stopped;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;textInput.started;keyResp.started;micResp.started;keyResp.keys;keyResp.rt;subjResponse;micResp.clip;participant;session;date;expName;psychopyVersion;frameRate;Column1
;;;;;;;;;;;;1,79429E+15;1,99266E+16;2,04271E+16;2,04271E+16;space;3,93235E+15;;;;;;;;;;;;;;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
REPSWITCH1/PICTURE_1.png;ratón;speak;red;nontarget;2;NT;Stim1_Set1;0;0;0;0;;2,43234E+15;;;;;2,1491E+15;2,1491E+15;2,27082E+16;2,27082E+16;2,27082E+16;2,27082E+16;2,27082E+16;2,27082E+16;1,65845E+16;['r', 'a', 't', 'o', 'n'];[0.705764199999976, 0.7964050000009593, 0.9372292000043672, 0.9643147000024328, 1.0973496999940835, 1.576465799997095];raton;D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-07_18h53.35.109_micResp_recorded\recording_micResp_2023-05-07_18h53.48.705.wav;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
REPSWITCH1/PICTURE_1.png;ratón;speak;red;repeat;2;T;Stim1_Set1;0;1;1;1;;2,90049E+16;;;;;;2,48255E+16;2,59749E+15;2,59749E+15;2,59749E+15;2,59749E+15;2,59749E+15;2,59749E+15;2,8827E+16;['r', 'a', 'o', 't', 'n'];[0.5449683999904664, 0.6161341999977594, 0.9849784999969415, 1.108378899996751, 1.397032599998056];raotn;D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-07_18h53.35.109_micResp_recorded\recording_micResp_2023-05-07_18h53.53.370.wav;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
REPSWITCH1/PICTURE_599.png;nube;type;blue;filler;1;F;Stim1_Set3;0;2;2;2;;3,20043E+16;;;;;;2,94899E+16;3,07062E+15;3,07062E+15;3,07062E+15;3,07062E+15;3,07062E+15;3,07062E+15;7,3491E+15;['c', 'l', 'o', 'u', 'd'];[0.6547854999953415, 0.7413571000070078, 0.9130618000053801, 1.0225495000049705, 1.0826058999955421, 1.2674435000080848];cloud;D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-07_18h53.35.109_micResp_recorded\recording_micResp_2023-05-07_18h53.56.386.wav;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
REPSWITCH1/PICTURE_110.png;mesa;speak;red;nontarget;2;NT;Stim2_Set1;0;3;3;3;;3,45875E+15;;;;;;3,25071E+15;3,36564E+15;3,36564E+15;3,36564E+15;3,36564E+15;3,36564E+15;3,36564E+15;1,13646E+16;['m', 'e', 's', 'a'];[0.44351289999030996, 0.5431817999924533, 0.7260206999926595, 0.7830601000023307, 0.893802799997502];mesa;D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-07_18h53.35.109_micResp_recorded\recording_micResp_2023-05-07_18h53.58.972.wav;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
REPSWITCH1/PICTURE_110.png;mesa;speak;red;repeat;2;T;Stim2_Set1;0;4;4;4;;3,71031E+15;;;;;3,76048E+15;3,50895E+15;3,61396E+15;3,61396E+15;3,61396E+15;3,61396E+15;3,61396E+15;3,61396E+15;9,5475E+14;['m', 'e', 's', 'a'];[0.43672510000760667, 0.6139012000057846, 0.7420163000060711, 0.8395714000071166, 0.9102134000131628];mesa;D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-07_18h53.35.109_micResp_recorded\recording_micResp_2023-05-07_18h54.01.491.wav;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
REPSWITCH1/PICTURE_610.png;miel;type;blue;filler;1;F;Stim2_Set3;0;5;5;5;;4,00858E+15;;;;;;3,76048E+15;3,88557E+16;3,88557E+16;3,88557E+16;3,88557E+16;3,88557E+16;3,88557E+16;4,6852E+15;['m', 'i', 'e', 'l'];[0.6428524000075413, 0.8185073000058765, 0.9185893999965629, 1.0513402000069618, 1.1994259000057355];miel;D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-07_18h53.35.109_micResp_recorded\recording_micResp_2023-05-07_18h54.04.468.wav;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
REPSWITCH1/PICTURE_12.png;sirena;speak;red;nontarget;2;NT;Stim3_Set1;0;6;6;6;;4,3519E+16;;;;;4,40198E+15;4,0588E+15;4,16382E+15;4,16382E+15;4,16382E+15;4,16382E+15;4,16382E+15;4,16382E+15;4,9361E+15;['m', 'e', 'r', 'm', 'a', 'i', 'd'];[0.3537944999989122, 0.45412120000401046, 0.5693554000026779, 1.0498309999966295, 1.184946299996227, 1.2682611000054749, 1.506246100005228, 1.8489979000005405];mermaid;D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-07_18h53.35.109_micResp_recorded\recording_micResp_2023-05-07_18h54.07.907.wav;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
REPSWITCH1/PICTURE_12.png;sirena;type;blue;switch;1;T;Stim3_Set1;0;7;7;7;;4,69675E+16;;;;;4,74696E+15;4,40198E+15;4,52362E+15;4,52362E+15;4,52362E+15;4,52362E+15;4,52362E+15;4,52362E+15;8,3642E+15;['m', 'w', 'e', 'r', 'a', 's', 'm', 'e'];[0.35289140000531916, 0.48413260001689196, 0.5858633000170812, 0.6419091000134358, 0.8599933000077726, 1.0833215000166092, 1.118673500008299, 1.3347515000059502, 1.6980385000060778];mwerasme;D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-07_18h53.35.109_micResp_recorded\recording_micResp_2023-05-07_18h54.11.358.wav;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
REPSWITCH1/PICTURE_128.png;muñeca;type;blue;nontarget;1;NT;Stim4_Set1;0;8;8;8;;5,16998E+16;;;;;;4,74696E+15;4,87024E+15;4,87024E+15;4,87024E+15;4,87024E+15;4,87024E+15;4,87024E+15;4,54954E+15;None;;;D:\GitHub\experiment1\data/_REPSWITCH_1_2023-05-07_18h53.35.109_micResp_recorded\recording_micResp_2023-05-07_18h54.16.070.wav;;1;2023-05-07_18h53.35.109;REPSWITCH_1;202225;5,99246E+15;
