image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,respModal,frameColor,repSwitch,sequence,target,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,textCue.started,polygonCol.started,polygonWh.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,78.53617060001125,80.5225475000043,81.02344920000178,81.02344920000178,space,1.5363988000026438,,,,,,,,,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,0,0,0,,,,,,,,,,,91.93558119999943,,,,,92.43513080000412,83.1859320999938,84.65307410000241,84.65307410000241,84.65307410000241,88.65330629999517,88.65330629999517,88.93607239998528,91.93558119999943,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,1,1,1,,,,,,,,,,,101.08029559999704,,,,,,92.43513080000412,93.53646480001044,93.53646480001044,93.53646480001044,97.5510735999851,97.5510735999851,98.03381100000115,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,2,2,2,,,,,,,,,,,110.24707909999415,,,,,,101.54904549999628,102.75076979998266,102.75076979998266,102.75076979998266,106.7562109999999,106.7562109999999,107.2331969999941,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,3,3,3,,,,,,,,,,,119.44953230000101,,,,,119.94915520001086,110.74731820001034,111.99643430000287,111.99643430000287,111.99643430000287,116.0001471999858,116.0001471999858,116.45004629998584,119.44953230000101,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,4,4,4,,,,,,,,,,,128.76365909999004,,,,,129.26350490000914,119.94915520001086,121.27742470000521,121.27742470000521,121.27742470000521,125.28150389998336,125.28150389998336,125.76453459999175,128.76365909999004,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,5,5,5,,,,,,,,,,,137.97803609998664,,,,,138.4782089999935,129.26350490000914,130.49202299999888,130.49202299999888,130.49202299999888,134.49556789998314,134.49556789998314,134.9788803999836,137.97803609998664,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,6,6,6,,,,,,,,,,,147.1261427999998,,,,,147.62817519999226,138.4782089999935,139.63999719999265,139.63999719999265,139.63999719999265,143.64316430001054,143.64316430001054,144.12707799999043,147.1261427999998,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,7,7,7,,,,,,,,,,,156.29053579998435,,,,,,147.62817519999226,148.78782609998598,148.78782609998598,148.78782609998598,152.79171719998703,152.79171719998703,153.27482900000177,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,8,8,8,,,,,,,,,,,165.33787580000353,,,,,165.83834630000638,156.79062949999934,157.85217150000972,157.85217150000972,157.85217150000972,161.8560821999854,161.8560821999854,162.33930540000438,165.33787580000353,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,9,9,9,,,,,,,,,,,174.5196949999954,,,,,175.01936529998784,165.83834630000638,167.03342789999442,167.03342789999442,167.03342789999442,171.0369773999846,171.0369773999846,171.50380839998252,174.5196949999954,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,10,10,10,,,,,,,,,,,183.71729020000203,,,,,,175.01936529998784,176.3144947999972,176.3144947999972,176.3144947999972,180.31804209999973,180.31804209999973,180.70155249998788,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_271.png,conejo,0,11,11,11,,,,,,,,,,,192.8611646000063,,,,,,184.2173657999956,185.36248290000367,185.36248290000367,185.36248290000367,189.36559050000506,189.36559050000506,189.84911589999683,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,12,12,12,,,,,,,,,,,201.97559319998254,,,,,202.47517970000627,193.36128059998737,194.493390299991,194.493390299991,194.493390299991,198.49319000000833,198.49319000000833,198.97647490000236,201.97559319998254,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_319.png,vaca,0,13,13,13,,,,,,,,,,,211.24002100000507,,,,,,202.47517970000627,203.72590279998258,203.72590279998258,203.72590279998258,207.74090850001085,207.74090850001085,208.224020499998,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,14,14,14,,,,,,,,,,,220.38761040000827,,,,,220.88784429998486,211.74006159999408,212.90567040001042,212.90567040001042,212.90567040001042,216.9057671999908,216.9057671999908,217.38856200000737,220.38761040000827,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_354.png,cabra,0,15,15,15,,,,,,,,,,,229.45243659999687,,,,,229.95223659998737,220.88784429998486,221.95495899999514,221.95495899999514,221.95495899999514,225.96976690000156,225.96976690000156,226.45305819998612,229.45243659999687,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_377.png,babero,0,16,16,16,,,,,,,,,,,238.65033529998618,,,,,,229.95223659998737,231.13578489999054,231.13578489999054,231.13578489999054,235.1341051000054,235.1341051000054,235.63456360000418,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,17,17,17,,,,,,,,,,,247.84787120000692,,,,,248.34769749999396,239.15018860000418,240.36555690001114,240.36555690001114,240.36555690001114,244.36521849999554,244.36521849999554,244.84852850000607,247.84787120000692,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_411.png,puño,0,18,18,18,,,,,,,,,,,257.14562599998317,,,,,,248.34769749999396,249.64718569998513,249.64718569998513,249.64718569998513,253.64670320000732,253.64670320000732,254.12987730000168,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,19,19,19,,,,,,,,,,,266.2272147999902,,,,,,257.64544930000557,258.7124946999829,258.7124946999829,258.7124946999829,262.72768189999624,262.72768189999624,263.2107197000005,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_487.png,cesta,0,20,20,20,,,,,,,,,,,275.3410562000063,,,,,,266.7265106999839,267.8273065999965,267.8273065999965,267.8273065999965,271.84213030000683,271.84213030000683,272.32539350001025,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,21,21,21,,,,,,,,,,,284.538979999983,,,,,285.0390711000073,275.84096060000593,277.0416841999977,277.0416841999977,277.0416841999977,281.05666840000777,281.05666840000777,281.5399117000052,284.538979999983,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_552.png,manzana,0,22,22,22,,,,,,,,,,,293.786824299983,,,,,294.28692859999137,285.0390711000073,286.2894648000074,286.2894648000074,286.2894648000074,290.3041857999924,290.3041857999924,290.78742519998923,293.786824299983,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_576.png,guante,0,23,23,23,,,,,,,,,,,302.9016597000009,,,,,303.4012911999889,294.28692859999137,295.4040839000081,295.4040839000081,295.4040839000081,299.41886050000903,299.41886050000903,299.90158320000046,302.9016597000009,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_610.png,miel,0,24,24,24,,,,,,,,,,,312.0155270000105,,,,,,303.4012911999889,304.51706799998647,304.51706799998647,304.51706799998647,308.51665330000105,308.51665330000105,309.00016049999977,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_622.png,tiza,0,25,25,25,,,,,,,,,,,321.1801667000109,,,,,321.6799200999958,312.5155400999938,313.68356199999107,313.68356199999107,313.68356199999107,317.6982250000001,317.6982250000001,318.1809614000085,321.1801667000109,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_636.png,oveja,0,26,26,26,,,,,,,,,,,330.4613480999833,,,,,,321.6799200999958,322.9470827000041,322.9470827000041,322.9470827000041,326.9623570999829,326.9623570999829,327.44567919999827,,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_664.png,vestido,0,27,27,27,,,,,,,,,,,339.59220839999034,,,,,340.0922315999924,330.9611617999908,332.0950029999949,332.0950029999949,332.0950029999949,336.0934685000102,336.0934685000102,336.5930959999969,339.59220839999034,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_687.png,camisa,0,28,28,28,,,,,,,,,,,348.79047169999103,,,,,349.29044630000135,340.0922315999924,341.2928469000035,341.2928469000035,341.2928469000035,345.3081056000083,345.3081056000083,345.7909532999911,348.79047169999103,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_719.png,baño,0,29,29,29,,,,,,,,,,,358.0380555999873,,,,,358.53818169998704,349.29044630000135,350.5406107000017,350.5406107000017,350.5406107000017,354.5557445999875,354.5557445999875,355.0388094999944,358.0380555999873,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_8.png,pierna,0,30,30,30,,,,,,,,,,,367.28588310000487,,,,,367.7855811000045,358.53818169998704,359.81996329998947,359.81996329998947,359.81996329998947,363.8202532999858,363.8202532999858,364.2867955999973,367.28588310000487,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
REPSWITCH1_Fam/PICTURE_91.png,boca,0,31,31,31,,,,,,,,,,,376.3171352999925,,,,,376.8178457999893,367.7855811000045,368.86775420000777,368.86775420000777,368.86775420000777,372.868023499992,372.868023499992,373.3177451000083,376.3171352999925,,,,,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.8178457999893,376.8178457999893,space,4.183365999982925,,,,,,,,,001,2023-05-26_14h04.11.138,REPSWITCH_1,2022.2.5,59.95559687838278,
,,,,,,,,,,,,,,,,381.0326495000045,,,,,381.6810569000081,381.6810569000081,383.0316543999943,,,,,,,,,,,383.0316543999943,383.0316543999943,383.0316543999943,383.0316543999943,383.0316543999943,383.0316543999943,383.0316543999943,,,,,,,
